Gene	sgRNA	time|beta	time|z	time|p-value	time|fdr	time|wald-p-value	time|wald-fdr	drug|beta	drug|z	drug|p-value	drug|fdr	drug|wald-p-value	drug|wald-fdr
AAAS	4	0.19113	1.1809	0.1277	0.75581	0.23764	0.78038	-0.27164	-1.6561	0.14538	0.86667	0.097698	0.3739
AAK1	4	-0.07659	-0.52105	0.57171	0.99607	0.60233	0.9436	-0.11693	-0.78578	0.54617	0.99803	0.43199	0.75396
AATF	4	0.12261	0.76877	0.3556	0.95378	0.44203	0.87608	0.27014	1.6725	0.12967	0.86667	0.094431	0.37173
AATK	4	0.06987	0.57618	0.6169	0.99607	0.5645	0.93592	0.020136	0.16401	0.92534	0.99803	0.86972	0.96954
ABCC1	4	0.10224	0.78344	0.44597	0.95378	0.43337	0.87187	-0.088898	-0.67262	0.65422	0.99803	0.50119	0.7972
ABHD14B	4	-0.019584	-0.17982	0.90963	0.99607	0.8573	0.99131	-0.061675	-0.55941	0.74853	0.99803	0.57588	0.83511
ABTB1	4	-0.045237	-0.32473	0.74656	0.99607	0.74539	0.9825	-0.28565	-2.0249	0.1336	0.86667	0.042874	0.24033
ACAD9	4	0.077118	0.60673	0.57367	0.99607	0.54403	0.92013	0.096149	0.74685	0.58939	0.99803	0.45515	0.76647
ACAT2	4	0.033926	0.21129	0.80747	0.99607	0.83266	0.99024	0.24748	1.5211	0.16503	0.91304	0.12823	0.4333
ACD	4	0.07745	0.7474	0.57171	0.99607	0.45482	0.87785	-0.13743	-1.3098	0.44401	0.99803	0.19027	0.54033
ACHE	4	-0.032432	-0.34374	0.82318	0.99607	0.73104	0.9825	0.029166	0.3053	0.89194	0.99803	0.76014	0.94599
ACLY	4	0.017859	0.14076	0.89194	0.99607	0.88806	0.99392	-0.043823	-0.34119	0.81139	0.99803	0.73296	0.93044
ACO2	4	0.07594	0.65138	0.5776	0.99607	0.5148	0.90984	0.077311	0.65478	0.68173	0.99803	0.51261	0.80763
ACP1	4	-0.010761	-0.094736	0.95874	0.99607	0.92452	0.99667	-0.06593	-0.57317	0.73674	0.99803	0.56653	0.82904
ACTL6B	4	-0.053599	-0.4544	0.69548	0.99607	0.64954	0.95918	0.18255	1.5286	0.30059	0.99803	0.12637	0.4333
ACTN1	4	-0.026485	-0.22966	0.86051	0.99607	0.81835	0.98388	0.067362	0.57695	0.73281	0.99803	0.56397	0.82904
ACTR1A	4	-0.045072	-0.45827	0.74853	0.99607	0.64676	0.95918	-0.057932	-0.58177	0.76424	0.99803	0.56072	0.82904
ACTR3	4	0.0035395	0.038017	0.96464	0.99607	0.96967	0.99667	-0.10603	-1.1248	0.60314	0.99803	0.26066	0.61038
ACTR8	4	-0.02105	-0.20238	0.90177	0.99607	0.83962	0.99131	0.093546	0.88838	0.60314	0.99803	0.37434	0.71239
ACTRT3	4	-0.19991	-1.8072	0.17682	0.85714	0.070732	0.65362	-0.01645	-0.14685	0.93713	0.99803	0.88325	0.97449
ADAD1	4	0.035688	0.30463	0.78782	0.99607	0.76065	0.9825	-0.078372	-0.6608	0.68173	0.99803	0.50874	0.80669
ADAM10	4	-0.070639	-0.6282	0.60511	0.99607	0.52987	0.92013	0.13501	1.1853	0.4558	0.99803	0.23591	0.60011
ADAM12	4	-0.041367	-0.46725	0.78585	0.99607	0.64032	0.95918	0.029582	0.32997	0.89194	0.99803	0.74143	0.93877
ADAMTS5	4	-0.093307	-0.84769	0.49509	0.96947	0.39661	0.84797	0.076357	0.68517	0.68369	0.99803	0.49324	0.79472
ADAP1	4	-0.012735	-0.10886	0.95481	0.99607	0.91332	0.99667	0.02227	0.18791	0.92141	0.99803	0.85095	0.96589
ADCK3	4	0.34523	1.863	0.0019646	0.066667	0.06246	0.65362	-0.093195	-0.49632	0.6444	0.99803	0.61967	0.86602
ADCK4	4	0.024301	0.23401	0.85462	0.99607	0.81498	0.98388	-0.26337	-2.5048	0.15324	0.86667	0.012252	0.11562
ADCY1	4	0.18594	1.0496	0.14931	0.82609	0.29388	0.79386	0.26044	1.4518	0.14145	0.86667	0.14657	0.46052
ADH5	4	0.011502	0.13035	0.93124	0.99607	0.89629	0.99392	0.0053918	0.060358	0.98035	0.99803	0.95187	0.97782
ADNP	4	0.069041	0.51285	0.62672	0.99607	0.60806	0.9436	-0.01475	-0.10822	0.94303	0.99803	0.91382	0.97449
ADNP2	4	0.12519	1.2368	0.34774	0.95378	0.21616	0.76127	-0.066126	-0.64512	0.73674	0.99803	0.51885	0.80763
ADPRHL2	4	0.18175	1.4782	0.15717	0.83838	0.13935	0.6985	-0.1288	-1.0343	0.48527	0.99803	0.30101	0.65197
ADRA1A	4	-0.25545	-2.7239	0.10806	0.75581	0.0064524	0.21988	0.2868	3.0207	0.10806	0.78571	0.0025219	0.032914
