Gene	sgRNA	time|beta	time|z	time|p-value	time|fdr	time|wald-p-value	time|wald-fdr	drug|beta	drug|z	drug|p-value	drug|fdr	drug|wald-p-value	drug|wald-fdr
ADRB1	4	-0.19576	-1.9162	0.18468	0.86207	0.055341	0.65362	0.24106	2.3308	0.17682	0.91919	0.019763	0.16766
ADRB3	4	-0.11612	-0.96313	0.40472	0.95378	0.33548	0.81107	-0.0042897	-0.035135	0.99607	0.99803	0.97197	0.98001
ADRBK1	4	-0.092928	-0.8444	0.49902	0.96947	0.39844	0.84797	0.18535	1.6635	0.2888	0.99803	0.096206	0.37173
ADRBK2	4	0.0009934	0.010148	0.97642	0.99607	0.9919	0.99667	0.058729	0.59262	0.77014	0.99803	0.55344	0.82904
AEBP2	4	0.013717	0.16382	0.92141	0.99607	0.86987	0.99272	-0.16761	-1.9761	0.35363	0.99803	0.048145	0.24563
AEN	4	-0.053425	-0.43421	0.69548	0.99607	0.66414	0.95918	-0.019246	-0.15439	0.91749	0.99803	0.87731	0.97287
AFF1	4	-0.026185	-0.35241	0.86248	0.99607	0.72453	0.9825	-0.027688	-0.36805	0.88016	0.99803	0.71283	0.91969
AFF2	4	0.071604	0.56595	0.59921	0.99607	0.57143	0.9436	0.04423	0.34522	0.83301	0.99803	0.72993	0.93044
AFF3	4	-0.14419	-1.2342	0.31238	0.94118	0.21715	0.76127	0.15474	1.3081	0.40472	0.99803	0.19084	0.54033
AFF4	4	-0.29254	-2.4412	0.062868	0.59259	0.014639	0.43832	0.16922	1.3948	0.34774	0.99803	0.16307	0.49115
AGAP3	4	0.086347	0.62086	0.52259	0.98155	0.53469	0.92013	0.032484	0.23071	0.87426	0.99803	0.81754	0.96103
AGBL5	4	0.075391	0.92176	0.58153	0.99607	0.35665	0.82401	0.016473	0.19893	0.9391	0.99803	0.84231	0.96363
AGPAT3	4	0.18878	1.4985	0.13752	0.77778	0.13401	0.6985	-0.15335	-1.2019	0.38507	0.99803	0.22939	0.58808
AGTPBP1	4	-0.066089	-0.65386	0.63458	0.99607	0.5132	0.90984	0.22629	2.2109	0.20629	0.98131	0.027044	0.18857
AIFM3	4	-0.27445	-2.1519	0.088409	0.7541	0.031404	0.57088	0.20259	1.5689	0.25737	0.99803	0.11666	0.41526
AIP	4	-0.058165	-0.64358	0.67387	0.99607	0.51985	0.91484	0.06622	0.72367	0.74263	0.99803	0.46927	0.78058
AIRE	4	0.029725	0.28234	0.82711	0.99607	0.77768	0.9825	-0.19788	-1.8566	0.26326	0.99803	0.063368	0.28705
AJUBA	4	0.14583	1.0312	0.25933	0.89933	0.30246	0.79386	-0.12776	-0.89147	0.48527	0.99803	0.37268	0.71239
AK1	4	0.19446	1.927	0.12377	0.75581	0.053982	0.65362	0.032352	0.31664	0.87426	0.99803	0.75151	0.94303
AKAP11	4	0.039386	0.31551	0.77603	0.99607	0.75238	0.9825	0.14962	1.1826	0.4224	0.99803	0.23698	0.60011
AKAP6	4	-0.046333	-0.31505	0.74067	0.99607	0.75273	0.9825	0.16242	1.0908	0.38114	0.99803	0.27536	0.62023
AKAP8	4	-0.012527	-0.13157	0.95481	0.99607	0.89533	0.99392	0.17194	1.7834	0.33595	0.99803	0.074516	0.31607
AKIRIN2	4	-0.17576	-1.3902	0.23379	0.88971	0.16446	0.6985	0.21282	1.6626	0.23772	0.99803	0.096401	0.37173
AKR1C3	4	-0.11487	-1.2765	0.40864	0.95378	0.20178	0.75437	0.069358	0.76135	0.72102	0.99803	0.44645	0.76512
AKT2	4	0.080798	0.53307	0.56582	0.99607	0.59398	0.9436	0.056592	0.36866	0.778	0.99803	0.71238	0.91969
ALDH1A2	4	0.11058	1.0483	0.40864	0.95378	0.29452	0.79386	-0.0011666	-0.010921	0.99411	0.99803	0.99129	0.9952
ALDH1B1	4	0.00061718	0.0041674	0.97642	0.99607	0.99667	0.99667	0.32008	2.1339	0.082515	0.67692	0.032853	0.21168
ALDH6A1	4	-0.070474	-0.73752	0.60511	0.99607	0.46081	0.87802	0.067283	0.69548	0.73281	0.99803	0.48676	0.79472
ALDH7A1	4	0.16649	1.3025	0.19646	0.86207	0.19273	0.75437	-0.12853	-0.99321	0.48527	0.99803	0.32061	0.66881
ALG2	4	0.011062	0.10905	0.9332	0.99607	0.91316	0.99667	0.16435	1.5997	0.36346	0.99803	0.10967	0.4016
ALKBH2	4	-0.12261	-1.1065	0.38114	0.95378	0.26851	0.79386	0.14441	1.2873	0.43026	0.99803	0.19799	0.55298
ALKBH5	4	-0.041116	-0.42542	0.78978	0.99607	0.67053	0.95918	-0.022607	-0.23101	0.90373	0.99803	0.81731	0.96103
ALMS1	4	-0.024899	-0.18608	0.88016	0.99607	0.85238	0.99131	0.11558	0.85283	0.52063	0.99803	0.39375	0.72483
ALOX5AP	4	-0.067883	-0.49608	0.62672	0.99607	0.61984	0.95606	0.12045	0.86948	0.50491	0.99803	0.38459	0.71968
ALPK1	4	0.082731	0.80619	0.54617	0.99607	0.42013	0.86213	0.029931	0.288	0.88998	0.99803	0.77335	0.95301
ALX4	4	-0.25351	-2.0675	0.10806	0.75581	0.038685	0.59761	0.084331	0.67931	0.64244	0.99803	0.49694	0.79472
ALYREF	4	0.17368	1.2262	0.17682	0.85714	0.22011	0.76216	0.024918	0.17375	0.90766	0.99803	0.86206	0.96954
AMER1	4	-0.076859	-0.70453	0.57171	0.99607	0.48111	0.89637	-0.021693	-0.19641	0.90766	0.99803	0.84429	0.96363
AMHR2	4	0.00088476	0.010354	0.97642	0.99607	0.99174	0.99667	-0.0067767	-0.078338	0.98625	0.99803	0.93756	0.97449
AMOT	4	0.1018	0.96154	0.44597	0.95378	0.33628	0.81107	0.029402	0.27429	0.89194	0.99803	0.78387	0.95301
ANAPC2	4	-0.20141	-1.6485	0.17092	0.85714	0.09924	0.6985	0.18421	1.4894	0.29273	0.99803	0.13639	0.44503
ANAPC5	4	-0.1582	-1.4499	0.27112	0.90123	0.14708	0.6985	0.01302	0.11784	0.95088	0.99803	0.90619	0.97449
ANAPC7	4	0.22703	1.4934	0.056974	0.56604	0.13532	0.6985	-0.16651	-1.0815	0.35756	0.99803	0.27946	0.62402
ANKHD1	4	0.14509	1.4333	0.2613	0.89933	0.15178	0.6985	-0.17154	-1.6735	0.33988	0.99803	0.094237	0.37173
ANKK1	4	0.10591	0.90399	0.43222	0.95378	0.366	0.8266	0.033425	0.28176	0.8664	0.99803	0.77813	0.95301
ANKLE2	4	0.18952	1.3805	0.1336	0.77273	0.16742	0.6985	0.11289	0.81211	0.53438	0.99803	0.41673	0.74166
ANKRD30A	4	-0.15275	-1.5356	0.28487	0.90123	0.12463	0.6985	0.1975	1.961	0.27112	0.99803	0.049875	0.24889
ANKRD32	4	-0.02989	-0.32498	0.8389	0.99607	0.7452	0.9825	-0.15167	-1.6287	0.39293	0.99803	0.10339	0.38412
ANKRD42	4	-0.2473	-1.7168	0.11198	0.75581	0.08601	0.69199	-0.072261	-0.49522	0.70727	0.99803	0.62045	0.86602
ANKS1A	4	0.025451	0.17939	0.84479	0.99607	0.85763	0.99131	0.26638	1.8533	0.13556	0.86667	0.063834	0.28705
ANLN	4	-0.034754	-0.23834	0.81532	0.99607	0.81162	0.98388	0.21026	1.4232	0.24558	0.99803	0.15467	0.47426
ANO2	4	0.038464	0.30532	0.778	0.99607	0.76013	0.9825	-0.14185	-1.1119	0.42436	0.99803	0.26618	0.61305
ANP32A	4	0.071337	0.60702	0.60707	0.99607	0.54384	0.92013	0.0081926	0.068853	0.9666	0.99803	0.94511	0.97449
ANP32E	4	0.0101	0.089977	0.93517	0.99607	0.92831	0.99667	-0.13887	-1.2219	0.43811	0.99803	0.22174	0.58358
ANXA1	4	0.19433	1.3807	0.12377	0.75581	0.16736	0.6985	0.020059	0.14067	0.92534	0.99803	0.88813	0.97449
ANXA11	4	-0.040867	-0.30664	0.79175	0.99607	0.75912	0.9825	0.1644	1.2184	0.36346	0.99803	0.22309	0.58358
AP1AR	4	-0.0056671	-0.051635	0.99607	0.99607	0.95882	0.99667	0.11551	1.0395	0.52063	0.99803	0.29858	0.64947
AP5Z1	4	-0.11166	-1.145	0.42436	0.95378	0.25221	0.78432	0.05234	0.52995	0.79371	0.99803	0.59615	0.85301
APC	4	-0.11704	-1.0346	0.40472	0.95378	0.30086	0.79386	-0.15931	-1.3909	0.38114	0.99803	0.16426	0.49183
APEX1	4	0.19193	1.41	0.1277	0.75581	0.15853	0.6985	-0.10727	-0.77818	0.59528	0.99803	0.43647	0.75565
APEX2	4	0.092863	0.78726	0.49116	0.96947	0.43113	0.87187	0.17218	1.4413	0.33595	0.99803	0.1495	0.46684
APOA1	4	0.10211	0.77924	0.44597	0.95378	0.43584	0.87339	-0.12302	-0.92728	0.51277	0.99803	0.35378	0.70256
APOBEC3A	4	-0.026877	-0.23802	0.85855	0.99607	0.81186	0.98388	0.10463	0.91529	0.55992	0.99803	0.36004	0.70485
APOBEC3B	4	0.13999	1.1598	0.27505	0.90123	0.24612	0.78218	0.071404	0.58407	0.71709	0.99803	0.55917	0.82904
APOBEC3C	4	0.086754	0.80339	0.52063	0.98155	0.42175	0.86213	-0.12584	-1.151	0.49705	0.99803	0.24971	0.60903
APOBEC3H	4	-0.21579	-1.8299	0.14735	0.82418	0.067263	0.65362	-0.15571	-1.3043	0.38507	0.99803	0.19214	0.54033
APPBP2	4	0.10579	0.84193	0.43418	0.95378	0.39983	0.84797	0.060086	0.47225	0.76424	0.99803	0.63675	0.87503
APPL1	4	0.17944	1.6285	0.16306	0.83838	0.10341	0.6985	-0.12357	-1.1073	0.51081	0.99803	0.26817	0.61434
AR	4	0.15452	1.5409	0.23183	0.88971	0.12334	0.6985	-0.038684	-0.38104	0.84086	0.99803	0.70317	0.91969
ARGFX	4	0.26968	1.6229	0.019646	0.34483	0.1046	0.6985	-0.15483	-0.92016	0.38507	0.99803	0.35749	0.70256
ARHGAP22	4	-0.22092	-1.892	0.1336	0.77273	0.058491	0.65362	0.21121	1.7862	0.23969	0.99803	0.074065	0.31607
ARHGEF10	4	-0.16865	-1.5684	0.24951	0.89933	0.11678	0.6985	0.051356	0.47175	0.79961	0.99803	0.6371	0.87503
ARID2	4	0.043851	0.56085	0.74853	0.99607	0.5749	0.9436	-0.085619	-1.0814	0.66601	0.99803	0.27952	0.62402
ARID3A	4	-0.163	-1.4606	0.26326	0.89933	0.14413	0.6985	-0.040751	-0.36066	0.82711	0.99803	0.71836	0.92334
ARID3B	4	0.10479	0.81629	0.43615	0.95378	0.41433	0.86164	0.21672	1.6673	0.2279	0.99803	0.095448	0.37173
ARID4A	4	-0.010346	-0.097629	0.96267	0.99607	0.92223	0.99667	0.21569	2.0097	0.23183	0.99803	0.04446	0.24033
ARID4B	4	0.16057	1.592	0.21415	0.88618	0.11139	0.6985	-0.18434	-1.8051	0.30648	0.99803	0.07106	0.30914
ARID5A	4	-0.025917	-0.15488	0.8664	0.99607	0.87692	0.99272	0.054423	0.32117	0.78978	0.99803	0.74808	0.94251
ARID5B	4	0.16263	1.3978	0.20236	0.86555	0.16217	0.6985	-0.23359	-1.9824	0.20236	0.98095	0.047431	0.24563
ARL2	4	0.063889	0.68694	0.64244	0.99607	0.49212	0.90104	-0.014299	-0.15173	0.95285	0.99803	0.8794	0.97307
ARL4D	4	0.35098	2.1615	0	0	0.030658	0.57088	-0.20832	-1.267	0.24361	0.99803	0.20515	0.55918
ARNTL2	4	-0.084451	-0.7407	0.53438	0.9927	0.45888	0.87802	-0.12969	-1.1235	0.4833	0.99803	0.26122	0.61038
ARRB2	4	-0.052907	-0.54222	0.69745	0.99607	0.58767	0.9436	0.11366	1.1502	0.53045	0.99803	0.25007	0.60903
ARX	4	0.0073293	0.080348	0.94892	0.99607	0.93596	0.99667	0.020067	0.21729	0.92534	0.99803	0.82798	0.96363
ASCC1	4	-0.16447	-1.3954	0.26326	0.89933	0.1629	0.6985	0.023464	0.19662	0.91749	0.99803	0.84412	0.96363
ASCL1	4	-0.253	-2.1862	0.10806	0.75581	0.028799	0.5638	0.17516	1.4949	0.32613	0.99803	0.13494	0.44312
ASCL2	4	0.041486	0.33865	0.76817	0.99607	0.73487	0.9825	0.11085	0.89348	0.5442	0.99803	0.3716	0.71239
ASH2L	4	0.15093	0.91438	0.24165	0.89781	0.36052	0.82401	0.18771	1.123	0.28094	0.99803	0.26142	0.61038
ASNA1	4	0.0053678	0.049435	0.95678	0.99607	0.96057	0.99667	-0.034711	-0.31574	0.86248	0.99803	0.7522	0.94303
ASPA	4	-0.027514	-0.19552	0.85265	0.99607	0.84499	0.99131	0.13477	0.9454	0.4558	0.99803	0.34445	0.69851
ASPM	4	-0.06232	-0.45108	0.66208	0.99607	0.65193	0.95918	0.24202	1.7301	0.17682	0.91919	0.083611	0.34321
ASRGL1	4	-0.044005	-0.42259	0.75442	0.99607	0.67259	0.95918	0.13878	1.3161	0.44597	0.99803	0.18816	0.54033
ASUN	4	-0.19622	-1.5677	0.18271	0.86207	0.11696	0.6985	0.14378	1.1347	0.43026	0.99803	0.25651	0.6101
ASZ1	4	0.09612	0.74374	0.46562	0.96813	0.45703	0.87785	0.1458	1.1141	0.42829	0.99803	0.26522	0.61305
ATF5	4	0.14582	1.3381	0.25933	0.89933	0.18088	0.73068	-0.082117	-0.7436	0.66798	0.99803	0.45712	0.76647
ATF7	4	-0.20659	-1.5987	0.1611	0.83838	0.10988	0.6985	0.38831	2.968	0.043222	0.43137	0.0029975	0.035632
ATF7IP	4	-0.041522	-0.31985	0.78193	0.99607	0.74908	0.9825	0.1469	1.1177	0.4224	0.99803	0.26369	0.61288
ATF7IP2	4	0.038084	0.27306	0.77996	0.99607	0.78481	0.9825	0.16149	1.1435	0.38114	0.99803	0.25282	0.60989
ATM	4	0.23292	1.4077	0.051081	0.56604	0.15921	0.6985	-1.0346	-6.1744	0	0	6.6427e-10	2.2541e-08
ATP1A3	4	0.14733	1.0789	0.25344	0.89933	0.28065	0.79386	0.0023134	0.016728	0.98821	0.99803	0.98665	0.9925
ATP1B4	4	0.040274	0.43695	0.7721	0.99607	0.66215	0.95918	0.077931	0.83505	0.6778	0.99803	0.40369	0.7289
ATP2A3	4	0.071813	0.66267	0.59921	0.99607	0.50754	0.90717	-0.010951	-0.099786	0.97053	0.99803	0.92051	0.97449
ATP6V0A1	4	-0.086592	-0.64146	0.52652	0.98168	0.52122	0.91484	0.30292	2.2162	0.088409	0.68182	0.026676	0.18857
ATR	4	0.32795	1.8862	0.0039293	0.11765	0.059272	0.65362	-1.0292	-5.8399	0	0	5.2245e-09	1.4592e-07
ATRAID	4	0.0021417	0.018424	0.97446	0.99607	0.9853	0.99667	-0.099631	-0.84644	0.62083	0.99803	0.3973	0.72483
ATRIP	4	0.055876	0.30865	0.6778	0.99607	0.75759	0.9825	-1.1968	-6.5302	0	0	6.5668e-11	3.3425e-09
ATRX	4	-0.0098394	-0.099266	0.9725	0.99607	0.92093	0.99667	-0.18308	-1.8245	0.31041	0.99803	0.068084	0.29946
ATXN1L	4	0.27892	1.808	0.015717	0.30769	0.070614	0.65362	-0.12713	-0.81384	0.48919	0.99803	0.41574	0.74166
ATXN2	4	0.29726	1.5066	0.0098232	0.26316	0.13192	0.6985	-0.032582	-0.16304	0.8664	0.99803	0.87049	0.96954
ATXN7	4	0.069063	0.72589	0.62672	0.99607	0.46791	0.88209	-0.017365	-0.18027	0.92731	0.99803	0.85694	0.96715
AUNIP	4	0.050207	0.43761	0.71709	0.99607	0.66167	0.95918	0.067434	0.58044	0.73281	0.99803	0.56162	0.82904
AURKA	4	-0.016467	-0.16964	0.92731	0.99607	0.8653	0.99197	0.019297	0.19632	0.92731	0.99803	0.84436	0.96363
AURKC	4	-0.054418	-0.59737	0.69155	0.99607	0.55026	0.92437	0.024346	0.26394	0.91552	0.99803	0.79183	0.95301
AVPI1	4	-0.14342	-1.0097	0.31434	0.94118	0.31263	0.79964	0.010161	0.070662	0.95874	0.99803	0.94367	0.97449
AXIN2	4	-0.023564	-0.15677	0.88605	0.99607	0.87543	0.99272	0.28277	1.8579	0.11002	0.78873	0.063176	0.28705
AXL	4	0.27457	2.3036	0.015717	0.30769	0.021247	0.48687	-0.11877	-0.98407	0.54028	0.99803	0.32508	0.67092
AZI1	4	-0.019019	-0.15477	0.91356	0.99607	0.877	0.99272	0.25494	2.0486	0.14931	0.86667	0.040504	0.23428
B9D2	4	-0.073732	-0.87933	0.58546	0.99607	0.37922	0.83924	0.019616	0.23107	0.92534	0.99803	0.81726	0.96103
BABAM1	4	-0.017738	-0.20044	0.91945	0.99607	0.84114	0.99131	-0.010757	-0.12005	0.97053	0.99803	0.90444	0.97449
BACH1	4	-0.044993	-0.40152	0.74853	0.99607	0.68804	0.96212	0.2573	2.2676	0.14735	0.86667	0.023352	0.1748
BACH2	4	-0.098301	-1.1594	0.47741	0.96813	0.24631	0.78218	-0.050869	-0.59157	0.77996	0.99803	0.55414	0.82904
BAIAP2	4	0.019123	0.22882	0.88212	0.99607	0.81901	0.98388	0.14875	1.7574	0.4224	0.99803	0.078844	0.33167
BAIAP2L1	4	0.022555	0.19078	0.8664	0.99607	0.8487	0.99131	0.10857	0.90706	0.54813	0.99803	0.36438	0.7106
BARD1	4	0.15541	0.84722	0.22986	0.88971	0.39687	0.84797	-1.1571	-6.2289	0	0	4.6967e-10	1.7076e-08
BARHL1	4	-0.025753	-0.32866	0.87033	0.99607	0.74241	0.9825	-0.035947	-0.45309	0.85069	0.99803	0.65049	0.88589
BARHL2	4	0.11868	1.0127	0.36739	0.95378	0.31119	0.79964	-0.090523	-0.7628	0.65029	0.99803	0.44558	0.76512
BARX2	4	0.069067	0.69186	0.62672	0.99607	0.48903	0.90104	-0.11483	-1.136	0.55992	0.99803	0.25594	0.6101
BASP1	4	-0.15386	-1.4436	0.28291	0.90123	0.14884	0.6985	0.096601	0.89525	0.58939	0.99803	0.37065	0.71239
BATF	4	0.006156	0.039562	0.95481	0.99607	0.96844	0.99667	0.32445	2.0589	0.082515	0.67692	0.039506	0.2314
BATF2	4	0.094941	1.0732	0.47151	0.96813	0.28319	0.79386	-0.17969	-2.0063	0.3222	0.99803	0.044828	0.24033
BATF3	4	-0.2194	-1.5724	0.13752	0.77778	0.11586	0.6985	0.018137	0.1284	0.9332	0.99803	0.89783	0.97449
BAX	4	0.16517	1.1307	0.19646	0.86207	0.2582	0.78697	-0.054281	-0.36688	0.77407	0.99803	0.7137	0.91969
BAZ1A	4	-0.0016274	-0.016222	0.98625	0.99607	0.98706	0.99667	0.085649	0.8432	0.63851	0.99803	0.39912	0.72553
BBX	4	0.11028	0.81891	0.41061	0.95378	0.41284	0.86164	0.21619	1.5853	0.22986	0.99803	0.1129	0.40757
BCAS2	4	0.22511	1.4334	0.058939	0.56604	0.15175	0.6985	0.03587	0.22553	0.85855	0.99803	0.82157	0.96173
BCAS3	4	0.027615	0.21453	0.83694	0.99607	0.83014	0.98955	0.0057211	0.043902	0.97839	0.99803	0.96498	0.98001
BCCIP	4	-0.17295	-1.3576	0.23772	0.88971	0.17458	0.72245	0.068455	0.53083	0.72102	0.99803	0.59554	0.85301
BCHE	4	0.15329	0.98862	0.23379	0.88971	0.32285	0.80554	-0.038786	-0.24705	0.84086	0.99803	0.80487	0.95943
BCKDK	4	-0.2135	-1.2868	0.15324	0.83838	0.19815	0.75437	0.32745	1.9483	0.082515	0.67692	0.051374	0.25388
BCL10	4	-0.11957	-1.1048	0.39489	0.95378	0.26923	0.79386	0.41509	3.7876	0.039293	0.40816	0.00015209	0.0024191
BCL11A	4	0.24728	1.6664	0.035363	0.48649	0.095626	0.6985	-0.088057	-0.58604	0.65619	0.99803	0.55785	0.82904
BCL2	4	-0.11855	-1.2556	0.39686	0.95378	0.20925	0.76127	0.012155	0.12711	0.95088	0.99803	0.89885	0.97449
BCL2L10	4	-0.055613	-0.49825	0.68566	0.99607	0.61831	0.95606	0.044233	0.3911	0.83301	0.99803	0.69573	0.91505
BCL6	4	0.10331	0.98142	0.44204	0.95378	0.32639	0.80666	-0.24356	-2.2847	0.17878	0.91919	0.022329	0.17323
BCL9L	4	0.1297	0.92614	0.33006	0.95378	0.35438	0.82364	0.057946	0.40857	0.7721	0.99803	0.68286	0.90279
BCLAF1	4	-0.18052	-1.311	0.222	0.88971	0.18986	0.75437	0.041609	0.29831	0.84283	0.99803	0.76546	0.95029
BCORL1	4	0.0088095	0.06953	0.9391	0.99607	0.94457	0.99667	0.025744	0.20063	0.9057	0.99803	0.84099	0.96363
BDH1	4	0.10499	0.85145	0.43615	0.95378	0.39452	0.84797	0.098024	0.78487	0.5835	0.99803	0.43253	0.75396
BDP1	4	0.021611	0.18484	0.87426	0.99607	0.85335	0.99131	-0.2267	-1.9148	0.21218	0.98182	0.055516	0.27171
BEX1	4	0.12687	1.394	0.33988	0.95378	0.16333	0.6985	-0.18201	-1.9751	0.31238	0.99803	0.048257	0.24563
BEX2	4	0.062789	0.53697	0.64833	0.99607	0.59129	0.9436	-0.093122	-0.78645	0.6444	0.99803	0.43161	0.75396
BHLHE40	4	0.28837	2.35	0.011788	0.28571	0.018772	0.47174	-0.096974	-0.77989	0.63458	0.99803	0.43545	0.75565
BHLHE41	4	-0.22555	-2.2904	0.12181	0.75581	0.022	0.48687	0.15266	1.531	0.40864	0.99803	0.12577	0.4333
BIN1	4	-0.041392	-0.28347	0.78389	0.99607	0.77682	0.9825	0.3134	2.1189	0.084479	0.67692	0.034102	0.21697
BIN3	4	0.036217	0.33706	0.78782	0.99607	0.73607	0.9825	-0.1019	-0.93677	0.61297	0.99803	0.34888	0.70229
BIRC2	4	-0.024557	-0.19821	0.88212	0.99607	0.84288	0.99131	-0.033101	-0.26388	0.86444	0.99803	0.79187	0.95301
BIRC3	4	0.0074075	0.087543	0.94695	0.99607	0.93024	0.99667	-0.29081	-3.3941	0.1277	0.86667	0.00068864	0.0094734
BIVM	4	0.073285	0.67484	0.59136	0.99607	0.49978	0.9053	-0.12587	-1.1446	0.49705	0.99803	0.25238	0.60989
BLK	4	-0.00538	-0.056474	0.99607	0.99607	0.95496	0.99667	-0.12603	-1.3062	0.49705	0.99803	0.19147	0.54033
BLM	4	0.065956	0.36353	0.63458	0.99607	0.71621	0.9825	-1.0087	-5.4912	0	0	3.9918e-08	8.1365e-07
BLVRB	4	0.1133	1.1867	0.39686	0.95378	0.23535	0.78038	-0.094731	-0.97993	0.64047	0.99803	0.32712	0.67139
BLZF1	4	0.13943	1.6807	0.27505	0.90123	0.092815	0.69692	-0.19838	-2.362	0.26326	0.99803	0.018179	0.15683
BMPR1A	4	-0.13771	-1.0794	0.33792	0.95378	0.28041	0.79386	0.29863	2.3117	0.092338	0.69118	0.020793	0.17254
BNC1	4	0.049728	0.42475	0.71906	0.99607	0.67102	0.95918	0.20002	1.6873	0.26719	0.99803	0.091546	0.36691
BNIP1	4	-0.057465	-0.43453	0.6778	0.99607	0.6639	0.95918	-0.0094312	-0.070425	0.98035	0.99803	0.94386	0.97449
