Analysis	Method	Key_Result
MAGeCK count	Official demo FASTQ	mapped 58.1%-58.8%
RRA essential genes	MAGeCK test	36 genes (FDR<0.05)
MLE essential genes	MAGeCK mle	49 genes (FDR<0.05)
MLE vs RRA	Correlation	r = -0.001
CRISPRi essential genes	MAGeCK test	9 genes (FDR<0.05)
CRISPRi ∩ CRISPRko	Overlap	8 genes
Drug synthetic lethal	MLE interaction	31 genes
Drug resistance	MLE interaction	13 genes
DepMap-demo overlap	Cross-reference	36 genes
