ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0006302	double-strand break repair	22/30	323/18986	0.06811145510835913	43.10546955624355	30.36278652503872	3.0109030961806113e-33	1.8637490165357983e-30	8.335447518900007e-31	XRCC3/FANCD2/BRCA2/RAD51/FANCB/RAD51D/RAD51B/RBBP8/ATRIP/XRCC2/CHEK2/BRCA1/PALB2/RAD50/BRIP1/NBN/ATM/ATR/MRE11/BLM/CHEK1/RAD51C	22
GO:0006310	DNA recombination	21/30	352/18986	0.05965909090909091	37.75625	27.691218150249632	2.8887077323042273e-30	8.940550431481583e-28	3.998579650505325e-28	XRCC3/FANCD2/BRCA2/RAD51/FANCB/RAD51D/RAD51B/RBBP8/XRCC2/EXO1/BARD1/BRCA1/PALB2/RAD50/BRIP1/NBN/ATM/MRE11/BLM/CHEK1/RAD51C	21
GO:0000724	double-strand break repair via homologous recombination	17/30	188/18986	0.09042553191489362	57.22730496453901	30.8221512933814	4.331813727589968e-27	8.937975657927301e-25	3.997428106512848e-25	XRCC3/BRCA2/RAD51/FANCB/RAD51D/RAD51B/RBBP8/XRCC2/BRCA1/PALB2/RAD50/NBN/ATM/MRE11/BLM/CHEK1/RAD51C	17
GO:0000725	recombinational repair	17/30	194/18986	0.08762886597938144	55.457388316151196	30.329395237237925	7.537541980991895e-27	1.1664346215584958e-24	5.216772476318074e-25	XRCC3/BRCA2/RAD51/FANCB/RAD51D/RAD51B/RBBP8/XRCC2/BRCA1/PALB2/RAD50/NBN/ATM/MRE11/BLM/CHEK1/RAD51C	17
GO:0000075	cell cycle checkpoint signaling	17/30	203/18986	0.08374384236453201	52.998686371100156	29.63128530370832	1.674080880622277e-26	2.0725121302103787e-24	9.269121507445449e-25	XRCC3/FANCD2/BRCA2/RAD51/RBBP8/ATRIP/BARD1/CHEK2/BRCA1/RAD50/BRIP1/NBN/ATM/ATR/MRE11/BLM/CHEK1	17
GO:0036297	interstrand cross-link repair	12/30	42/18986	0.2857142857142857	180.8190476190476	46.41058833903092	2.0412069592603034e-25	2.1058451796368798e-23	9.418200531323856e-24	XRCC3/FANCC/FANCD2/RAD51/FANCB/RAD51D/FANCA/ATR/FANCL/FANCE/FANCI/FANCF	12
GO:0035825	homologous recombination	13/30	68/18986	0.19117647058823528	120.9892156862745	39.432257250523506	5.3868126849169465e-25	4.763481502805129e-23	2.1304236633581307e-23	FANCD2/RAD51/RAD51D/RAD51B/RBBP8/BARD1/BRCA1/RAD50/BRIP1/NBN/ATM/MRE11/RAD51C	13
GO:1901988	negative regulation of cell cycle phase transition	17/30	287/18986	0.059233449477351915	37.48687572590011	24.777701299110607	7.01087036850906e-24	5.424660947633885e-22	2.4261301406814243e-22	XRCC3/FANCD2/BRCA2/RAD51/RBBP8/ATRIP/BARD1/CHEK2/BRCA1/RAD50/BRIP1/NBN/ATM/ATR/MRE11/BLM/CHEK1	17
GO:1901987	regulation of cell cycle phase transition	19/30	479/18986	0.03966597077244259	25.10327070285317	21.255351957567616	1.2853908247378293e-23	8.840632450141292e-22	3.953892244515194e-22	XRCC3/FANCD2/BRCA2/RAD51/RAD51B/RBBP8/ATRIP/BARD1/CHEK2/BRCA1/RAD50/BRIP1/NBN/ATM/ATR/MRE11/BLM/CHEK1/RAD51C	19
GO:0000077	DNA damage checkpoint signaling	14/30	131/18986	0.10687022900763359	67.63460559796438	30.444916626064224	3.5950751320593916e-23	2.2253515067447634e-21	9.952681681385472e-22	FANCD2/BRCA2/RAD51/ATRIP/BARD1/CHEK2/BRCA1/BRIP1/NBN/ATM/ATR/MRE11/BLM/CHEK1	14
GO:0010948	negative regulation of cell cycle process	17/30	329/18986	0.05167173252279635	32.70131712259372	23.075277256023096	7.402660630879562e-23	4.165679027740408e-21	1.8630619578194492e-21	XRCC3/FANCD2/BRCA2/RAD51/RBBP8/ATRIP/BARD1/CHEK2/BRCA1/RAD50/BRIP1/NBN/ATM/ATR/MRE11/BLM/CHEK1	17
GO:0031570	DNA integrity checkpoint signaling	14/30	140/18986	0.1	63.28666666666667	29.426735952360605	9.49283099370795e-23	4.8967186542543515e-21	2.1900127643378864e-21	FANCD2/BRCA2/RAD51/ATRIP/BARD1/CHEK2/BRCA1/BRIP1/NBN/ATM/ATR/MRE11/BLM/CHEK1	14
GO:0031297	replication fork processing	11/30	51/18986	0.21568627450980393	136.50065359477125	38.54662878380143	8.688288211041342e-22	4.136961848180454e-20	1.850218461136739e-20	BRCA2/RAD51/RBBP8/EXO1/BARD1/BRCA1/RAD50/NBN/ATR/MRE11/BLM	11
GO:0045786	negative regulation of cell cycle	17/30	419/18986	0.0405727923627685	25.677167859984092	20.320015558258554	4.663391652629804e-21	2.061885309269892e-19	9.221594019861943e-20	XRCC3/FANCD2/BRCA2/RAD51/RBBP8/ATRIP/BARD1/CHEK2/BRCA1/RAD50/BRIP1/NBN/ATM/ATR/MRE11/BLM/CHEK1	17
GO:0045005	DNA-templated DNA replication maintenance of fidelity	11/30	59/18986	0.1864406779661017	117.99209039548023	35.80421808641226	5.068187737336861e-21	2.0914721396076778e-19	9.35391842048838e-20	BRCA2/RAD51/RBBP8/EXO1/BARD1/BRCA1/RAD50/NBN/ATR/MRE11/BLM	11
GO:0042770	signal transduction in response to DNA damage	14/30	194/18986	0.07216494845360824	45.67079037800686	24.87886582200549	1.0603451896250156e-20	4.102210452361779e-19	1.834676216259073e-19	FANCD2/BRCA2/RAD51/ATRIP/BARD1/CHEK2/BRCA1/BRIP1/NBN/ATM/ATR/MRE11/BLM/CHEK1	14
GO:0000086	G2/M transition of mitotic cell cycle	13/30	141/18986	0.09219858156028368	58.34940898345153	27.191490254159643	1.2771056006969453e-20	4.650166863714172e-19	2.0797447243547778e-19	RAD51B/RBBP8/BARD1/CHEK2/BRCA1/RAD50/NBN/ATM/ATR/MRE11/BLM/CHEK1/RAD51C	13
GO:0007093	mitotic cell cycle checkpoint signaling	13/30	152/18986	0.08552631578947369	54.126754385964915	26.161122467395494	3.505819488062561e-20	1.2056123683948473e-18	5.39199137637692e-19	XRCC3/FANCD2/RBBP8/BARD1/CHEK2/BRCA1/RAD50/NBN/ATM/ATR/MRE11/BLM/CHEK1	13
GO:0010389	regulation of G2/M transition of mitotic cell cycle	12/30	107/18986	0.11214953271028037	70.97570093457944	28.87634561188858	4.321615326751633e-20	1.407936782768032e-18	6.296868869449746e-19	RAD51B/RBBP8/BARD1/BRCA1/RAD50/NBN/ATM/ATR/MRE11/BLM/CHEK1/RAD51C	12
GO:0044839	cell cycle G2/M phase transition	13/30	158/18986	0.08227848101265822	52.07130801687764	25.644604623806845	5.890198433207035e-20	1.8230164150775773e-18	8.153274673333948e-19	RAD51B/RBBP8/BARD1/CHEK2/BRCA1/RAD50/NBN/ATM/ATR/MRE11/BLM/CHEK1/RAD51C	13
GO:0051321	meiotic cell cycle	15/30	295/18986	0.05084745762711865	32.179661016949154	21.47131812404846	6.545610687799712e-20	1.9293966741657246e-18	8.629050681159519e-19	FANCD2/BRCA2/RAD51/RAD51D/FANCA/RAD51B/RBBP8/XRCC2/EXO1/RAD50/BRIP1/NBN/ATM/MRE11/RAD51C	15
GO:1902749	regulation of cell cycle G2/M phase transition	12/30	120/18986	0.1	63.28666666666667	27.229419065514048	1.8171806666749287e-19	5.112885603053549e-18	2.2866914609354368e-18	RAD51B/RBBP8/BARD1/BRCA1/RAD50/NBN/ATM/ATR/MRE11/BLM/CHEK1/RAD51C	12
GO:0044818	mitotic G2/M transition checkpoint	10/30	55/18986	0.18181818181818182	115.06666666666666	33.701241165656505	5.030198167073817e-19	1.3537794197472579e-17	6.0546550020156246e-18	RBBP8/BARD1/BRCA1/RAD50/NBN/ATM/ATR/MRE11/BLM/CHEK1	10
GO:0110025	DNA strand resection involved in replication fork processing	7/30	10/18986	0.7	443.0066666666666	55.61847310361905	1.3816901003061705e-18	3.5636090503729984e-17	1.5937916507917668e-17	RBBP8/EXO1/BARD1/BRCA1/RAD50/NBN/MRE11	7
GO:0000723	telomere maintenance	12/30	162/18986	0.07407407407407407	46.87901234567901	23.32964811919766	7.463392902663476e-18	1.8479360826994768e-16	8.26472561431787e-17	XRCC3/BRCA2/RAD51/RAD51D/EXO1/RAD50/NBN/ATM/ATR/MRE11/BLM/RAD51C	12
GO:0010972	negative regulation of G2/M transition of mitotic cell cycle	10/30	71/18986	0.14084507042253522	89.13615023474179	29.598701325302176	7.8198737278958e-18	1.8617314759874998e-16	8.326424252779737e-17	RBBP8/BARD1/BRCA1/RAD50/NBN/ATM/ATR/MRE11/BLM/CHEK1	10
GO:1902750	negative regulation of cell cycle G2/M phase transition	10/30	73/18986	0.136986301369863	86.69406392694063	29.18263720127279	1.0502390314402397e-17	2.407770223931513e-16	1.0768532759016883e-16	RBBP8/BARD1/BRCA1/RAD50/NBN/ATM/ATR/MRE11/BLM/CHEK1	10
GO:0045930	negative regulation of mitotic cell cycle	13/30	256/18986	0.05078125	32.137760416666666	19.954049478892433	3.505309546762714e-17	7.749237890879e-16	3.4657759804458405e-16	XRCC3/FANCD2/RBBP8/BARD1/CHEK2/BRCA1/RAD50/NBN/ATM/ATR/MRE11/BLM/CHEK1	13
GO:0032200	telomere organization	12/30	193/18986	0.06217616580310881	39.34922279792746	21.302459214421766	6.357465690433079e-17	1.3569900904751985e-15	6.069014434061341e-16	XRCC3/BRCA2/RAD51/RAD51D/EXO1/RAD50/NBN/ATM/ATR/MRE11/BLM/RAD51C	12
GO:1901990	regulation of mitotic cell cycle phase transition	14/30	368/18986	0.03804347826086957	24.07644927536232	17.783570464457462	9.07262635213031e-17	1.8719852373228873e-15	8.372283265299198e-16	XRCC3/RAD51B/RBBP8/BARD1/CHEK2/BRCA1/RAD50/NBN/ATM/ATR/MRE11/BLM/CHEK1/RAD51C	14
GO:1901991	negative regulation of mitotic cell cycle phase transition	12/30	205/18986	0.05853658536585366	37.045853658536586	20.642650873464568	1.324596225105497e-16	2.6449195591622665e-15	1.1829161534897984e-15	XRCC3/RBBP8/BARD1/CHEK2/BRCA1/RAD50/NBN/ATM/ATR/MRE11/BLM/CHEK1	12
GO:0007131	reciprocal meiotic recombination	9/30	60/18986	0.15	94.93	28.98965905844538	2.2798916979454673e-16	4.276524124328013e-15	1.912636416458239e-15	FANCD2/RAD51/RAD51D/RAD51B/RAD50/BRIP1/ATM/MRE11/RAD51C	9
GO:0140527	reciprocal homologous recombination	9/30	60/18986	0.15	94.93	28.98965905844538	2.2798916979454673e-16	4.276524124328013e-15	1.912636416458239e-15	FANCD2/RAD51/RAD51D/RAD51B/RAD50/BRIP1/ATM/MRE11/RAD51C	9
GO:0006261	DNA-templated DNA replication	11/30	169/18986	0.0650887573964497	41.19250493096647	20.878813340506987	9.442176861795147e-16	1.7190316110150577e-14	7.688212119666017e-15	BRCA2/RAD51/RBBP8/EXO1/BARD1/BRCA1/RAD50/NBN/ATR/MRE11/BLM	11
GO:0000280	nuclear division	14/30	451/18986	0.031042128603104215	19.645528455284552	15.942603699981898	1.533353911015536e-15	2.7118459169103337e-14	1.2128483566829653e-14	XRCC3/FANCD2/BRCA2/RAD51/RAD51D/FANCA/RAD51B/CHEK2/RAD50/BRIP1/ATM/MRE11/CHEK1/RAD51C	14
GO:0000729	DNA double-strand break processing	7/30	22/18986	0.3181818181818182	201.36666666666667	37.40799387914612	1.938810147669733e-15	3.333676337243235e-14	1.4909563416290637e-14	RBBP8/RAD50/BRIP1/NBN/ATM/MRE11/BLM	7
GO:0044772	mitotic cell cycle phase transition	14/30	467/18986	0.029978586723768737	18.97244825124911	15.644060770372276	2.483615393791756e-15	4.1550214290732354e-14	1.8582954440035044e-14	XRCC3/RAD51B/RBBP8/BARD1/CHEK2/BRCA1/RAD50/NBN/ATM/ATR/MRE11/BLM/CHEK1/RAD51C	14
GO:0007127	meiosis I	10/30	132/18986	0.07575757575757576	47.94444444444445	21.530890693427576	4.983696851267985e-15	8.118179870881271e-14	3.630781916574737e-14	FANCD2/BRCA2/RAD51/RAD51D/RAD51B/RAD50/BRIP1/ATM/MRE11/RAD51C	10
GO:0006312	mitotic recombination	7/30	25/18986	0.28	177.2026666666667	35.070700463255235	5.44740933353986e-15	8.646016352464548e-14	3.86685196955731e-14	XRCC3/BRCA2/RAD51/RAD51D/RAD50/MRE11/RAD51C	7
GO:0140013	meiotic nuclear division	11/30	200/18986	0.055	34.80766666666667	19.120780441166577	6.165619291440591e-15	9.541295853504315e-14	4.2672575622338824e-14	FANCD2/BRCA2/RAD51/RAD51D/FANCA/RAD51B/RAD50/BRIP1/ATM/MRE11/RAD51C	11
GO:0006260	DNA replication	12/30	283/18986	0.04240282685512368	26.83533568904594	17.419844254698134	6.491153282085457e-15	9.800058247831458e-14	4.382986683410719e-14	BRCA2/RAD51/RBBP8/EXO1/BARD1/BRCA1/RAD50/NBN/ATR/MRE11/BLM/CHEK1	12
GO:0061982	meiosis I cell cycle process	10/30	140/18986	0.07142857142857142	45.2047619047619	20.884114145484283	9.091209696902507e-15	1.3398711434244408e-13	5.992451504474584e-14	FANCD2/BRCA2/RAD51/RAD51D/RAD51B/RAD50/BRIP1/ATM/MRE11/RAD51C	10
GO:0010212	response to ionizing radiation	10/30	143/18986	0.06993006993006994	44.25641025641026	20.65551598397221	1.1285290261467688e-14	1.6245569004298835e-13	7.265682591838437e-14	FANCD2/BRCA2/RAD51/XRCC2/BARD1/CHEK2/BRCA1/ATM/ATR/BLM	10
GO:1903046	meiotic cell cycle process	11/30	222/18986	0.04954954954954955	31.35825825825826	18.100192943763442	1.958510272853337e-14	2.7552678611277626e-13	1.2322684252641809e-13	FANCD2/BRCA2/RAD51/RAD51D/FANCA/RAD51B/RAD50/BRIP1/ATM/MRE11/RAD51C	11
GO:0000722	telomere maintenance via recombination	6/30	14/18986	0.42857142857142855	271.2285714285714	40.23752905223646	2.7194683162017955e-14	3.7407797505086923e-13	1.673029630786134e-13	XRCC3/BRCA2/RAD51/RAD51D/RAD50/RAD51C	6
GO:0071479	cellular response to ionizing radiation	8/30	75/18986	0.10666666666666667	67.50577777777778	22.957539452113082	2.2038171271861085e-13	2.9655713081047853e-12	1.326324724141754e-12	BRCA2/RAD51/BARD1/CHEK2/BRCA1/ATM/ATR/BLM	8
GO:0044773	mitotic DNA damage checkpoint signaling	8/30	87/18986	0.09195402298850575	58.19463601532566	21.271009050838305	7.538923579132582e-13	9.928922756346954e-12	4.440620159713033e-12	FANCD2/CHEK2/BRCA1/NBN/ATM/MRE11/BLM/CHEK1	8
GO:0044774	mitotic DNA integrity checkpoint signaling	8/30	91/18986	0.08791208791208792	55.636630036630045	20.783741420840506	1.091950692044023e-12	1.4081614132817713e-11	6.297873508938114e-12	FANCD2/CHEK2/BRCA1/NBN/ATM/MRE11/BLM/CHEK1	8
GO:0007095	mitotic G2 DNA damage checkpoint signaling	6/30	37/18986	0.16216216216216217	102.62702702702703	24.615548261216443	2.053403388839487e-11	2.593993260595189e-10	1.1601398308588295e-10	BRCA1/NBN/ATM/MRE11/BLM/CHEK1	6
GO:0051053	negative regulation of DNA metabolic process	8/30	138/18986	0.057971014492753624	36.68792270531401	16.73866255907307	3.247010643339722e-11	4.019799176454576e-10	1.7978185246280986e-10	FANCB/RAD50/NBN/ATM/ATR/MRE11/BLM/CHEK1	8
GO:0006282	regulation of DNA repair	9/30	227/18986	0.039647577092511016	25.09162995594714	14.526696022689741	4.900387270110586e-11	5.947724941565593e-10	2.660065742082732e-10	RAD51/FANCB/ATRIP/BARD1/BRCA1/NBN/ATR/MRE11/CHEK1	9
GO:0010332	response to gamma radiation	6/30	53/18986	0.11320754716981132	71.64528301886793	20.488207540291082	1.9928456607550243e-10	2.372252815398769e-9	1.060968438823019e-9	FANCD2/BRCA2/XRCC2/CHEK2/ATM/ATR	6
GO:0001832	blastocyst growth	5/30	23/18986	0.21739130434782608	137.57971014492753	26.072889273036385	2.2880317349395345e-10	2.6722483847690035e-9	1.1951387215275025e-9	BRCA2/RAD51B/PALB2/NBN/CHEK1	5
GO:0071478	cellular response to radiation	8/30	185/18986	0.043243243243243246	27.36720720720721	14.336795803143733	3.402444154163743e-10	3.900209132272883e-9	1.744332967924102e-9	BRCA2/RAD51/BARD1/CHEK2/BRCA1/ATM/ATR/BLM	8
GO:0070192	chromosome organization involved in meiotic cell cycle	6/30	66/18986	0.09090909090909091	57.53333333333333	18.302422351471698	7.776535896190253e-10	8.752137672257757e-9	3.914313762101505e-9	FANCD2/RAD51/RAD50/BRIP1/ATM/MRE11	6
GO:0009314	response to radiation	10/30	442/18986	0.02262443438914027	14.318250377073905	11.270655586287479	8.370158823933252e-10	9.252014842883363e-9	4.137879268222642e-9	FANCD2/BRCA2/RAD51/XRCC2/BARD1/CHEK2/BRCA1/ATM/ATR/BLM	10
GO:0071214	cellular response to abiotic stimulus	9/30	342/18986	0.02631578947368421	16.65438596491228	11.621765851878296	1.8433175622596522e-9	1.9672647776529737e-8	8.798412320767485e-9	BRCA2/RAD51/BARD1/CHEK2/BRCA1/ATM/ATR/BLM/CHEK1	9
GO:0104004	cellular response to environmental stimulus	9/30	342/18986	0.02631578947368421	16.65438596491228	11.621765851878296	1.8433175622596522e-9	1.9672647776529737e-8	8.798412320767485e-9	BRCA2/RAD51/BARD1/CHEK2/BRCA1/ATM/ATR/BLM/CHEK1	9
GO:0032508	DNA duplex unwinding	6/30	77/18986	0.07792207792207792	49.31428571428571	16.899708865137264	2.0051692653358353e-9	2.1037284326150542e-8	9.408733573297496e-9	RAD51/RAD50/BRIP1/NBN/MRE11/BLM	6
GO:0000018	regulation of DNA recombination	7/30	143/18986	0.04895104895104895	30.97948717948718	14.315607165655194	2.089186157939278e-9	2.1553437196073554e-8	9.6395782375093e-9	RAD51/FANCB/RAD50/NBN/MRE11/BLM/CHEK1	7
GO:2000779	regulation of double-strand break repair	7/30	145/18986	0.04827586206896552	30.55218390804598	14.210657920061784	2.302410236835688e-9	2.3363802239365423e-8	1.0449247494180947e-8	RAD51/FANCB/ATRIP/NBN/ATR/MRE11/CHEK1	7
GO:0032392	DNA geometric change	6/30	83/18986	0.07228915662650602	45.74939759036145	16.2537453155475	3.1714392991611637e-9	3.1663240744850976e-8	1.4161095682162753e-8	RAD51/RAD50/BRIP1/NBN/MRE11/BLM	6
GO:0071103	DNA conformation change	6/30	91/18986	0.06593406593406594	41.72747252747253	15.49270621500404	5.552227733230187e-9	5.455284074396009e-8	2.439826054869739e-8	RAD51/RAD50/BRIP1/NBN/MRE11/BLM	6
GO:0001325	formation of extrachromosomal circular DNA	4/30	15/18986	0.26666666666666666	168.76444444444445	25.857886128830835	6.8287222419627495e-9	6.404513739052942e-8	2.8643603662459377e-8	XRCC3/EXO1/NBN/BLM	4
GO:0090656	t-circle formation	4/30	15/18986	0.26666666666666666	168.76444444444445	25.857886128830835	6.8287222419627495e-9	6.404513739052942e-8	2.8643603662459377e-8	XRCC3/EXO1/NBN/BLM	4
GO:0090737	telomere maintenance via telomere trimming	4/30	15/18986	0.26666666666666666	168.76444444444445	25.857886128830835	6.8287222419627495e-9	6.404513739052942e-8	2.8643603662459377e-8	XRCC3/EXO1/NBN/BLM	4
GO:1901976	regulation of cell cycle checkpoint	5/30	48/18986	0.10416666666666667	65.92361111111111	17.916319903297833	1.1327717819402378e-8	1.0465458701806078e-7	4.680580968582601e-8	XRCC3/BRCA2/RAD51/BARD1/BRCA1	5
GO:0090399	replicative senescence	4/30	17/18986	0.23529411764705882	148.90980392156862	24.271229781583852	1.188041126363345e-8	1.081466848851339e-7	4.8367618612006144e-8	CHEK2/ATM/ATR/CHEK1	4
GO:0051054	positive regulation of DNA metabolic process	8/30	295/18986	0.02711864406779661	17.162485875706217	11.130007979371035	1.3440391142968935e-8	1.2057394373185175e-7	5.392559680550465e-8	RAD51/FANCB/BRCA1/RAD50/NBN/ATM/ATR/MRE11	8
GO:0001824	blastocyst development	6/30	118/18986	0.05084745762711865	32.179661016949154	13.515808730477515	2.6653547069012505e-8	2.356935090816963e-7	1.0541177261880132e-7	BRCA2/RAD51B/RBBP8/PALB2/NBN/CHEK1	6
GO:2000001	regulation of DNA damage checkpoint	4/30	22/18986	0.18181818181818182	115.06666666666666	21.2959832065277	3.631517721226678e-8	3.166069675266639e-7	1.415995790485717e-7	BRCA2/RAD51/BARD1/BRCA1	4
