id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
C1orf109	10	6.054e-12	4.9505e-06	0.000825	1	10	-2.7905	1.0	1.0	0.999995	1000	0	-2.7905
ANAPC4	10	3.8516e-09	4.9505e-06	0.000825	2	8	-1.9675	0.66256	0.84968	0.999995	800	2	-1.9675
C7orf26	10	1.3981e-08	4.9505e-06	0.000825	3	10	-2.083	0.99999	0.99999	0.999995	998	0	-2.083
C3orf17	10	2.2536e-07	4.9505e-06	0.000825	4	10	-2.1187	0.99999	0.99997	0.999995	997	0	-2.1187
C14orf80	10	2.2672e-07	4.9505e-06	0.000825	5	9	-1.542	0.99789	0.9977	0.999995	988	0	-1.542
C16orf80	10	4.1399e-07	4.9505e-06	0.000825	6	9	-1.0385	0.9897	0.98989	0.999995	973	1	-1.0385
ANAPC2	10	8.1104e-07	2.4752e-05	0.00275	7	7	-1.1249	0.96915	0.97931	0.999995	952	1	-1.1249
C9orf78	10	8.5078e-07	2.4752e-05	0.00275	8	8	-1.0449	0.9988	0.99866	0.999995	992	0	-1.0449
C9orf41	10	8.8462e-07	2.4752e-05	0.00275	9	8	-1.5857	0.99736	0.99723	0.999995	986	0	-1.5857
BUB3	10	1.4069e-06	3.4653e-05	0.003427	10	7	-1.3932	0.61647	0.82581	0.999995	777	3	-1.3932
ARL2	10	2.496e-06	4.4554e-05	0.003427	11	8	-0.8766	0.84932	0.9343	0.999995	899	2	-0.8766
BYSL	10	2.5964e-06	4.4554e-05	0.003427	12	7	-0.92609	0.78268	0.91349	0.999995	877	3	-0.92609
ANAPC11	10	3.2712e-06	4.4554e-05	0.003427	13	6	-0.85512	0.28195	0.56416	0.999995	536	3	-0.85512
BCL2	10	4.4494e-06	5.4455e-05	0.00363	14	8	-1.1857	0.92717	0.96692	0.999995	936	1	-1.1857
C12orf44	10	5.1312e-06	5.4455e-05	0.00363	15	10	-0.62656	0.99999	0.99999	0.999995	999	0	-0.62656
ACTR8	10	6.1414e-06	6.4356e-05	0.004022	16	8	-0.79283	0.98261	0.98484	0.999995	959	1	-0.79283
C9orf114	10	6.8207e-06	7.4257e-05	0.004368	17	8	-1.0595	0.99457	0.99435	0.999995	982	0	-1.0595
CCDC115	10	9.5879e-06	0.00011386	0.006076	18	9	-1.3731	0.99853	0.99845	0.999995	990	0	-1.3731
ANAPC7	10	1.0471e-05	0.00012376	0.006076	19	7	-0.96837	0.99277	0.99275	0.999995	978	0	-0.96837
C19orf70	10	1.0922e-05	0.00013366	0.006076	20	9	-0.918	0.99982	0.99984	0.999995	995	0	-0.918
BRD8	10	1.2275e-05	0.00013366	0.006076	21	7	-1.5945	0.64914	0.84269	0.999995	792	2	-1.5945
C21orf59	10	1.2709e-05	0.00013366	0.006076	22	8	-1.4084	0.9874	0.98792	0.999995	967	1	-1.4084
C12orf45	10	2.5838e-05	0.00027228	0.011287	23	5	-0.24363	0.71818	0.87851	0.999995	838	2	-0.24363
CASC3	10	3.1464e-05	0.00028218	0.011287	24	8	-0.72239	0.82839	0.92753	0.999995	888	1	-0.72239
ALG2	10	3.1677e-05	0.00028218	0.011287	25	8	-0.88339	0.95993	0.97634	0.999995	945	1	-0.88339
BCAS2	10	3.3611e-05	0.00030198	0.011615	26	8	-0.67252	0.67675	0.85703	0.999995	807	2	-0.67252
CAD	10	4.715e-05	0.00036139	0.013385	27	7	-0.99151	0.65973	0.84846	0.999995	798	2	-0.99151
BAP1	10	7.9606e-05	0.00055941	0.019979	28	6	-0.59953	0.99522	0.99495	0.999995	984	0	-0.59953
BRF1	10	8.4283e-05	0.00061881	0.021152	29	7	-0.76996	0.92638	0.96642	0.999995	935	2	-0.76996
ACIN1	10	9.4052e-05	0.00068812	0.021152	30	9	-0.81135	0.98561	0.98675	0.999995	962	1	-0.81135
ASH2L	10	9.5091e-05	0.00068812	0.021152	31	8	-0.99375	0.72857	0.88427	0.999995	845	1	-0.99375
BPTF	10	9.9546e-05	0.00069802	0.021152	32	9	-0.73951	0.98657	0.98735	0.999995	964	1	-0.73951
BUD31	10	0.0001024	0.00069802	0.021152	33	8	-1.3727	0.52435	0.77427	0.999995	723	1	-1.3727
C16orf72	10	0.0001881	0.0013119	0.038585	34	5	-0.18049	0.10616	0.30417	0.928561	325	4	-0.18049
ANAPC15	10	0.0002376	0.0016782	0.047949	35	9	-0.91206	0.58877	0.81228	0.999995	767	1	-0.91206
C11orf83	10	0.00024625	0.0017277	0.047992	36	8	-0.6125	0.99997	0.99994	0.999995	996	0	-0.6125
C17orf70	10	0.00026891	0.0018564	0.050174	37	8	-0.8577	0.69323	0.86545	0.999995	816	1	-0.8577
CARM1	10	0.00028576	0.002005	0.052762	38	8	-0.58557	0.77864	0.91113	0.999995	875	1	-0.58557
C8orf33	10	0.00032049	0.0022723	0.058264	39	6	-1.125	0.98882	0.98919	0.999995	971	1	-1.125
ASNA1	10	0.0004053	0.0028663	0.070152	40	5	-0.2787	0.91028	0.95854	0.999995	927	2	-0.2787
C10orf32	10	0.00040692	0.0028762	0.070152	41	8	-0.54563	0.84375	0.93255	0.999995	897	2	-0.54563
AHCY	10	0.00046546	0.0031931	0.076025	42	6	-0.49299	0.06177	0.20534	0.870091	236	3	-0.49299
ATPAF2	10	0.00048788	0.0033614	0.078172	43	6	-0.73956	0.029137	0.11767	0.726348	162	2	-0.73956
BDP1	10	0.00060077	0.0039752	0.090347	44	7	-0.68103	0.78171	0.91305	0.999995	876	1	-0.68103
C19orf52	10	0.00064662	0.004302	0.0956	45	7	-0.51944	0.6096	0.82233	0.999995	774	3	-0.51944
C1orf127	10	0.00068228	0.0044505	0.09675	46	7	-0.59527	0.54938	0.79308	0.999995	743	1	-0.59527
C6orf57	10	0.00080049	0.0051832	0.11028	47	8	-1.0541	0.72888	0.88444	0.999995	846	1	-1.0541
C17orf96	10	0.00088812	0.0055792	0.116233	48	5	-0.3441	0.93526	0.97078	0.999995	939	1	-0.3441
BANP	10	0.0009359	0.0058762	0.119923	49	5	-0.43163	0.16652	0.40563	0.975794	414	4	-0.43163
AQR	10	0.0010672	0.0066386	0.132772	50	6	-0.57392	0.67478	0.85611	0.999995	804	2	-0.57392
BCR	10	0.001141	0.0070545	0.138323	51	7	-0.61595	0.96845	0.97902	0.999995	951	1	-0.61595
C21orf2	10	0.0011937	0.0072822	0.140042	52	7	-0.59624	0.34676	0.62688	0.999995	587	3	-0.59624
BRPF1	10	0.0013294	0.0079752	0.14879	53	8	-0.57234	0.99968	0.99972	0.999995	994	0	-0.57234
BCL2L1	10	0.0013394	0.0080347	0.14879	54	8	-0.70743	0.9993	0.99922	0.999995	993	0	-0.70743
C6orf48	10	0.0015529	0.0092624	0.168407	55	8	-0.29696	0.72295	0.88102	0.999995	841	1	-0.29696
AHCTF1	10	0.0017032	0.010153	0.179273	56	5	-0.1647	0.41236	0.683	0.999995	645	3	-0.1647
CBFB	10	0.001793	0.010559	0.179273	57	4	-0.16053	0.71727	0.87808	0.999995	837	3	-0.16053
ATMIN	10	0.0018003	0.010589	0.179273	58	5	-0.44316	0.38255	0.65853	0.999995	618	3	-0.44316
CACTIN	10	0.0018482	0.010797	0.179273	59	7	-0.77454	0.9872	0.98776	0.999995	966	1	-0.77454
AATF	10	0.0018488	0.010797	0.179273	60	7	-0.63272	0.9722	0.98032	0.999995	953	1	-0.63272
