sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
BARHL1_p135458330	BARHL1	74.997/56.859	379.82/433.4	65.928	406.61	2.6065	164.48	1659	8.3643	1	3.1922e-17	6.3844e-17	1.4509e-14	True
C1orf122_m38274695	C1orf122	139.9/98.212	525.66/634.95	119.06	580.3	2.2756	868.88	3059.3	8.3392	1	3.8001e-17	7.6002e-17	1.6888e-14	True
ATAD5_m29159379	ATAD5	124.03/58.583	490.66/495.73	91.308	493.19	2.4205	2141.9	2324.3	8.3359	1	3.9601e-17	7.9201e-17	1.7216e-14	True
CASP2_p142989379	CASP2	173.07/179.19	926.87/547.57	176.13	737.22	2.0592	18.749	4589.4	8.2823	1	6.0668e-17	1.2134e-16	2.5814e-14	True
ARAF_m47422445	ARAF	536.52/398.02	1235.4/1508.7	467.27	1372.1	1.552	9591.2	12605	8.0589	1	3.8483e-16	7.6967e-16	1.6033e-13	True
ARID3A_p929692	ARID3A	53.363/189.53	492.6/647.77	121.45	570.18	2.2218	9270.9	3123	8.0298	1	4.955e-16	9.91e-16	2.0223e-13	True
C16orf70_m67154022	C16orf70	105.28/737.45	1374.7/1116.1	421.37	1245.4	1.5612	1.9982e+05	11325	7.7435	1	4.8359e-15	9.6719e-15	1.9342e-12	True
CCDC11_p47792729	CCDC11	60.574/27.568	195.74/402.52	44.071	299.13	2.7353	544.71	1093.2	7.7141	1	6.7021e-15	1.3404e-14	2.628e-12	True
AIMP1_p107252880	AIMP1	0/79.259	545.75/15.728	39.629	280.74	2.7938	3141	979.36	7.7045	1	7.3204e-15	1.4641e-14	2.8153e-12	True
BARX1_p96717254	BARX1	2.8845/105.1	162.04/505.05	53.994	333.54	2.6048	5224.4	1349.1	7.611	1	1.4638e-14	2.9276e-14	5.5232e-12	True
CAMK2D_m114682200	CAMK2D	294.22/551.36	1422.7/1027	422.79	1224.8	1.5324	33062	11365	7.5236	1	2.6653e-14	5.3306e-14	9.8704e-12	True
APEH_p49711824	APEH	0/0	0/59.417	0.72112	29.709	4.1572	0	15.468	7.3704	1	1.4854e-13	2.9708e-13	5.2115e-11	True
ACTR8_m53916081	ACTR8	1889.3/1993.5	200.28/239.42	1941.4	219.85	-3.1367	5426.9	55098	7.3344	1.1132e-13	1	2.2263e-13	4.0475e-11	False
ACRC_p70811990	ACRC	486.04/587.55	1191.3/1646.8	536.79	1419.1	1.4008	5152.1	14552	7.3136	1	1.3004e-13	2.6009e-13	4.6439e-11	True
ACRC_m70814198	ACRC	74.997/87.874	459.55/363.49	81.435	411.52	2.3231	82.906	2064.6	7.2645	1	1.9426e-13	3.8852e-13	6.698e-11	True
ACTR1A_p104250290	ACTR1A	594.21/716.77	2101.3/1141.2	655.49	1621.2	1.3051	7511.4	17897	7.219	1	2.6182e-13	5.2365e-13	8.8745e-11	True
C7orf25_m42950372	C7orf25	954.77/689.21	2149.9/1643.3	821.99	1896.6	1.2052	35262	22624	7.1445	1	4.5165e-13	9.0329e-13	1.5053e-10	True
C12orf54_m48879968	C12orf54	103.84/310.14	607.33/850.48	206.99	728.9	1.8112	21280	5424.5	7.0862	1	6.9074e-13	1.3815e-12	2.2645e-10	True
ASXL2_m26101036	ASXL2	106.73/251.56	584.64/741.55	179.14	663.1	1.8822	10488	4670.7	7.0813	1	7.172e-13	1.4344e-12	2.3133e-10	True
CAB39_p231655616	CAB39	0/39.629	232.04/114.17	19.815	173.11	3.0643	785.24	477.8	7.0129	1	1.4271e-12	2.8542e-12	4.4593e-10	True
ANAPC10_m145985757	ANAPC10	1945.6/1462.8	147.78/185.24	1704.2	166.51	-3.3476	1.1653e+05	48141	7.0083	1.2019e-12	1	2.4038e-12	3.8151e-10	False
C8orf4_p40011195	C8orf4	0/130.95	458.9/237.09	65.475	347.99	2.3923	8573.8	1647.1	6.9611	1	1.783e-12	3.566e-12	5.4856e-10	True
BEX4_p102471173	BEX4	0/0	30.463/25.631	0.72112	28.047	4.077	0	15.468	6.9479	1	3.2358e-12	6.4716e-12	8.8028e-10	True
C9orf114_m131591070	C9orf114	1671.6/1555.9	254.08/22.136	1613.7	138.11	-3.537	6691.5	45496	6.9181	2.2698e-12	1	4.5397e-12	6.8381e-10	False
ATXN1L_m71884018	ATXN1L	1756.7/1860.9	3345.8/3402.5	1808.8	3374.2	0.89916	5428.4	51203	6.918	1	2.291e-12	4.582e-12	6.8381e-10	True
AHCY_p32883238	AHCY	60.574/211.93	631.31/460.78	136.25	546.04	1.9948	11454	3518	6.9089	1	2.4688e-12	4.9375e-12	7.1649e-10	True
AKT1_p105246515	AKT1	863.91/877.01	1438.3/2443.1	870.46	1940.7	1.1558	85.899	24008	6.9072	1	2.4721e-12	4.9443e-12	7.1649e-10	True
CASP8_m202131283	CASP8	826.41/882.18	1363.7/2459.4	854.3	1911.6	1.161	1555.4	23546	6.8901	1	2.7867e-12	5.5735e-12	7.9613e-10	True
ACSS2_p33500893	ACSS2	92.304/434.2	731.12/944.27	263.25	837.7	1.6662	58446	6958.1	6.8866	1	2.8601e-12	5.7202e-12	8.0559e-10	True
C2orf69_m200776191	C2orf69	2225.4/1681.7	440.1/226.6	1953.5	333.35	-2.5474	1.4782e+05	55453	6.8802	2.9888e-12	1	5.9777e-12	8.3015e-10	False
ASUN_p27089577	ASUN	297.1/503.12	1453.8/769.51	400.11	1111.7	1.4719	21222	10734	6.8679	1	3.2574e-12	6.5147e-12	8.8028e-10	True
CAMKV_p49899565	CAMKV	372.1/199.87	1217.2/548.15	285.99	882.7	1.6226	14832	7581.3	6.8532	1	3.6121e-12	7.2241e-12	9.6312e-10	True
CASP2_m142988689	CASP2	243.74/573.76	1240.6/1004.9	408.75	1122.7	1.4555	54458	10974	6.8153	1	4.7021e-12	9.4043e-12	1.2373e-09	True
BRD4_m15383860	BRD4	302.87/332.54	893.16/991.45	317.71	942.31	1.5655	440.14	8453.8	6.7933	1	5.483e-12	1.0966e-11	1.424e-09	True
CAMKV_p49899560	CAMKV	245.18/525.52	976.78/1165	385.35	1070.9	1.4722	39294	10324	6.7471	1	7.5438e-12	1.5088e-11	1.9341e-09	True
ACIN1_m23538698	ACIN1	3360.4/3704.5	2046.9/702.52	3532.5	1374.7	-1.3609	59182	1.0241e+05	6.7425	7.7816e-12	1	1.5563e-11	1.9698e-09	False
C18orf25_p43795921	C18orf25	3467.2/2009	1295.7/407.18	2738.1	851.43	-1.6841	1.0631e+06	78665	6.7268	8.6746e-12	1	1.7349e-11	2.1684e-09	False
C9orf64_m86571296	C9orf64	373.54/525.52	704.55/1674.2	449.53	1189.4	1.4017	11548	12110	6.7229	1	8.9049e-12	1.781e-11	2.1985e-09	True
BNIP3L_m26240729	BNIP3L	271.14/609.95	1241.9/1101	440.55	1171.4	1.4089	57394	11859	6.7114	1	9.6395e-12	1.9279e-11	2.3509e-09	True
AKNA_p117143433	AKNA	125.48/127.5	241.76/774.17	126.49	507.97	1.9972	2.0552	3257.3	6.684	1	1.178e-11	2.3561e-11	2.8384e-09	True
BACH1_m30693738	BACH1	1792.7/2384.7	4246.1/3134	2088.7	3690	0.82074	1.7519e+05	59431	6.5687	1	2.538e-11	5.0761e-11	6.0423e-09	True
AATK_m79102275	AATK	895.64/749.51	2960.8/646.02	822.57	1803.4	1.1316	10676	22641	6.5185	1	3.5517e-11	7.1034e-11	8.3561e-09	True
C1orf116_p207196192	C1orf116	226.43/322.2	1010.5/647.18	274.32	828.83	1.5917	4586	7261.2	6.5074	1	3.826e-11	7.652e-11	8.8968e-09	True
C7orf26_m6629915	C7orf26	1468.2/1910.8	367.51/170.1	1689.5	268.8	-2.6475	97953	47711	6.5043	3.9038e-11	1	7.8076e-11	8.9004e-09	False
ANK3_m61898739	ANK3	118.26/423.86	1085.7/558.06	271.06	821.86	1.5967	46695	7172	6.5039	1	3.9166e-11	7.8331e-11	8.9004e-09	True
AKIRIN2_p88411295	AKIRIN2	2515.3/2422.6	717.51/772.43	2468.9	744.97	-1.7273	4298.9	70671	6.4849	4.4383e-11	1	8.8765e-11	9.9726e-09	False
C4orf17_m100434291	C4orf17	148.55/124.06	254.73/786.99	136.3	520.86	1.9263	299.99	3519.4	6.4822	1	4.5702e-11	9.1403e-11	1.0155e-08	True
ALMS1_p73613022	ALMS1	1237.5/1454.2	82.316/104.27	1345.8	93.294	-3.8363	23496	37699	6.4568	5.3475e-11	1	1.0695e-10	1.1752e-08	False
CCDC116_p21987456	CCDC116	243.74/439.37	919.09/986.79	341.55	952.94	1.4776	19135	9111.7	6.405	1	7.5221e-11	1.5044e-10	1.6351e-08	True
BSN_p49592025	BSN	320.18/167.13	598.25/915.14	243.66	756.7	1.6309	11712	6422.5	6.4018	1	7.6878e-11	1.5376e-10	1.6531e-08	True
C1orf109_p38155419	C1orf109	1110.5/1538.7	154.91/34.369	1324.6	94.639	-3.7929	91643	37083	6.3926	8.1529e-11	1	1.6306e-10	1.7345e-08	False
ANKRD17_m74124363	ANKRD17	1635.5/1097.6	223.62/16.893	1366.5	120.25	-3.4955	1.447e+05	38300	6.3706	9.4168e-11	1	1.8834e-10	1.9823e-08	False
ARID5A_p97215080	ARID5A	1681.7/1449.1	344.17/118.83	1565.4	231.5	-2.7521	27053	44085	6.3528	1.0569e-10	1	2.1138e-10	2.2016e-08	False
C2orf76_m120097429	C2orf76	810.54/1114.8	1985.3/2012.6	962.67	1999	1.0534	46283	26646	6.3485	1	1.0874e-10	2.1749e-10	2.2419e-08	True
C1orf228_m45155535	C1orf228	660.55/804.65	1391.6/1872.2	732.6	1631.9	1.1544	10382	20082	6.3462	1	1.1037e-10	2.2074e-10	2.2522e-08	True
ACIN1_m23538803	ACIN1	2386.9/2059	1096.7/158.45	2223	627.57	-1.823	53766	63393	6.3365	1.1752e-10	1	2.3504e-10	2.3739e-08	False
C16orf71_p4786553	C16orf71	501.9/354.94	1227.6/979.22	428.42	1103.4	1.3628	10799	11522	6.2885	1	1.6032e-10	3.2064e-10	3.2061e-08	True
ACBD6_p180471256	ACBD6	105.28/277.41	568.44/700.19	191.34	634.31	1.7238	14813	5000.5	6.2642	1	1.8798e-10	3.7596e-10	3.722e-08	True
ANLN_m36435949	ANLN	1983.1/2407.1	383.71/887.18	2195.1	635.45	-1.7868	89871	62569	6.2351	2.258e-10	1	4.516e-10	4.427e-08	False
BNIP3_m133784386	BNIP3	686.51/870.12	1298.3/2078.4	778.32	1688.4	1.1162	16857	21381	6.2237	1	2.4284e-10	4.8568e-10	4.7149e-08	True
BTBD8_m92554275	BTBD8	891.31/1014.9	941.78/2983.1	953.08	1962.4	1.0412	7631.8	26371	6.2155	1	2.5577e-10	5.1153e-10	4.9181e-08	True
C15orf26_m81426694	C15orf26	447.1/666.81	1583.5/1055.5	556.95	1319.5	1.2429	24136	15119	6.2016	1	2.794e-10	5.5879e-10	5.3213e-08	True
C12orf45_p105380121	C12orf45	1811.5/756.4	137.41/85.048	1283.9	111.23	-3.5172	5.5658e+05	35905	6.1921	2.9678e-10	1	5.9355e-10	5.599e-08	False
C11orf84_m63581243	C11orf84	634.59/420.42	1569.2/960.58	527.5	1264.9	1.2602	22935	14292	6.1681	1	3.4551e-10	6.9102e-10	6.4575e-08	True
BRD8_m137513337	BRD8	1331.2/2003.9	396.67/271.46	1667.5	334.06	-2.3161	2.2624e+05	47068	6.1464	3.9642e-10	1	7.9284e-10	7.3404e-08	False
C11orf96_m43964501	C11orf96	188.93/470.38	1015.7/793.98	329.66	904.82	1.4539	39607	8783.3	6.1371	1	4.2034e-10	8.4069e-10	7.7119e-08	True
ADCK1_p78285331	ADCK1	783.14/746.07	1519.3/1787.8	764.6	1653.5	1.1117	687.31	20991	6.1355	1	4.2453e-10	8.4906e-10	7.718e-08	True
CALB1_p91094267	CALB1	650.45/603.06	1435/1413.8	626.75	1424.4	1.1831	1123.3	17085	6.1024	1	5.2234e-10	1.0447e-09	9.4106e-08	True
C12orf66_p64615961	C12orf66	641.8/806.37	1504.4/1661.9	724.09	1583.2	1.1275	13542	19840	6.099	1	5.3368e-10	1.0674e-09	9.529e-08	True
BARHL2_m91182745	BARHL2	1037/1004.5	2451.3/1639.8	1020.7	2045.6	1.0022	526.81	28313	6.0906	1	5.6251e-10	1.125e-09	9.9549e-08	True
C1orf122_p38274700	C1orf122	0/137.84	358.43/286.6	68.921	322.52	2.2101	9500.1	1737	6.0848	1	6.1346e-10	1.2269e-09	1.0485e-07	True
AXIN2_p63554587	AXIN2	145.67/361.83	773.9/729.32	253.75	751.61	1.5628	23364	6698.2	6.0831	1	5.8982e-10	1.1796e-09	1.0274e-07	True
BAP1_m52443859	BAP1	1827.3/1447.3	560.01/100.19	1637.3	330.1	-2.3069	72199	46186	6.0827	5.9082e-10	1	1.1816e-09	1.0274e-07	False
BUB3_m124914533	BUB3	1547.5/897.69	200.93/0	1222.6	100.46	-3.5921	2.1115e+05	34130	6.0788	6.0536e-10	1	1.2107e-09	1.0436e-07	False
ANP32B_p100767403	ANP32B	1606.7/1957.3	599.55/240	1782	419.77	-2.0832	61488	50419	6.0667	6.5269e-10	1	1.3054e-09	1.1061e-07	False
AAK1_m69870125	AAK1	395.18/603.06	1180.9/1223.9	499.12	1202.4	1.2668	21607	13496	6.0539	1	7.0674e-10	1.4135e-09	1.1877e-07	True
C6orf48_m31805188	C6orf48	3966.2/4261	2183.6/1854.8	4113.6	2019.2	-1.0263	43462	1.1991e+05	6.0482	7.3218e-10	1	1.4644e-09	1.2202e-07	False
C1orf87_m60538303	C1orf87	638.92/647.85	1423.4/1462.7	643.39	1443	1.1641	39.936	17555	6.0354	1	7.9308e-10	1.5862e-09	1.3107e-07	True
ADAR_m154574103	ADAR	129.8/129.23	285.84/670.48	129.51	478.16	1.8763	0.16608	3338	6.0345	1	8.0749e-10	1.615e-09	1.3236e-07	True
BMX_p15526540	BMX	258.16/368.73	858.16/867.38	313.44	862.77	1.4578	6112	8336.3	6.0165	1	8.915e-10	1.783e-09	1.4494e-07	True
BCL2_p60985746	BCL2	1533.1/952.83	128.98/119.42	1243	124.2	-3.3126	1.6836e+05	34719	6.0064	9.4861e-10	1	1.8972e-09	1.5299e-07	False
C1orf109_p38155514	C1orf109	1256.2/1611	75.835/390.29	1433.6	233.06	-2.6157	62949	40248	5.9843	1.0869e-09	1	2.1738e-09	1.7389e-07	False
ARID4B_p235420473	ARID4B	40.383/15.507	192.5/174.76	27.945	183.63	2.6732	309.4	682.11	5.961	1	1.4614e-09	2.9228e-09	2.2655e-07	True
C19orf55_p36250339	C19orf55	351.91/439.37	1117.4/899.42	395.64	1008.4	1.3476	3824.6	10610	5.9491	1	1.3482e-09	2.6964e-09	2.1398e-07	True
API5_p43357522	API5	56.248/301.53	609.92/559.22	178.89	584.57	1.7027	30081	4663.8	5.9404	1	1.4277e-09	2.8555e-09	2.2467e-07	True
BUD31_p99008759	BUD31	1658.6/1500.7	289.73/364.08	1579.7	326.9	-2.2692	12457	44502	5.9385	1.438e-09	1	2.8761e-09	2.2467e-07	False
CABP1_p121098041	CABP1	592.76/1006.2	1639.8/1716.1	799.5	1678	1.0686	85481	21984	5.9249	1	1.5629e-09	3.1258e-09	2.4042e-07	True
C7orf34_p142636762	C7orf34	4.3267/34.46	64.816/230.1	19.394	147.46	2.8639	454.02	467.29	5.9242	1	1.9249e-09	3.8497e-09	2.8942e-07	True
C10orf95_m104211219	C10orf95	1315.3/1449.1	394.08/41.359	1382.2	217.72	-2.6608	8941.1	38754	5.9153	1.6562e-09	1	3.3125e-09	2.5284e-07	False
C9orf171_m135285671	C9orf171	294.22/189.53	1086.3/341.36	241.88	713.84	1.5574	5479.7	6373.9	5.9116	1	1.6961e-09	3.3923e-09	2.5697e-07	True
AHNAK2_m105423836	AHNAK2	288.45/792.59	1406.5/1098.6	540.52	1252.6	1.211	1.2708e+05	14657	5.8815	1	2.0323e-09	4.0646e-09	3.033e-07	True
ATR_p142297487	ATR	419.69/356.66	1141.4/833.59	388.18	987.5	1.3448	1986.4	10403	5.876	1	2.1013e-09	4.2025e-09	3.1127e-07	True
C4orf32_p113108010	C4orf32	243.74/723.67	707.14/1601.9	483.7	1154.5	1.2534	1.1516e+05	13065	5.8691	1	2.1913e-09	4.3826e-09	3.2222e-07	True
C5orf34_p43509283	C5orf34	95.188/63.752	407.04/278.45	79.47	342.75	2.0948	494.14	2013	5.8679	1	2.294e-09	4.5879e-09	3.3003e-07	True
C19orf25_m1478829	C19orf25	1349.9/1612.7	241.76/327.96	1481.3	284.86	-2.3745	34531	41637	5.8636	2.2641e-09	1	4.5282e-09	3.2824e-07	False
AKT1S1_m50376512	AKT1S1	1088.9/1311.2	200.93/54.175	1200.1	127.55	-3.2239	24712	33479	5.8636	2.2651e-09	1	4.5302e-09	3.2824e-07	False
ANAPC7_m110841401	ANAPC7	2935/3067	1844/725.24	3001	1284.6	-1.2234	8710.5	86500	5.8358	2.6774e-09	1	5.3548e-09	3.8245e-07	False
C16orf72_m9185939	C16orf72	180.28/220.55	416.77/828.93	200.41	622.85	1.631	810.62	5246.1	5.8323	1	2.741e-09	5.4819e-09	3.8875e-07	True
CACTIN_p3626740	CACTIN	1834.5/1109.6	416.12/157.86	1472.1	286.99	-2.3547	2.6275e+05	41367	5.8267	2.8265e-09	1	5.653e-09	3.9806e-07	False
CCDC113_p58283947	CCDC113	362/482.44	488.06/1595.5	422.22	1041.8	1.301	7252.8	11349	5.8158	1	3.0166e-09	6.0332e-09	4.2186e-07	True
ASH2L_m37964606	ASH2L	1218.7/1674.8	379.82/170.68	1446.7	275.25	-2.3898	1.04e+05	40630	5.8119	3.0892e-09	1	6.1783e-09	4.2901e-07	False
ABCC1_p16101710	ABCC1	51.921/25.845	209.36/228.35	38.883	218.85	2.4627	339.97	960.27	5.8077	1	3.5384e-09	7.0769e-09	4.8467e-07	True
BRD2_p32942511	BRD2	203.36/527.24	776.5/1101	365.3	938.73	1.3592	52451	9768.5	5.8019	1	3.2795e-09	6.559e-09	4.523e-07	True
BCCIP_p127512141	BCCIP	1936.9/1345.7	353.9/439.8	1641.3	396.85	-2.0454	1.748e+05	46302	5.7834	3.6612e-09	1	7.3224e-09	4.9795e-07	False
C1orf50_m43233023	C1orf50	578.34/361.83	890.57/1352	470.09	1121.3	1.2524	23438	12684	5.7823	1	3.6852e-09	7.3704e-09	4.9795e-07	True
BCHE_m165548708	BCHE	46.152/213.65	385.01/543.49	129.9	464.25	1.8295	14028	3348.4	5.778	1	3.827e-09	7.6539e-09	5.1364e-07	True
ANAPC13_m134201719	ANAPC13	2133.1/2257.1	1343.6/159.61	2195.1	751.62	-1.545	7695.8	62570	5.7707	3.9464e-09	1	7.8927e-09	5.2613e-07	False
CBFB_m67063316	CBFB	1238.9/1519.7	389.54/100.78	1379.3	245.16	-2.4873	39426	38670	5.7674	4.025e-09	1	8.0501e-09	5.3306e-07	False
BTK_m100630256	BTK	269.7/413.52	1310.6/473.01	341.61	891.79	1.3818	10343	9113.3	5.7632	1	4.1262e-09	8.2524e-09	5.4287e-07	True
AHR_m17349599	AHR	170.19/373.89	633.9/887.76	272.04	760.83	1.4804	20749	7198.8	5.761	1	4.1847e-09	8.3694e-09	5.4697e-07	True
ANAPC2_m140082898	ANAPC2	1639.8/2708.6	1140.1/344.27	2174.2	742.19	-1.5493	5.711e+05	61953	5.7533	4.3762e-09	1	8.7524e-09	5.6828e-07	False
AXL_m41726539	AXL	1168.2/1161.3	2069.6/2331.8	1164.8	2200.7	0.91734	23.874	32460	5.7499	1	4.4639e-09	8.9278e-09	5.7593e-07	True
C1orf74_p209956923	C1orf74	517.77/473.83	1803.8/514.37	495.8	1159.1	1.2235	965.29	13403	5.7294	1	5.0398e-09	1.008e-08	6.4606e-07	True
C14orf93_p23468105	C14orf93	155.76/151.63	459.55/569.71	153.69	514.63	1.7369	8.56	3985.4	5.7173	1	5.4529e-09	1.0906e-08	6.9456e-07	True
ACTR8_m53916067	ACTR8	1243.2/1121.7	257.97/43.107	1182.5	150.54	-2.9653	7385.5	32970	5.684	6.5775e-09	1	1.3155e-08	8.3251e-07	False
ADNP_m49520507	ADNP	941.79/1356	1468.7/2861.9	1148.9	2165.3	0.91374	85791	32002	5.6819	1	6.6617e-09	1.3323e-08	8.3786e-07	True
BARX2_m129245931	BARX2	1204.3/1242.3	2204.4/2337.7	1223.3	2271	0.89204	722.59	34150	5.6697	1	7.1529e-09	1.4306e-08	8.9403e-07	True
