sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
AIFM1_p129299590	AIFM1	0/0	260.56/594.76	0.72112	427.66	7.9603	0	15.468	108.55	1	0	0	0	True
APLF_p68694848	APLF	12.98/20.676	1852.4/2114	16.828	1983.2	6.7983	29.614	403.45	97.898	1	0	0	0	True
C21orf33_m45553648	C21orf33	8.6535/12.061	1101.2/724.66	10.357	912.94	6.3304	5.8059	244.08	57.772	1	0	0	0	True
C9orf69_p139008710	C9orf69	5.769/1.723	603.44/387.38	3.746	495.41	6.7087	8.185	85.161	53.278	1	0	0	0	True
C9orf9_p135759399	C9orf9	1.4422/0	222.32/170.68	0.72112	196.5	6.8423	1.04	15.468	49.778	1	0	0	0	True
C4orf22_p81283909	C4orf22	0/0	159.45/230.68	0.72112	195.06	6.8318	0	15.468	49.413	1	0	0	0	True
BMPR2_m203242221	BMPR2	15.865/15.507	964.46/681.55	15.686	823.01	5.626	0.063942	375.13	41.683	1	0	0	0	True
ADRA1A_m26722428	ADRA1A	0/0	70.001/187.57	0.72112	128.79	6.2366	0	15.468	32.562	1	1.2371e-232	2.4741e-232	3.0924e-229	True
CCDC117_p29168890	CCDC117	10.096/32.737	416.77/707.18	21.417	561.97	4.6504	256.32	517.85	23.754	1	6.014e-125	1.2028e-124	1.3363e-121	True
ADNP2_m77891006	ADNP2	0/0	16.204/171.84	0.72112	94.024	5.7869	0	15.468	23.723	1	1.8133e-124	3.6265e-124	3.6261e-121	True
ANKK1_m113258686	ANKK1	37.498/31.014	508.16/774.76	34.256	641.46	4.1876	21.023	842.22	20.923	1	1.885e-97	3.77e-97	3.4269e-94	True
C7orf43_m99755908	C7orf43	0/0	103.71/37.864	0.72112	70.785	5.3823	0	15.468	17.814	1	4.7717e-71	9.5433e-71	7.952e-68	True
AHRR_p344008	AHRR	246.62/215.38	1607.4/1529.7	231	1568.6	2.7582	488.21	6077.4	17.158	1	2.7582e-66	5.5163e-66	4.2429e-63	True
CASP14_p15164300	CASP14	161.53/89.597	1200.4/931.45	125.56	1065.9	3.0755	2587.3	3232.7	16.539	1	9.7268e-62	1.9454e-61	1.3894e-58	True
CABLES1_m20774494	CABLES1	171.63/279.13	1476.5/1322.3	225.38	1399.4	2.6291	5778.2	5924.3	15.253	1	7.8319e-53	1.5664e-52	1.0441e-49	True
ARID3A_p929553	ARID3A	487.48/313.59	559.36/3366.4	400.53	1962.9	2.2901	15119	10746	15.071	1	1.247e-51	2.494e-51	1.5586e-48	True
C3orf38_p88199291	C3orf38	126.92/125.78	834.83/1085.2	126.35	960.03	2.9158	0.64737	3253.6	14.616	1	1.1302e-48	2.2605e-48	1.3296e-45	True
C12orf54_p48877078	C12orf54	1233.1/1726.5	5152.9/3362.3	1479.8	4257.6	1.524	1.2169e+05	41592	13.621	1	1.5096e-42	3.0192e-42	1.6772e-39	True
CAPG_p85629021	CAPG	1.4422/0	59.631/45.437	0.72112	52.534	4.959	1.04	15.468	13.174	1	1.0831e-39	2.1661e-39	1.14e-36	True
C12orf56_m64784296	C12orf56	31.729/67.198	292.32/707.77	49.464	500.04	3.3116	628.99	1232	12.837	1	5.536e-38	1.1072e-37	5.5354e-35	True
ALK_m30143504	ALK	0/22.399	151.67/284.27	11.2	217.97	4.1658	250.86	264.66	12.71	1	3.4513e-37	6.9027e-37	3.2866e-34	True
C9orf89_p95869956	C9orf89	70.67/74.09	587.23/549.32	72.38	568.28	2.9557	5.8462	1827.4	11.601	1	2.1437e-31	4.2874e-31	1.9486e-28	True
C19orf48_m51301627	C19orf48	131.24/136.12	723.35/905.24	133.68	814.29	2.5978	11.875	3449.3	11.589	1	2.38e-31	4.76e-31	2.0694e-28	True
C14orf159_m91626710	C14orf159	253.84/199.87	869.18/1368.3	226.85	1118.8	2.297	1456.2	5964.4	11.549	1	3.7478e-31	7.4956e-31	3.1228e-28	True
C1orf61_p156384471	C1orf61	1.4422/49.967	391.49/231.84	25.705	311.67	3.5494	1177.3	625.57	11.433	1	1.6826e-30	3.3651e-30	1.3459e-27	True
ALPK3_p85360110	ALPK3	462.96/444.54	1846/1579.8	453.75	1712.9	1.9141	169.73	12228	11.387	1	2.4354e-30	4.8709e-30	1.8732e-27	True
ADRBK1_m67034181	ADRBK1	364.89/851.17	2461.1/1593.2	608.03	2027.1	1.7356	1.1823e+05	16557	11.029	1	1.3888e-28	2.7776e-28	1.0287e-25	True
BRSK1_m55795909	BRSK1	196.15/137.84	797.88/988.54	166.99	893.21	2.4122	1699.7	4343.1	11.02	1	1.5439e-28	3.0879e-28	1.1027e-25	True
CAPS_m5914439	CAPS	259.6/608.22	2628.9/599.42	433.91	1614.2	1.8929	60768	11675	10.923	1	4.4562e-28	8.9124e-28	3.0729e-25	True
ATPAF2_p17942260	ATPAF2	47.594/43.075	477.05/345.44	45.335	411.24	3.1533	10.21	1125.7	10.906	1	5.9348e-28	1.187e-27	3.9561e-25	True
BCL11B_m99737538	BCL11B	28.845/34.46	284.54/361.75	31.653	323.14	3.3114	15.766	776.03	10.464	1	7.2652e-26	1.453e-25	4.6867e-23	True
C8orf76_p124253503	C8orf76	21.634/22.399	148.43/368.74	22.016	258.58	3.4955	0.29296	532.88	10.248	1	7.2796e-25	1.4559e-24	4.4114e-22	True
ACAD9_m128598565	ACAD9	725.45/897.69	2597.2/2087.8	811.57	2342.5	1.5281	14833	22328	10.245	1	6.2114e-25	1.2423e-24	3.8817e-22	True
C5orf52_m157098668	C5orf52	109.61/132.67	852.98/507.38	121.14	680.18	2.4795	265.91	3114.8	10.017	1	6.5395e-24	1.3079e-23	3.8464e-21	True
CAPG_p85629026	CAPG	67.786/49.967	488.71/352.43	58.877	420.57	2.8157	158.75	1475.6	9.4158	1	2.5045e-21	5.009e-21	1.431e-18	True
C3orf80_p159943507	C3orf80	0/60.306	38.89/528.93	30.153	283.91	3.1931	1818.4	737.98	9.341	1	5.5042e-21	1.1008e-20	3.0576e-18	True
BATF3_p212873003	BATF3	0/29.291	14.908/360.58	14.646	187.74	3.5926	428.99	349.4	9.2605	1	1.2987e-20	2.5973e-20	7.0191e-18	True
BLM_m91292739	BLM	269.7/537.58	1352.7/1375.3	403.64	1364	1.7542	35880	10832	9.2275	1	1.3846e-20	2.7692e-20	7.2867e-18	True
C1orf109_m38155471	C1orf109	3386.4/3608	886.03/387.38	3497.2	636.71	-2.4556	24551	1.0135e+05	8.985	1.2935e-19	1	2.587e-19	6.6327e-17	False
C19orf67_p14196374	C19orf67	0/8.6151	55.094/126.99	4.3075	91.042	4.1162	37.11	98.411	8.7431	1	1.697e-18	3.3941e-18	8.4844e-16	True
CASZ1_m10725597	CASZ1	0/0	46.019/23.301	0.72112	34.66	4.3729	0	15.468	8.6293	1	5.3875e-18	1.0775e-17	2.6278e-15	True
C14orf80_m105957987	C14orf80	2783.5/2908.4	694.83/139.81	2846	417.32	-2.7668	7801	81878	8.4876	1.0544e-17	1	2.1087e-17	5.0203e-15	False
C2orf74_m61390243	C2orf74	0/0	42.779/25.048	0.72112	33.914	4.3424	0	15.468	8.4395	1	2.7823e-17	5.5646e-17	1.294e-14	True
