Gene	sgRNA	eff
AAAS	AAAS_sg1	1
AAAS	AAAS_sg2	1
AAAS	AAAS_sg3	1
AAAS	AAAS_sg4	1
AAK1	AAK1_sg1	1
AAK1	AAK1_sg2	1
AAK1	AAK1_sg3	1
AAK1	AAK1_sg4	1
AATF	AATF_sg1	1
AATF	AATF_sg2	1
AATF	AATF_sg3	1
AATF	AATF_sg4	1
AATK	AATK_sg1	1
AATK	AATK_sg2	1
AATK	AATK_sg3	1
AATK	AATK_sg4	1
ABCC1	ABCC1_sg1	1
ABCC1	ABCC1_sg2	1
ABCC1	ABCC1_sg3	1
ABCC1	ABCC1_sg4	1
ABHD14B	ABHD14B_sg1	1
ABHD14B	ABHD14B_sg2	1
ABHD14B	ABHD14B_sg3	1
ABHD14B	ABHD14B_sg4	1
ABTB1	ABTB1_sg1	1
ABTB1	ABTB1_sg2	1
ABTB1	ABTB1_sg3	1
ABTB1	ABTB1_sg4	1
ACAD9	ACAD9_sg1	1
ACAD9	ACAD9_sg2	1
ACAD9	ACAD9_sg3	1
ACAD9	ACAD9_sg4	1
ACAT2	ACAT2_sg1	1
ACAT2	ACAT2_sg2	1
ACAT2	ACAT2_sg3	1
ACAT2	ACAT2_sg4	1
ACD	ACD_sg1	1
ACD	ACD_sg2	1
ACD	ACD_sg3	1
ACD	ACD_sg4	1
ACHE	ACHE_sg1	1
ACHE	ACHE_sg2	1
ACHE	ACHE_sg3	1
ACHE	ACHE_sg4	1
ACLY	ACLY_sg1	1
ACLY	ACLY_sg2	1
ACLY	ACLY_sg3	1
ACLY	ACLY_sg4	1
ACO2	ACO2_sg1	1
ACO2	ACO2_sg2	1
ACO2	ACO2_sg3	1
ACO2	ACO2_sg4	1
ACP1	ACP1_sg1	1
ACP1	ACP1_sg2	1
ACP1	ACP1_sg3	1
ACP1	ACP1_sg4	1
ACTL6B	ACTL6B_sg1	1
ACTL6B	ACTL6B_sg2	1
ACTL6B	ACTL6B_sg3	1
ACTL6B	ACTL6B_sg4	1
ACTN1	ACTN1_sg1	1
ACTN1	ACTN1_sg2	1
ACTN1	ACTN1_sg3	1
ACTN1	ACTN1_sg4	1
ACTR1A	ACTR1A_sg1	1
ACTR1A	ACTR1A_sg2	1
ACTR1A	ACTR1A_sg3	1
ACTR1A	ACTR1A_sg4	1
ACTR3	ACTR3_sg1	1
ACTR3	ACTR3_sg2	1
