Gene	sgRNA	eff
ACTR3	ACTR3_sg3	1
ACTR3	ACTR3_sg4	1
ACTR8	ACTR8_sg1	1
ACTR8	ACTR8_sg2	1
ACTR8	ACTR8_sg3	1
ACTR8	ACTR8_sg4	1
ACTRT3	ACTRT3_sg1	1
ACTRT3	ACTRT3_sg2	1
ACTRT3	ACTRT3_sg3	1
ACTRT3	ACTRT3_sg4	1
ADAD1	ADAD1_sg1	1
ADAD1	ADAD1_sg2	1
ADAD1	ADAD1_sg3	1
ADAD1	ADAD1_sg4	1
ADAM10	ADAM10_sg1	1
ADAM10	ADAM10_sg2	1
ADAM10	ADAM10_sg3	1
ADAM10	ADAM10_sg4	1
ADAM12	ADAM12_sg1	1
ADAM12	ADAM12_sg2	1
ADAM12	ADAM12_sg3	1
ADAM12	ADAM12_sg4	1
ADAMTS5	ADAMTS5_sg1	1
ADAMTS5	ADAMTS5_sg2	1
ADAMTS5	ADAMTS5_sg3	1
ADAMTS5	ADAMTS5_sg4	1
ADAP1	ADAP1_sg1	1
ADAP1	ADAP1_sg2	1
ADAP1	ADAP1_sg3	1
ADAP1	ADAP1_sg4	1
ADCK3	ADCK3_sg1	1
ADCK3	ADCK3_sg2	1
ADCK3	ADCK3_sg3	1
ADCK3	ADCK3_sg4	1
ADCK4	ADCK4_sg1	1
ADCK4	ADCK4_sg2	1
ADCK4	ADCK4_sg3	1
ADCK4	ADCK4_sg4	1
ADCY1	ADCY1_sg1	1
ADCY1	ADCY1_sg2	1
ADCY1	ADCY1_sg3	1
ADCY1	ADCY1_sg4	1
ADH5	ADH5_sg1	1
ADH5	ADH5_sg2	1
ADH5	ADH5_sg3	1
ADH5	ADH5_sg4	1
ADNP	ADNP_sg1	1
ADNP	ADNP_sg2	1
ADNP	ADNP_sg3	1
ADNP	ADNP_sg4	1
ADNP2	ADNP2_sg1	1
ADNP2	ADNP2_sg2	1
ADNP2	ADNP2_sg3	1
ADNP2	ADNP2_sg4	1
ADPRHL2	ADPRHL2_sg1	1
ADPRHL2	ADPRHL2_sg2	1
ADPRHL2	ADPRHL2_sg3	1
ADPRHL2	ADPRHL2_sg4	1
ADRA1A	ADRA1A_sg1	1
ADRA1A	ADRA1A_sg2	1
ADRA1A	ADRA1A_sg3	1
ADRA1A	ADRA1A_sg4	1
ADRB1	ADRB1_sg1	1
ADRB1	ADRB1_sg2	1
ADRB1	ADRB1_sg3	1
ADRB1	ADRB1_sg4	1
ADRB3	ADRB3_sg1	1
ADRB3	ADRB3_sg2	1
ADRB3	ADRB3_sg3	1
ADRB3	ADRB3_sg4	1
ADRBK1	ADRBK1_sg1	1
ADRBK1	ADRBK1_sg2	1
ADRBK1	ADRBK1_sg3	1
ADRBK1	ADRBK1_sg4	1
ADRBK2	ADRBK2_sg1	1
ADRBK2	ADRBK2_sg2	1
ADRBK2	ADRBK2_sg3	1
ADRBK2	ADRBK2_sg4	1
AEBP2	AEBP2_sg1	1
AEBP2	AEBP2_sg2	1
AEBP2	AEBP2_sg3	1
AEBP2	AEBP2_sg4	1
AEN	AEN_sg1	1
AEN	AEN_sg2	1
AEN	AEN_sg3	1
AEN	AEN_sg4	1
AFF1	AFF1_sg1	1
AFF1	AFF1_sg2	1
AFF1	AFF1_sg3	1
AFF1	AFF1_sg4	1
AFF2	AFF2_sg1	1
AFF2	AFF2_sg2	1
AFF2	AFF2_sg3	1
AFF2	AFF2_sg4	1
AFF3	AFF3_sg1	1
AFF3	AFF3_sg2	1
AFF3	AFF3_sg3	1
AFF3	AFF3_sg4	1
AFF4	AFF4_sg1	1
AFF4	AFF4_sg2	1
AFF4	AFF4_sg3	1
AFF4	AFF4_sg4	1
AGAP3	AGAP3_sg1	1
AGAP3	AGAP3_sg2	1
AGAP3	AGAP3_sg3	1
AGAP3	AGAP3_sg4	1
AGBL5	AGBL5_sg1	1
AGBL5	AGBL5_sg2	1
AGBL5	AGBL5_sg3	1
AGBL5	AGBL5_sg4	1
AGPAT3	AGPAT3_sg1	1
AGPAT3	AGPAT3_sg2	1
AGPAT3	AGPAT3_sg3	1
AGPAT3	AGPAT3_sg4	1
AGTPBP1	AGTPBP1_sg1	1
AGTPBP1	AGTPBP1_sg2	1
AGTPBP1	AGTPBP1_sg3	1
AGTPBP1	AGTPBP1_sg4	1
AIFM3	AIFM3_sg1	1
AIFM3	AIFM3_sg2	1
AIFM3	AIFM3_sg3	1
AIFM3	AIFM3_sg4	1
AIP	AIP_sg1	1
AIP	AIP_sg2	1
AIP	AIP_sg3	1
AIP	AIP_sg4	1
AIRE	AIRE_sg1	1
AIRE	AIRE_sg2	1
AIRE	AIRE_sg3	1
AIRE	AIRE_sg4	1
AJUBA	AJUBA_sg1	1
AJUBA	AJUBA_sg2	1
AJUBA	AJUBA_sg3	1
AJUBA	AJUBA_sg4	1
AK1	AK1_sg1	1
AK1	AK1_sg2	1
AK1	AK1_sg3	1
AK1	AK1_sg4	1
AKAP11	AKAP11_sg1	1
AKAP11	AKAP11_sg2	1
AKAP11	AKAP11_sg3	1
AKAP11	AKAP11_sg4	1
AKAP6	AKAP6_sg1	1
AKAP6	AKAP6_sg2	1
AKAP6	AKAP6_sg3	1
AKAP6	AKAP6_sg4	1
AKAP8	AKAP8_sg1	1
AKAP8	AKAP8_sg2	1
AKAP8	AKAP8_sg3	1
AKAP8	AKAP8_sg4	1
AKIRIN2	AKIRIN2_sg1	1
AKIRIN2	AKIRIN2_sg2	1
AKIRIN2	AKIRIN2_sg3	1
AKIRIN2	AKIRIN2_sg4	1
AKR1C3	AKR1C3_sg1	1
AKR1C3	AKR1C3_sg2	1
AKR1C3	AKR1C3_sg3	1
AKR1C3	AKR1C3_sg4	1
AKT2	AKT2_sg1	1
AKT2	AKT2_sg2	1
AKT2	AKT2_sg3	1
AKT2	AKT2_sg4	1
ALDH1A2	ALDH1A2_sg1	1
ALDH1A2	ALDH1A2_sg2	1
ALDH1A2	ALDH1A2_sg3	1
ALDH1A2	ALDH1A2_sg4	1
ALDH1B1	ALDH1B1_sg1	1
ALDH1B1	ALDH1B1_sg2	1
ALDH1B1	ALDH1B1_sg3	1
ALDH1B1	ALDH1B1_sg4	1
ALDH6A1	ALDH6A1_sg1	1
ALDH6A1	ALDH6A1_sg2	1
ALDH6A1	ALDH6A1_sg3	1
ALDH6A1	ALDH6A1_sg4	1
ALDH7A1	ALDH7A1_sg1	1
ALDH7A1	ALDH7A1_sg2	1
ALDH7A1	ALDH7A1_sg3	1
ALDH7A1	ALDH7A1_sg4	1
ALG2	ALG2_sg1	1
ALG2	ALG2_sg2	1
ALG2	ALG2_sg3	1
ALG2	ALG2_sg4	1
ALKBH2	ALKBH2_sg1	1
ALKBH2	ALKBH2_sg2	1
ALKBH2	ALKBH2_sg3	1
ALKBH2	ALKBH2_sg4	1
ALKBH5	ALKBH5_sg1	1
ALKBH5	ALKBH5_sg2	1
ALKBH5	ALKBH5_sg3	1
ALKBH5	ALKBH5_sg4	1
ALMS1	ALMS1_sg1	1
ALMS1	ALMS1_sg2	1
ALMS1	ALMS1_sg3	1
ALMS1	ALMS1_sg4	1
ALOX5AP	ALOX5AP_sg1	1
ALOX5AP	ALOX5AP_sg2	1
ALOX5AP	ALOX5AP_sg3	1
ALOX5AP	ALOX5AP_sg4	1
ALPK1	ALPK1_sg1	1
ALPK1	ALPK1_sg2	1
ALPK1	ALPK1_sg3	1
ALPK1	ALPK1_sg4	1
ALX4	ALX4_sg1	1
ALX4	ALX4_sg2	1
ALX4	ALX4_sg3	1
ALX4	ALX4_sg4	1
ALYREF	ALYREF_sg1	1
ALYREF	ALYREF_sg2	1
ALYREF	ALYREF_sg3	1
ALYREF	ALYREF_sg4	1
AMER1	AMER1_sg1	1
AMER1	AMER1_sg2	1
AMER1	AMER1_sg3	1
AMER1	AMER1_sg4	1
AMHR2	AMHR2_sg1	1
AMHR2	AMHR2_sg2	1
AMHR2	AMHR2_sg3	1
AMHR2	AMHR2_sg4	1
AMOT	AMOT_sg1	1
AMOT	AMOT_sg2	1
AMOT	AMOT_sg3	1
AMOT	AMOT_sg4	1
ANAPC2	ANAPC2_sg1	1
ANAPC2	ANAPC2_sg2	1
ANAPC2	ANAPC2_sg3	1
ANAPC2	ANAPC2_sg4	1
ANAPC5	ANAPC5_sg1	1
ANAPC5	ANAPC5_sg2	1
ANAPC5	ANAPC5_sg3	1
ANAPC5	ANAPC5_sg4	1
ANAPC7	ANAPC7_sg1	1
ANAPC7	ANAPC7_sg2	1
ANAPC7	ANAPC7_sg3	1
ANAPC7	ANAPC7_sg4	1
ANKHD1	ANKHD1_sg1	1
ANKHD1	ANKHD1_sg2	1
ANKHD1	ANKHD1_sg3	1
ANKHD1	ANKHD1_sg4	1
ANKK1	ANKK1_sg1	1
ANKK1	ANKK1_sg2	1
ANKK1	ANKK1_sg3	1
ANKK1	ANKK1_sg4	1
ANKLE2	ANKLE2_sg1	1
ANKLE2	ANKLE2_sg2	1
ANKLE2	ANKLE2_sg3	1
ANKLE2	ANKLE2_sg4	1
ANKRD30A	ANKRD30A_sg1	1
ANKRD30A	ANKRD30A_sg2	1
ANKRD30A	ANKRD30A_sg3	1
ANKRD30A	ANKRD30A_sg4	1
ANKRD32	ANKRD32_sg1	1
ANKRD32	ANKRD32_sg2	1
ANKRD32	ANKRD32_sg3	1
ANKRD32	ANKRD32_sg4	1
ANKRD42	ANKRD42_sg1	1
ANKRD42	ANKRD42_sg2	1
ANKRD42	ANKRD42_sg3	1
ANKRD42	ANKRD42_sg4	1
ANKS1A	ANKS1A_sg1	1
ANKS1A	ANKS1A_sg2	1
ANKS1A	ANKS1A_sg3	1
ANKS1A	ANKS1A_sg4	1
ANLN	ANLN_sg1	1
ANLN	ANLN_sg2	1
ANLN	ANLN_sg3	1
ANLN	ANLN_sg4	1
ANO2	ANO2_sg1	1
ANO2	ANO2_sg2	1
ANO2	ANO2_sg3	1
ANO2	ANO2_sg4	1
ANP32A	ANP32A_sg1	1
ANP32A	ANP32A_sg2	1
ANP32A	ANP32A_sg3	1
ANP32A	ANP32A_sg4	1
ANP32E	ANP32E_sg1	1
ANP32E	ANP32E_sg2	1
ANP32E	ANP32E_sg3	1
ANP32E	ANP32E_sg4	1
ANXA1	ANXA1_sg1	1
ANXA1	ANXA1_sg2	1
ANXA1	ANXA1_sg3	1
ANXA1	ANXA1_sg4	1
ANXA11	ANXA11_sg1	1
ANXA11	ANXA11_sg2	1
ANXA11	ANXA11_sg3	1
ANXA11	ANXA11_sg4	1
AP1AR	AP1AR_sg1	1
AP1AR	AP1AR_sg2	1
AP1AR	AP1AR_sg3	1
AP1AR	AP1AR_sg4	1
AP5Z1	AP5Z1_sg1	1
AP5Z1	AP5Z1_sg2	1
AP5Z1	AP5Z1_sg3	1
AP5Z1	AP5Z1_sg4	1
APC	APC_sg1	1
APC	APC_sg2	1
APC	APC_sg3	1
APC	APC_sg4	1
APEX1	APEX1_sg1	1
APEX1	APEX1_sg2	1
APEX1	APEX1_sg3	1
APEX1	APEX1_sg4	1
APEX2	APEX2_sg1	1
APEX2	APEX2_sg2	1
APEX2	APEX2_sg3	1
APEX2	APEX2_sg4	1
APOA1	APOA1_sg1	1
APOA1	APOA1_sg2	1
APOA1	APOA1_sg3	1
APOA1	APOA1_sg4	1
APOBEC3A	APOBEC3A_sg1	1
APOBEC3A	APOBEC3A_sg2	1
APOBEC3A	APOBEC3A_sg3	1
APOBEC3A	APOBEC3A_sg4	1
APOBEC3B	APOBEC3B_sg1	1
APOBEC3B	APOBEC3B_sg2	1
APOBEC3B	APOBEC3B_sg3	1
APOBEC3B	APOBEC3B_sg4	1
APOBEC3C	APOBEC3C_sg1	1
APOBEC3C	APOBEC3C_sg2	1
APOBEC3C	APOBEC3C_sg3	1
APOBEC3C	APOBEC3C_sg4	1
APOBEC3H	APOBEC3H_sg1	1
APOBEC3H	APOBEC3H_sg2	1
APOBEC3H	APOBEC3H_sg3	1
APOBEC3H	APOBEC3H_sg4	1
APPBP2	APPBP2_sg1	1
APPBP2	APPBP2_sg2	1
APPBP2	APPBP2_sg3	1
APPBP2	APPBP2_sg4	1
APPL1	APPL1_sg1	1
APPL1	APPL1_sg2	1
APPL1	APPL1_sg3	1
APPL1	APPL1_sg4	1
AR	AR_sg1	1
AR	AR_sg2	1
AR	AR_sg3	1
AR	AR_sg4	1
ARGFX	ARGFX_sg1	1
ARGFX	ARGFX_sg2	1
ARGFX	ARGFX_sg3	1
ARGFX	ARGFX_sg4	1
ARHGAP22	ARHGAP22_sg1	1
ARHGAP22	ARHGAP22_sg2	1
ARHGAP22	ARHGAP22_sg3	1
ARHGAP22	ARHGAP22_sg4	1
ARHGEF10	ARHGEF10_sg1	1
ARHGEF10	ARHGEF10_sg2	1
ARHGEF10	ARHGEF10_sg3	1
ARHGEF10	ARHGEF10_sg4	1
ARID2	ARID2_sg1	1
ARID2	ARID2_sg2	1
ARID2	ARID2_sg3	1
ARID2	ARID2_sg4	1
ARID3A	ARID3A_sg1	1
ARID3A	ARID3A_sg2	1
ARID3A	ARID3A_sg3	1
ARID3A	ARID3A_sg4	1
ARID3B	ARID3B_sg1	1
ARID3B	ARID3B_sg2	1
ARID3B	ARID3B_sg3	1
ARID3B	ARID3B_sg4	1
ARID4A	ARID4A_sg1	1
ARID4A	ARID4A_sg2	1
ARID4A	ARID4A_sg3	1
ARID4A	ARID4A_sg4	1
ARID4B	ARID4B_sg1	1
ARID4B	ARID4B_sg2	1
ARID4B	ARID4B_sg3	1
ARID4B	ARID4B_sg4	1
ARID5A	ARID5A_sg1	1
ARID5A	ARID5A_sg2	1
ARID5A	ARID5A_sg3	1
ARID5A	ARID5A_sg4	1
ARID5B	ARID5B_sg1	1
ARID5B	ARID5B_sg2	1
ARID5B	ARID5B_sg3	1
ARID5B	ARID5B_sg4	1
ARL2	ARL2_sg1	1
ARL2	ARL2_sg2	1
ARL2	ARL2_sg3	1
ARL2	ARL2_sg4	1
ARL4D	ARL4D_sg1	1
ARL4D	ARL4D_sg2	1
ARL4D	ARL4D_sg3	1
ARL4D	ARL4D_sg4	1
ARNTL2	ARNTL2_sg1	1
ARNTL2	ARNTL2_sg2	1
ARNTL2	ARNTL2_sg3	1
ARNTL2	ARNTL2_sg4	1
ARRB2	ARRB2_sg1	1
ARRB2	ARRB2_sg2	1
ARRB2	ARRB2_sg3	1
ARRB2	ARRB2_sg4	1
ARX	ARX_sg1	1
ARX	ARX_sg2	1
ARX	ARX_sg3	1
ARX	ARX_sg4	1
ASCC1	ASCC1_sg1	1
ASCC1	ASCC1_sg2	1
ASCC1	ASCC1_sg3	1
ASCC1	ASCC1_sg4	1
ASCL1	ASCL1_sg1	1
ASCL1	ASCL1_sg2	1
ASCL1	ASCL1_sg3	1
ASCL1	ASCL1_sg4	1
ASCL2	ASCL2_sg1	1
ASCL2	ASCL2_sg2	1
ASCL2	ASCL2_sg3	1
ASCL2	ASCL2_sg4	1
ASH2L	ASH2L_sg1	1
ASH2L	ASH2L_sg2	1
ASH2L	ASH2L_sg3	1
ASH2L	ASH2L_sg4	1
ASNA1	ASNA1_sg1	1
ASNA1	ASNA1_sg2	1
ASNA1	ASNA1_sg3	1
ASNA1	ASNA1_sg4	1
ASPA	ASPA_sg1	1
ASPA	ASPA_sg2	1
ASPA	ASPA_sg3	1
ASPA	ASPA_sg4	1
ASPM	ASPM_sg1	1
ASPM	ASPM_sg2	1
ASPM	ASPM_sg3	1
ASPM	ASPM_sg4	1
ASRGL1	ASRGL1_sg1	1
ASRGL1	ASRGL1_sg2	1
ASRGL1	ASRGL1_sg3	1
ASRGL1	ASRGL1_sg4	1
ASUN	ASUN_sg1	1
ASUN	ASUN_sg2	1
ASUN	ASUN_sg3	1
ASUN	ASUN_sg4	1
ASZ1	ASZ1_sg1	1
ASZ1	ASZ1_sg2	1
ASZ1	ASZ1_sg3	1
ASZ1	ASZ1_sg4	1
ATF5	ATF5_sg1	1
ATF5	ATF5_sg2	1
ATF5	ATF5_sg3	1
ATF5	ATF5_sg4	1
ATF7	ATF7_sg1	1
ATF7	ATF7_sg2	1
ATF7	ATF7_sg3	1
ATF7	ATF7_sg4	1
ATF7IP	ATF7IP_sg1	1
ATF7IP	ATF7IP_sg2	1
ATF7IP	ATF7IP_sg3	1
ATF7IP	ATF7IP_sg4	1
ATF7IP2	ATF7IP2_sg1	1
ATF7IP2	ATF7IP2_sg2	1
ATF7IP2	ATF7IP2_sg3	1
ATF7IP2	ATF7IP2_sg4	1
ATM	ATM_sg1	1
ATM	ATM_sg2	1
ATM	ATM_sg3	1
ATM	ATM_sg4	1
ATP1A3	ATP1A3_sg1	1
ATP1A3	ATP1A3_sg2	1
ATP1A3	ATP1A3_sg3	1
ATP1A3	ATP1A3_sg4	1
ATP1B4	ATP1B4_sg1	1
ATP1B4	ATP1B4_sg2	1
ATP1B4	ATP1B4_sg3	1
ATP1B4	ATP1B4_sg4	1
ATP2A3	ATP2A3_sg1	1
ATP2A3	ATP2A3_sg2	1
ATP2A3	ATP2A3_sg3	1
ATP2A3	ATP2A3_sg4	1
ATP6V0A1	ATP6V0A1_sg1	1
ATP6V0A1	ATP6V0A1_sg2	1
ATP6V0A1	ATP6V0A1_sg3	1
ATP6V0A1	ATP6V0A1_sg4	1
ATR	ATR_sg1	1
ATR	ATR_sg2	1
ATR	ATR_sg3	1
ATR	ATR_sg4	1
ATRAID	ATRAID_sg1	1
ATRAID	ATRAID_sg2	1
ATRAID	ATRAID_sg3	1
ATRAID	ATRAID_sg4	1
ATRIP	ATRIP_sg1	1
ATRIP	ATRIP_sg2	1
ATRIP	ATRIP_sg3	1
ATRIP	ATRIP_sg4	1
ATRX	ATRX_sg1	1
ATRX	ATRX_sg2	1
ATRX	ATRX_sg3	1
ATRX	ATRX_sg4	1
ATXN1L	ATXN1L_sg1	1
ATXN1L	ATXN1L_sg2	1
ATXN1L	ATXN1L_sg3	1
ATXN1L	ATXN1L_sg4	1
ATXN2	ATXN2_sg1	1
ATXN2	ATXN2_sg2	1
ATXN2	ATXN2_sg3	1
ATXN2	ATXN2_sg4	1
ATXN7	ATXN7_sg1	1
ATXN7	ATXN7_sg2	1
ATXN7	ATXN7_sg3	1
ATXN7	ATXN7_sg4	1
AUNIP	AUNIP_sg1	1
AUNIP	AUNIP_sg2	1
AUNIP	AUNIP_sg3	1
AUNIP	AUNIP_sg4	1
AURKA	AURKA_sg1	1
AURKA	AURKA_sg2	1
AURKA	AURKA_sg3	1
AURKA	AURKA_sg4	1
AURKC	AURKC_sg1	1
AURKC	AURKC_sg2	1
AURKC	AURKC_sg3	1
AURKC	AURKC_sg4	1
AVPI1	AVPI1_sg1	1
AVPI1	AVPI1_sg2	1
AVPI1	AVPI1_sg3	1
AVPI1	AVPI1_sg4	1
AXIN2	AXIN2_sg1	1
AXIN2	AXIN2_sg2	1
AXIN2	AXIN2_sg3	1
AXIN2	AXIN2_sg4	1
AXL	AXL_sg1	1
AXL	AXL_sg2	1
AXL	AXL_sg3	1
AXL	AXL_sg4	1
AZI1	AZI1_sg1	1
AZI1	AZI1_sg2	1
AZI1	AZI1_sg3	1
AZI1	AZI1_sg4	1
B9D2	B9D2_sg1	1
B9D2	B9D2_sg2	1
B9D2	B9D2_sg3	1
B9D2	B9D2_sg4	1
BABAM1	BABAM1_sg1	1
BABAM1	BABAM1_sg2	1
BABAM1	BABAM1_sg3	1
BABAM1	BABAM1_sg4	1
BACH1	BACH1_sg1	1
BACH1	BACH1_sg2	1
BACH1	BACH1_sg3	1
BACH1	BACH1_sg4	1
BACH2	BACH2_sg1	1
BACH2	BACH2_sg2	1
BACH2	BACH2_sg3	1
BACH2	BACH2_sg4	1
BAIAP2	BAIAP2_sg1	1
BAIAP2	BAIAP2_sg2	1
BAIAP2	BAIAP2_sg3	1
BAIAP2	BAIAP2_sg4	1
BAIAP2L1	BAIAP2L1_sg1	1
BAIAP2L1	BAIAP2L1_sg2	1
BAIAP2L1	BAIAP2L1_sg3	1
BAIAP2L1	BAIAP2L1_sg4	1
BARD1	BARD1_sg1	1
BARD1	BARD1_sg2	1
BARD1	BARD1_sg3	1
BARD1	BARD1_sg4	1
BARHL1	BARHL1_sg1	1
BARHL1	BARHL1_sg2	1
BARHL1	BARHL1_sg3	1
BARHL1	BARHL1_sg4	1
BARHL2	BARHL2_sg1	1
BARHL2	BARHL2_sg2	1
BARHL2	BARHL2_sg3	1
BARHL2	BARHL2_sg4	1
BARX2	BARX2_sg1	1
BARX2	BARX2_sg2	1
BARX2	BARX2_sg3	1
BARX2	BARX2_sg4	1
BASP1	BASP1_sg1	1
BASP1	BASP1_sg2	1
BASP1	BASP1_sg3	1
BASP1	BASP1_sg4	1
BATF	BATF_sg1	1
BATF	BATF_sg2	1
BATF	BATF_sg3	1
BATF	BATF_sg4	1
BATF2	BATF2_sg1	1
BATF2	BATF2_sg2	1
BATF2	BATF2_sg3	1
BATF2	BATF2_sg4	1
BATF3	BATF3_sg1	1
BATF3	BATF3_sg2	1
BATF3	BATF3_sg3	1
BATF3	BATF3_sg4	1
BAX	BAX_sg1	1
BAX	BAX_sg2	1
BAX	BAX_sg3	1
BAX	BAX_sg4	1
BAZ1A	BAZ1A_sg1	1
BAZ1A	BAZ1A_sg2	1
BAZ1A	BAZ1A_sg3	1
BAZ1A	BAZ1A_sg4	1
BBX	BBX_sg1	1
BBX	BBX_sg2	1
BBX	BBX_sg3	1
BBX	BBX_sg4	1
BCAS2	BCAS2_sg1	1
BCAS2	BCAS2_sg2	1
BCAS2	BCAS2_sg3	1
BCAS2	BCAS2_sg4	1
BCAS3	BCAS3_sg1	1
BCAS3	BCAS3_sg2	1
BCAS3	BCAS3_sg3	1
BCAS3	BCAS3_sg4	1
BCCIP	BCCIP_sg1	1
BCCIP	BCCIP_sg2	1
BCCIP	BCCIP_sg3	1
BCCIP	BCCIP_sg4	1
BCHE	BCHE_sg1	1
BCHE	BCHE_sg2	1
BCHE	BCHE_sg3	1
BCHE	BCHE_sg4	1
BCKDK	BCKDK_sg1	1
BCKDK	BCKDK_sg2	1
BCKDK	BCKDK_sg3	1
BCKDK	BCKDK_sg4	1
BCL10	BCL10_sg1	1
BCL10	BCL10_sg2	1
BCL10	BCL10_sg3	1
BCL10	BCL10_sg4	1
BCL11A	BCL11A_sg1	1
BCL11A	BCL11A_sg2	1
BCL11A	BCL11A_sg3	1
BCL11A	BCL11A_sg4	1
BCL2	BCL2_sg1	1
BCL2	BCL2_sg2	1
BCL2	BCL2_sg3	1
BCL2	BCL2_sg4	1
BCL2L10	BCL2L10_sg1	1
BCL2L10	BCL2L10_sg2	1
BCL2L10	BCL2L10_sg3	1
BCL2L10	BCL2L10_sg4	1
BCL6	BCL6_sg1	1
BCL6	BCL6_sg2	1
BCL6	BCL6_sg3	1
BCL6	BCL6_sg4	1
BCL9L	BCL9L_sg1	1
BCL9L	BCL9L_sg2	1
BCL9L	BCL9L_sg3	1
BCL9L	BCL9L_sg4	1
BCLAF1	BCLAF1_sg1	1
BCLAF1	BCLAF1_sg2	1
BCLAF1	BCLAF1_sg3	1
BCLAF1	BCLAF1_sg4	1
BCORL1	BCORL1_sg1	1
BCORL1	BCORL1_sg2	1
BCORL1	BCORL1_sg3	1
BCORL1	BCORL1_sg4	1
BDH1	BDH1_sg1	1
BDH1	BDH1_sg2	1
BDH1	BDH1_sg3	1
BDH1	BDH1_sg4	1
BDP1	BDP1_sg1	1
BDP1	BDP1_sg2	1
BDP1	BDP1_sg3	1
BDP1	BDP1_sg4	1
BEX1	BEX1_sg1	1
BEX1	BEX1_sg2	1
BEX1	BEX1_sg3	1
BEX1	BEX1_sg4	1
BEX2	BEX2_sg1	1
BEX2	BEX2_sg2	1
BEX2	BEX2_sg3	1
BEX2	BEX2_sg4	1
BHLHE40	BHLHE40_sg1	1
BHLHE40	BHLHE40_sg2	1
BHLHE40	BHLHE40_sg3	1
BHLHE40	BHLHE40_sg4	1
BHLHE41	BHLHE41_sg1	1
BHLHE41	BHLHE41_sg2	1
BHLHE41	BHLHE41_sg3	1
BHLHE41	BHLHE41_sg4	1
BIN1	BIN1_sg1	1
BIN1	BIN1_sg2	1
BIN1	BIN1_sg3	1
BIN1	BIN1_sg4	1
BIN3	BIN3_sg1	1
BIN3	BIN3_sg2	1
BIN3	BIN3_sg3	1
BIN3	BIN3_sg4	1
BIRC2	BIRC2_sg1	1
BIRC2	BIRC2_sg2	1
BIRC2	BIRC2_sg3	1
BIRC2	BIRC2_sg4	1
BIRC3	BIRC3_sg1	1
BIRC3	BIRC3_sg2	1
BIRC3	BIRC3_sg3	1
BIRC3	BIRC3_sg4	1
BIVM	BIVM_sg1	1
BIVM	BIVM_sg2	1
BIVM	BIVM_sg3	1
BIVM	BIVM_sg4	1
BLK	BLK_sg1	1
BLK	BLK_sg2	1
BLK	BLK_sg3	1
BLK	BLK_sg4	1
BLM	BLM_sg1	1
BLM	BLM_sg2	1
BLM	BLM_sg3	1
BLM	BLM_sg4	1
BLVRB	BLVRB_sg1	1
BLVRB	BLVRB_sg2	1
BLVRB	BLVRB_sg3	1
BLVRB	BLVRB_sg4	1
BLZF1	BLZF1_sg1	1
BLZF1	BLZF1_sg2	1
BLZF1	BLZF1_sg3	1
BLZF1	BLZF1_sg4	1
BMPR1A	BMPR1A_sg1	1
BMPR1A	BMPR1A_sg2	1
BMPR1A	BMPR1A_sg3	1
