Gene	sgRNA	time|beta	time|z	time|p-value	time|fdr	time|wald-p-value	time|wald-fdr	drug_lo|beta	drug_lo|z	drug_lo|p-value	drug_lo|fdr	drug_lo|wald-p-value	drug_lo|wald-fdr	drug_hi|beta	drug_hi|z	drug_hi|p-value	drug_hi|fdr	drug_hi|wald-p-value	drug_hi|wald-fdr
AAAS	4	0.19066	1.3537	0.13949	0.80488	0.17584	0.79914	-0.26809	-1.8689	0.20039	0.96226	0.061632	0.33624	-0.21801	-1.5198	0.34971	0.96544	0.12855	0.43166
AAK1	4	-0.077104	-0.58449	0.62279	0.98529	0.55889	0.96083	-0.11723	-0.87377	0.53635	0.998	0.38224	0.73693	-0.030711	-0.2289	0.87426	0.96544	0.81895	0.91368
AATF	4	0.11691	0.80429	0.34578	0.95652	0.42123	0.89618	0.26788	1.8109	0.11002	0.75676	0.070157	0.35267	0.077113	0.52129	0.68762	0.96544	0.60217	0.80237
AATK	4	0.071083	0.44802	0.5501	0.98529	0.65414	0.98139	0.020915	0.12955	0.90177	0.998	0.89692	0.98603	0.085653	0.53054	0.6444	0.96544	0.59574	0.79797
ABCC1	4	0.092206	0.73828	0.46562	0.98077	0.46034	0.91193	-0.087215	-0.68628	0.62475	0.998	0.49253	0.81077	-0.075674	-0.59547	0.69352	0.96544	0.55153	0.78061
ABHD14B	4	-0.024294	-0.20447	0.89784	0.99793	0.83799	0.99722	-0.059861	-0.49516	0.71513	0.998	0.62048	0.88578	0.31884	2.6374	0.14145	0.96544	0.0083535	0.070866
ABTB1	4	-0.044424	-0.32908	0.76817	0.98529	0.74209	0.99722	-0.28183	-2.052	0.17682	0.9375	0.040166	0.28006	-0.26036	-1.8957	0.27505	0.96544	0.057996	0.26837
ACAD9	4	0.069467	0.58554	0.55992	0.98529	0.55818	0.96083	0.10325	0.85511	0.53438	0.998	0.39249	0.7414	-0.19446	-1.6104	0.39293	0.96544	0.10731	0.40159
ACAT2	4	0.02432	0.14726	0.81925	0.99793	0.88293	0.99722	0.25946	1.5428	0.12377	0.8	0.12287	0.47024	0.047287	0.28116	0.79175	0.96544	0.77859	0.89972
ACD	4	0.073167	0.73517	0.5501	0.98529	0.46223	0.91193	-0.13585	-1.3414	0.48919	0.998	0.17978	0.55459	-0.28736	-2.8375	0.24361	0.96544	0.0045462	0.048209
ACHE	4	-0.038084	-0.34218	0.80354	0.99272	0.73221	0.99722	0.034977	0.3089	0.83694	0.998	0.75739	0.95804	-0.12116	-1.0701	0.54617	0.96544	0.28459	0.60356
ACLY	4	0.017577	0.11812	0.87033	0.99793	0.90597	0.99722	-0.044008	-0.29068	0.78193	0.998	0.7713	0.95804	0.29755	1.9653	0.17289	0.96544	0.049376	0.24419
ACO2	4	0.071307	0.70363	0.5501	0.98529	0.48166	0.92998	0.081301	0.78831	0.62279	0.998	0.43051	0.76353	-0.08341	-0.80873	0.66208	0.96544	0.41867	0.69448
ACP1	4	-0.012573	-0.11304	0.94892	0.99793	0.91	0.99722	-0.065722	-0.58075	0.69745	0.998	0.56141	0.86072	-0.14743	-1.3028	0.50295	0.96544	0.19265	0.49322
ACTL6B	4	-0.054548	-0.45751	0.72888	0.98529	0.64731	0.98139	0.18103	1.4926	0.27505	0.998	0.13555	0.48518	0.1656	1.3654	0.39489	0.96544	0.17213	0.48362
ACTN1	4	-0.030092	-0.22048	0.86051	0.99793	0.8255	0.99722	0.065291	0.47018	0.69941	0.998	0.63823	0.90367	0.19233	1.3851	0.33399	0.96544	0.16603	0.47478
ACTR1A	4	-0.049386	-0.52229	0.7446	0.98529	0.60147	0.9806	-0.057173	-0.59441	0.72102	0.998	0.55223	0.84921	-0.079727	-0.82889	0.68762	0.96544	0.40716	0.69119
ACTR3	4	-0.00022415	-0.0024713	0.9666	0.99802	0.99803	0.99812	-0.10693	-1.1589	0.55992	0.998	0.24649	0.61011	-0.15377	-1.6666	0.47741	0.96544	0.095595	0.38014
ACTR8	4	-0.025195	-0.24118	0.89194	0.99793	0.80941	0.99722	0.09362	0.88106	0.57564	0.998	0.37829	0.7359	0.090297	0.84978	0.63261	0.96544	0.39545	0.6858
ACTRT3	4	-0.20286	-1.7917	0.17682	0.80488	0.073187	0.75388	-0.017878	-0.15517	0.90963	0.998	0.87668	0.98256	-0.12526	-1.0871	0.53831	0.96544	0.27697	0.59991
ADAD1	4	0.028652	0.25767	0.78585	0.98529	0.79666	0.99722	-0.077329	-0.68349	0.65226	0.998	0.4943	0.81077	0.14232	1.258	0.4499	0.96544	0.20841	0.51495
ADAM10	4	-0.074982	-0.65087	0.62672	0.98529	0.51513	0.93876	0.13774	1.174	0.40472	0.998	0.2404	0.61011	0.23416	1.9959	0.25344	0.96544	0.045941	0.24419
ADAM12	4	-0.03919	-0.38922	0.78978	0.98529	0.69711	0.98607	0.029163	0.28468	0.86444	0.998	0.77589	0.95856	0.067659	0.66047	0.72102	0.96544	0.50896	0.74872
