Gene	sgRNA	time|beta	time|z	time|p-value	time|fdr	time|wald-p-value	time|wald-fdr	drug_lo|beta	drug_lo|z	drug_lo|p-value	drug_lo|fdr	drug_lo|wald-p-value	drug_lo|wald-fdr	drug_hi|beta	drug_hi|z	drug_hi|p-value	drug_hi|fdr	drug_hi|wald-p-value	drug_hi|wald-fdr
ADAMTS5	4	-0.092812	-0.76294	0.53831	0.98529	0.4455	0.91193	0.079758	0.64457	0.63851	0.998	0.51921	0.83021	-0.076688	-0.61974	0.69155	0.96544	0.53543	0.77305
ADAP1	4	-0.014375	-0.1321	0.9391	0.99793	0.89491	0.99722	0.023125	0.20875	0.89391	0.998	0.83464	0.96453	-0.069014	-0.62296	0.71906	0.96544	0.53331	0.77305
ADCK3	4	0.34081	1.7683	0.0098232	0.33333	0.077017	0.75388	-0.085436	-0.43512	0.63458	0.998	0.66348	0.90782	-0.16012	-0.81546	0.4558	0.96544	0.41481	0.69225
ADCK4	4	0.019288	0.17901	0.86444	0.99793	0.85793	0.99722	-0.26047	-2.376	0.20629	0.96396	0.017502	0.18559	-0.22323	-2.0363	0.33595	0.96544	0.041718	0.23081
ADCY1	4	0.18333	1.1636	0.14538	0.80488	0.2446	0.82146	0.25675	1.6014	0.12574	0.8	0.10929	0.45304	-0.032555	-0.20305	0.86444	0.96544	0.8391	0.92048
ADH5	4	0.0051487	0.058841	0.93517	0.99793	0.95308	0.99722	0.0062207	0.069879	0.97642	0.998	0.94429	0.98655	0.11646	1.3083	0.54617	0.96544	0.19078	0.49312
ADNP	4	0.063478	0.50591	0.59332	0.98529	0.61292	0.9806	-0.011368	-0.08907	0.94303	0.998	0.92903	0.98655	-0.05393	-0.42253	0.7721	0.96544	0.67264	0.84776
ADNP2	4	0.1244	1.0077	0.33202	0.95506	0.31359	0.85815	-0.067813	-0.53971	0.68369	0.998	0.5894	0.86457	0.18904	1.5046	0.34381	0.96544	0.13243	0.43166
ADPRHL2	4	0.17905	1.363	0.15717	0.80488	0.17289	0.79279	-0.12504	-0.93527	0.51473	0.998	0.34965	0.72895	0.014996	0.11216	0.91159	0.97297	0.91069	0.94988
ADRA1A	4	-0.25799	-2.8188	0.096267	0.76389	0.0048206	0.16358	0.28754	3.0886	0.090373	0.66667	0.0020107	0.029241	0.25521	2.7414	0.22397	0.96544	0.0061179	0.058862
ADRB1	4	-0.19861	-2.2072	0.18271	0.80488	0.027299	0.6316	0.24035	2.626	0.15128	0.89535	0.0086385	0.10376	0.26405	2.8849	0.20825	0.96544	0.0039149	0.044281
ADRB3	4	-0.12298	-0.89743	0.40275	0.96567	0.36949	0.88807	-0.0054838	-0.039331	0.97053	0.998	0.96863	0.99201	-0.15918	-1.1416	0.45776	0.96544	0.25363	0.57632
ADRBK1	4	-0.089802	-0.85706	0.5501	0.98529	0.39141	0.88898	0.17547	1.6462	0.29666	0.998	0.099712	0.42924	0.10593	0.99378	0.57367	0.96544	0.32033	0.62543
ADRBK2	4	-0.0045028	-0.047315	0.99607	0.99804	0.96226	0.99722	0.062226	0.64287	0.7112	0.998	0.52031	0.83021	0.072164	0.74554	0.70727	0.96544	0.45594	0.72073
AEBP2	4	0.0091103	0.092452	0.91356	0.99793	0.92634	0.99722	-0.1648	-1.6432	0.41257	0.998	0.10034	0.42924	-0.046048	-0.45917	0.81139	0.96544	0.64611	0.8347
AEN	4	-0.052983	-0.42091	0.73084	0.98529	0.67382	0.98607	-0.018376	-0.14332	0.9057	0.998	0.88604	0.98256	-0.19436	-1.5153	0.39293	0.96544	0.12969	0.43166
AFF1	4	-0.027781	-0.30502	0.87819	0.99793	0.76035	0.99722	-0.026755	-0.28876	0.85462	0.998	0.77276	0.95804	0.069321	0.74817	0.71709	0.96544	0.45435	0.72046
AFF2	4	0.066764	0.60325	0.57957	0.98529	0.54634	0.94911	0.042033	0.37323	0.80943	0.998	0.70898	0.93732	-0.068678	-0.60979	0.71906	0.96544	0.542	0.77713
AFF3	4	-0.14812	-1.2687	0.30255	0.92814	0.20456	0.81482	0.14769	1.2435	0.3831	0.998	0.21369	0.59391	0.20055	1.6886	0.31238	0.96544	0.091291	0.37174
AFF4	4	-0.29475	-2.4453	0.070727	0.73077	0.014474	0.40928	0.16903	1.3786	0.31434	0.998	0.16803	0.54826	0.15206	1.2401	0.41061	0.96544	0.21492	0.52157
AGAP3	4	0.080866	0.62803	0.50884	0.98529	0.52998	0.94255	0.035079	0.26782	0.83694	0.998	0.78884	0.96238	0.017167	0.13107	0.90963	0.97297	0.89572	0.94182
AGBL5	4	0.076943	0.7601	0.52456	0.98529	0.4472	0.91193	0.016432	0.15956	0.9332	0.998	0.87323	0.98256	-0.030288	-0.2941	0.87426	0.96544	0.76868	0.89929
AGPAT3	4	0.17896	1.2747	0.15914	0.80488	0.20243	0.81482	-0.14889	-1.0421	0.45187	0.998	0.29737	0.67272	-0.019358	-0.13549	0.91749	0.97297	0.89223	0.94182
AGTPBP1	4	-0.07067	-0.67928	0.65422	0.98529	0.49696	0.93537	0.22994	2.1719	0.16503	0.93333	0.029861	0.23594	0.099244	0.93738	0.59528	0.96544	0.34856	0.65468
AIFM3	4	-0.26373	-2.133	0.090373	0.76389	0.032928	0.67041	0.19129	1.5207	0.25147	0.998	0.12833	0.48028	0.33694	2.6787	0.12574	0.96544	0.0073917	0.066007
AIP	4	-0.064014	-0.66789	0.68566	0.98529	0.5042	0.93537	0.069985	0.71778	0.66994	0.998	0.47289	0.79439	0.10736	1.1011	0.56974	0.96544	0.27086	0.59942
AIRE	4	0.020633	0.20333	0.85462	0.99793	0.83888	0.99722	-0.19537	-1.8928	0.33202	0.998	0.058384	0.32926	-0.093281	-0.90374	0.62083	0.96544	0.36613	0.67103
AJUBA	4	0.13681	1.0127	0.26719	0.87898	0.3112	0.85622	-0.12142	-0.88235	0.52849	0.998	0.37759	0.7359	-0.19322	-1.404	0.39293	0.96544	0.16031	0.46404
AK1	4	0.19355	1.584	0.1336	0.80488	0.1132	0.76907	0.031608	0.25424	0.85265	0.998	0.79931	0.9641	0.12418	0.99886	0.51473	0.96544	0.31786	0.62543
AKAP11	4	0.038039	0.27966	0.73674	0.98529	0.77974	0.99722	0.14681	1.0599	0.3831	0.998	0.2892	0.66182	0.063758	0.46026	0.7387	0.96544	0.64533	0.8347
AKAP6	4	-0.049569	-0.36859	0.74263	0.98529	0.71243	0.98607	0.15804	1.1553	0.35363	0.998	0.24798	0.61011	-0.018369	-0.13427	0.91945	0.97297	0.89319	0.94182
AKAP8	4	-0.016903	-0.19062	0.92731	0.99793	0.84883	0.99722	0.17211	1.9076	0.30845	0.998	0.056444	0.32926	0.094393	1.0462	0.60904	0.96544	0.29546	0.61375
AKIRIN2	4	-0.17972	-1.4636	0.22593	0.87075	0.14329	0.76907	0.21288	1.704	0.19253	0.95146	0.088374	0.40408	0.28938	2.3164	0.17878	0.96544	0.020538	0.14724
AKR1C3	4	-0.11947	-1.1679	0.41454	0.96567	0.24283	0.82146	0.07098	0.68218	0.66012	0.998	0.49513	0.81077	0.14814	1.4237	0.42633	0.96544	0.15453	0.45998
AKT2	4	0.07242	0.52039	0.5501	0.98529	0.60279	0.9806	0.057891	0.4087	0.72299	0.998	0.68276	0.91937	0.0031822	0.022465	0.96464	0.98594	0.98208	0.99182
ALDH1A2	4	0.11104	0.90122	0.3831	0.96567	0.36747	0.88807	-0.0032891	-0.026231	0.98232	0.998	0.97907	0.99218	0.045529	0.3631	0.79764	0.96544	0.71653	0.86479
ALDH1B1	4	-0.001575	-0.0091066	0.98035	0.99802	0.99273	0.99812	0.32038	1.8197	0.062868	0.52381	0.068799	0.35019	0.40465	2.2984	0.090373	0.87273	0.02154	0.14816
ALDH6A1	4	-0.07814	-0.69961	0.611	0.98529	0.48417	0.92998	0.072425	0.63749	0.65815	0.998	0.5238	0.83058	-0.042136	-0.37089	0.83104	0.96544	0.71072	0.86479
ALDH7A1	4	0.15941	1.3347	0.1945	0.80488	0.18196	0.80538	-0.12279	-1.0107	0.52259	0.998	0.31217	0.69447	-0.099477	-0.81878	0.60118	0.96544	0.41291	0.69136
ALG2	4	0.0060482	0.057077	0.92927	0.99793	0.95448	0.99722	0.16721	1.5506	0.32024	0.998	0.12101	0.47024	0.046441	0.43064	0.79371	0.96544	0.66673	0.84776
ALKBH2	4	-0.13324	-1.2278	0.35363	0.96567	0.21954	0.82146	0.14525	1.3155	0.389	0.998	0.18833	0.56734	0.082867	0.75053	0.65815	0.96544	0.45294	0.72045
ALKBH5	4	-0.046875	-0.4489	0.75442	0.98529	0.6535	0.98139	-0.016866	-0.15876	0.91552	0.998	0.87386	0.98256	0.16498	1.5529	0.39489	0.96544	0.12044	0.42097
ALMS1	4	-0.023384	-0.17939	0.8998	0.99793	0.85763	0.99722	0.11222	0.84603	0.51081	0.998	0.39753	0.74391	0.056237	0.42396	0.76424	0.96544	0.6716	0.84776
ALOX5AP	4	-0.064613	-0.48565	0.67976	0.98529	0.62722	0.98139	0.11592	0.85663	0.48919	0.998	0.39165	0.7414	0.079573	0.58801	0.67387	0.96544	0.55653	0.78252
ALPK1	4	0.083975	0.60749	0.49705	0.98077	0.54352	0.94911	0.037035	0.26322	0.82711	0.998	0.79238	0.96258	0.19133	1.3599	0.33595	0.96544	0.17388	0.48362
ALX4	4	-0.25791	-2.2977	0.096267	0.76389	0.021579	0.52302	0.08493	0.74383	0.60511	0.998	0.45698	0.78318	0.25342	2.2195	0.2279	0.96544	0.026455	0.16832
ALYREF	4	0.16986	1.2787	0.17289	0.80488	0.20099	0.81482	0.028654	0.21204	0.86837	0.998	0.83208	0.96453	-0.26688	-1.9748	0.27112	0.96544	0.048288	0.24419
AMER1	4	-0.081874	-0.66609	0.59725	0.98529	0.50535	0.93537	-0.016695	-0.1335	0.91552	0.998	0.8938	0.98603	-0.027741	-0.22182	0.87819	0.96544	0.82445	0.91368
AMHR2	4	-0.0016186	-0.01906	0.98035	0.99802	0.98479	0.99722	-0.0052391	-0.060655	0.97053	0.998	0.95163	0.98655	-0.012678	-0.14678	0.95678	0.98583	0.88331	0.94059
AMOT	4	0.09773	0.80132	0.43811	0.96567	0.42295	0.89618	0.029386	0.2368	0.86444	0.998	0.81281	0.96453	0.10515	0.84731	0.57367	0.96544	0.39682	0.6858
ANAPC2	4	-0.20736	-1.8371	0.16896	0.80488	0.0662	0.73252	0.18873	1.6439	0.25933	0.998	0.10019	0.42924	0.045824	0.39914	0.79568	0.96544	0.68979	0.85949
ANAPC5	4	-0.16384	-1.4622	0.25933	0.87582	0.14368	0.76907	0.017657	0.1549	0.92731	0.998	0.8769	0.98256	0.053614	0.47034	0.76817	0.96544	0.63811	0.8347
ANAPC7	4	0.22582	1.6855	0.066798	0.7234	0.0919	0.76049	-0.16875	-1.2376	0.40668	0.998	0.21586	0.59391	-0.15205	-1.1152	0.4833	0.96544	0.26478	0.59434
ANKHD1	4	0.14241	1.4518	0.25147	0.87075	0.14655	0.76907	-0.16979	-1.7012	0.40472	0.998	0.088913	0.40408	-0.31657	-3.1717	0.20825	0.96544	0.0015156	0.0203
ANKK1	4	0.099664	0.8511	0.43026	0.96567	0.39471	0.88898	0.038884	0.32636	0.82515	0.998	0.74415	0.95487	0.035468	0.29769	0.82318	0.96544	0.76594	0.8983
ANKLE2	4	0.18608	1.4632	0.14342	0.80488	0.14342	0.76907	0.11654	0.90055	0.48723	0.998	0.36783	0.7359	-0.11283	-0.87188	0.57171	0.96544	0.38327	0.67974
ANKRD30A	4	-0.15537	-1.5423	0.27701	0.88679	0.12299	0.76907	0.19684	1.9207	0.23576	0.998	0.054775	0.32926	0.17518	1.7093	0.36149	0.96544	0.087392	0.35873
ANKRD32	4	-0.031444	-0.29133	0.85069	0.99793	0.7708	0.99722	-0.15317	-1.3949	0.43811	0.998	0.16305	0.54383	-0.27988	-2.5489	0.25147	0.96544	0.010807	0.087318
ANKRD42	4	-0.24875	-1.8909	0.10806	0.76389	0.058642	0.71332	-0.068843	-0.51418	0.67583	0.998	0.60713	0.87792	0.099148	0.74059	0.59528	0.96544	0.45894	0.72322
ANKS1A	4	0.026018	0.18951	0.79961	0.99027	0.8497	0.99722	0.26613	1.9036	0.11198	0.76	0.05696	0.32926	0.10704	0.7656	0.56974	0.96544	0.44391	0.71672
ANLN	4	-0.038896	-0.27035	0.79371	0.98778	0.78689	0.99722	0.202	1.3794	0.21415	0.9646	0.16776	0.54826	0.14093	0.96239	0.45776	0.96544	0.33585	0.64026
ANO2	4	0.034468	0.28106	0.75049	0.98529	0.77867	0.99722	-0.13865	-1.1109	0.47544	0.998	0.2666	0.63411	0.081993	0.65698	0.66405	0.96544	0.51119	0.74985
ANP32A	4	0.06849	0.60583	0.57171	0.98529	0.54463	0.94911	0.0057785	0.050244	0.97839	0.998	0.95993	0.98846	-0.015731	-0.13678	0.9391	0.98357	0.89121	0.94182
ANP32E	4	0.0052487	0.051569	0.93517	0.99793	0.95887	0.99722	-0.14041	-1.356	0.47544	0.998	0.17508	0.55459	-0.093025	-0.89843	0.62083	0.96544	0.36896	0.67312
ANXA1	4	0.19398	1.3979	0.13163	0.80488	0.16216	0.78469	0.018637	0.13188	0.91749	0.998	0.89508	0.98603	-0.0086926	-0.061513	0.98035	0.99602	0.95095	0.97203
ANXA11	4	-0.046512	-0.37086	0.75639	0.98529	0.71074	0.98607	0.1663	1.3035	0.32417	0.998	0.19239	0.57605	0.17906	1.4036	0.3556	0.96544	0.16045	0.46404
AP1AR	4	-0.0057769	-0.045682	0.99018	0.99802	0.96356	0.99722	0.11546	0.89734	0.49116	0.998	0.36954	0.7359	0.2076	1.6134	0.2947	0.96544	0.10666	0.40159
AP5Z1	4	-0.11378	-1.133	0.44204	0.96567	0.25719	0.83383	0.053062	0.51934	0.74853	0.998	0.60352	0.87769	0.12377	1.2114	0.51473	0.96544	0.22574	0.53443
APC	4	-0.12507	-1.0728	0.389	0.96567	0.28338	0.84315	-0.15119	-1.2748	0.44401	0.998	0.20238	0.58626	-0.14561	-1.2278	0.50688	0.96544	0.21952	0.52706
APEX1	4	0.18449	1.5	0.14342	0.80488	0.13361	0.76907	-0.10399	-0.83082	0.57171	0.998	0.40607	0.74651	-0.033302	-0.26608	0.86444	0.96544	0.79018	0.89972
APEX2	4	0.087926	0.67974	0.48527	0.98077	0.49667	0.93537	0.17317	1.3154	0.30845	0.998	0.18837	0.56734	0.15122	1.1487	0.41257	0.96544	0.25068	0.57219
APOA1	4	0.0976	0.74968	0.44008	0.96567	0.45345	0.91193	-0.13153	-0.99317	0.49509	0.998	0.32063	0.69447	-0.081213	-0.61323	0.67387	0.96544	0.53972	0.77604
APOBEC3A	4	-0.029756	-0.25703	0.86248	0.99793	0.79716	0.99722	0.10868	0.92296	0.51866	0.998	0.35603	0.73343	0.068312	0.58012	0.71906	0.96544	0.56184	0.78564
APOBEC3B	4	0.13845	1.1657	0.26326	0.87582	0.24375	0.82146	0.065881	0.54489	0.69745	0.998	0.58583	0.86435	0.096032	0.79427	0.60511	0.96544	0.42704	0.69891
APOBEC3C	4	0.080016	0.76037	0.51473	0.98529	0.44703	0.91193	-0.12487	-1.1664	0.51473	0.998	0.24346	0.61011	-0.2396	-2.238	0.30452	0.96544	0.025218	0.16248
APOBEC3H	4	-0.2184	-1.6812	0.15324	0.80488	0.092732	0.76049	-0.15628	-1.1823	0.42043	0.998	0.23708	0.61011	0.25209	1.9073	0.2279	0.96544	0.056484	0.26376
APPBP2	4	0.10022	0.82379	0.42436	0.96567	0.41006	0.89196	0.061155	0.49406	0.71316	0.998	0.62126	0.88578	-0.04518	-0.365	0.81925	0.96544	0.71511	0.86479
APPL1	4	0.17956	1.659	0.15717	0.80488	0.097116	0.76049	-0.12161	-1.1039	0.52652	0.998	0.26966	0.63715	-0.020038	-0.18189	0.90766	0.97297	0.85567	0.92865
AR	4	0.14981	1.1854	0.23183	0.87075	0.23586	0.82146	-0.037996	-0.29549	0.80747	0.998	0.76762	0.95804	0.24927	1.9386	0.23183	0.96544	0.052555	0.25153
ARGFX	4	0.26178	1.7335	0.035363	0.58065	0.082999	0.76049	-0.15128	-0.98457	0.44401	0.998	0.32484	0.7006	-0.28014	-1.8233	0.25147	0.96544	0.068265	0.30215
ARHGAP22	4	-0.21777	-1.8889	0.15324	0.80488	0.058911	0.71332	0.21209	1.8076	0.19646	0.95238	0.070672	0.35267	0.3135	2.672	0.14735	0.96544	0.0075406	0.066175
ARHGEF10	4	-0.17141	-1.7451	0.25147	0.87075	0.080966	0.76049	0.054472	0.54517	0.7387	0.998	0.58564	0.86435	0.034667	0.34696	0.83104	0.96544	0.72863	0.86985
ARID2	4	0.044309	0.57071	0.69745	0.98529	0.56819	0.96083	-0.091098	-1.1532	0.61297	0.998	0.24882	0.61011	-0.048873	-0.61868	0.80157	0.96544	0.53613	0.77305
ARID3A	4	-0.16611	-1.3785	0.25737	0.87582	0.16804	0.78469	-0.03902	-0.3183	0.80354	0.998	0.75026	0.95487	-0.25271	-2.0614	0.29077	0.96544	0.039261	0.22454
ARID3B	4	0.10546	0.78149	0.40079	0.96567	0.43452	0.91016	0.21366	1.5561	0.19253	0.95146	0.11968	0.47024	0.19319	1.407	0.33006	0.96544	0.15943	0.46404
ARID4A	4	-0.015888	-0.12126	0.93124	0.99793	0.90348	0.99722	0.21762	1.6319	0.18468	0.95146	0.1027	0.43561	0.37236	2.7923	0.1002	0.91071	0.0052329	0.053271
ARID4B	4	0.16178	1.3147	0.19057	0.80488	0.18862	0.81482	-0.18875	-1.5075	0.34381	0.998	0.13168	0.48518	0.060416	0.48254	0.75049	0.96544	0.62942	0.82999
ARID5A	4	-0.028181	-0.19599	0.87623	0.99793	0.84462	0.99722	0.046865	0.32034	0.78389	0.998	0.74871	0.95487	0.07838	0.53576	0.67976	0.96544	0.59213	0.79764
ARID5B	4	0.16091	1.309	0.19057	0.80488	0.19052	0.81482	-0.23667	-1.8919	0.2554	0.998	0.058505	0.32926	-0.025998	-0.20783	0.89194	0.96802	0.83536	0.91954
ARL2	4	0.060255	0.72783	0.611	0.98529	0.46671	0.91368	-0.012686	-0.15047	0.9391	0.998	0.88039	0.98256	-0.11038	-1.3092	0.57957	0.96544	0.19047	0.49312
ARL4D	4	0.34885	1.9294	0.0098232	0.33333	0.053682	0.70903	-0.20277	-1.1022	0.3222	0.998	0.27038	0.63715	0.027025	0.14689	0.87033	0.96544	0.88322	0.94059
ARNTL2	4	-0.087863	-0.83696	0.57367	0.98529	0.40262	0.89101	-0.12789	-1.1975	0.50295	0.998	0.2311	0.60948	-0.032773	-0.30688	0.86444	0.96544	0.75893	0.8924
ARRB2	4	-0.058359	-0.60931	0.7112	0.98529	0.54232	0.94911	0.11246	1.154	0.50884	0.998	0.24849	0.61011	-0.099392	-1.0198	0.60118	0.96544	0.30782	0.62422
ARX	4	0.0085041	0.089697	0.91552	0.99793	0.92853	0.99722	0.020006	0.20743	0.9057	0.998	0.83568	0.96453	0.093083	0.96512	0.62083	0.96544	0.33449	0.64005
ASCC1	4	-0.16576	-1.475	0.25933	0.87582	0.14022	0.76907	0.024315	0.2127	0.88802	0.998	0.83156	0.96453	0.065207	0.5704	0.73477	0.96544	0.5684	0.78833
ASCL1	4	-0.25815	-2.1419	0.096267	0.76389	0.032201	0.67041	0.17725	1.4457	0.29077	0.998	0.14826	0.52195	0.14898	1.2151	0.42436	0.96544	0.22433	0.53443
ASCL2	4	0.038423	0.3188	0.73674	0.98529	0.74988	0.99722	0.1138	0.92783	0.50295	0.998	0.3535	0.73143	-0.046214	-0.37679	0.80943	0.96544	0.70633	0.86217
ASH2L	4	0.14727	0.76233	0.23969	0.87075	0.44586	0.91193	0.19532	0.99355	0.23969	0.998	0.32044	0.69447	0.27295	1.3885	0.20039	0.96544	0.165	0.47449
ASNA1	4	0.0021924	0.021502	0.94499	0.99793	0.98285	0.99722	-0.034125	-0.32899	0.81925	0.998	0.74217	0.95487	0.089859	0.86632	0.63851	0.96544	0.38631	0.67985
ASPA	4	-0.033607	-0.25541	0.84283	0.99793	0.79841	0.99722	0.13964	1.0427	0.40275	0.998	0.29711	0.67272	0.11559	0.8631	0.54813	0.96544	0.38808	0.67985
ASPM	4	-0.065749	-0.47524	0.67976	0.98529	0.63462	0.98139	0.24168	1.717	0.14735	0.88235	0.085971	0.40146	0.13421	0.95347	0.48527	0.96544	0.34035	0.64401
ASRGL1	4	-0.046817	-0.45814	0.75442	0.98529	0.64685	0.98139	0.13908	1.3374	0.40275	0.998	0.18109	0.55528	-0.12915	-1.2417	0.53635	0.96544	0.21433	0.52157
ASUN	4	-0.19865	-1.7251	0.18271	0.80488	0.084512	0.76049	0.14106	1.2044	0.40275	0.998	0.22845	0.6088	0.10577	0.90306	0.57367	0.96544	0.3665	0.67103
ASZ1	4	0.08785	0.73032	0.48527	0.98077	0.4652	0.91368	0.1488	1.2157	0.37917	0.998	0.2241	0.60034	0.11065	0.90402	0.55796	0.96544	0.36598	0.67103
ATF5	4	0.14331	1.2595	0.24754	0.87075	0.20786	0.81482	-0.073476	-0.63403	0.66798	0.998	0.52606	0.83117	-0.085548	-0.73819	0.65226	0.96544	0.4604	0.72328
ATF7	4	-0.20964	-1.3934	0.16699	0.80488	0.1635	0.78469	0.39664	2.5915	0.021611	0.22	0.0095566	0.11055	0.13261	0.86641	0.48723	0.96544	0.38626	0.67985
ATF7IP	4	-0.045453	-0.39313	0.76424	0.98529	0.69422	0.98607	0.14698	1.2498	0.3831	0.998	0.21138	0.59225	0.028194	0.23973	0.86248	0.96544	0.81054	0.90874
ATF7IP2	4	0.04031	0.2257	0.73477	0.98529	0.82144	0.99722	0.15433	0.84927	0.36739	0.998	0.39573	0.74327	0.26464	1.4564	0.20825	0.96544	0.14529	0.45387
ATM	4	0.22581	1.1364	0.066798	0.7234	0.25577	0.83383	-1.0371	-5.1282	0	0	2.9256e-07	1.2722e-05	-1.4074	-6.9589	0	0	3.4292e-12	9.1867e-11
ATP1A3	4	0.1474	0.81876	0.23969	0.87075	0.41292	0.89437	-0.0021143	-0.011538	0.98821	0.99802	0.99079	0.99864	0.18104	0.98799	0.3556	0.96544	0.32316	0.62543
ATP1B4	4	0.03405	0.30766	0.75049	0.98529	0.75834	0.99722	0.079848	0.70908	0.63654	0.998	0.47828	0.8008	0.20319	1.8044	0.30452	0.96544	0.071171	0.30962
ATP2A3	4	0.067774	0.64497	0.57171	0.98529	0.51895	0.93876	-0.012691	-0.11869	0.9391	0.998	0.90552	0.98655	-0.042308	-0.39568	0.83104	0.96544	0.69234	0.85949
ATP6V0A1	4	-0.087605	-0.69628	0.57564	0.98529	0.48625	0.93046	0.30123	2.3532	0.074656	0.56716	0.018612	0.18595	0.23365	1.8253	0.25344	0.96544	0.067955	0.30215
