sgRNA	Gene
AAAS_sg1	AAAS
AAAS_sg2	AAAS
AAAS_sg3	AAAS
AAAS_sg4	AAAS
AAK1_sg1	AAK1
AAK1_sg2	AAK1
AAK1_sg3	AAK1
AAK1_sg4	AAK1
AATF_sg1	AATF
AATF_sg2	AATF
AATF_sg3	AATF
AATF_sg4	AATF
AATK_sg1	AATK
AATK_sg2	AATK
AATK_sg3	AATK
AATK_sg4	AATK
ABCC1_sg1	ABCC1
ABCC1_sg2	ABCC1
ABCC1_sg3	ABCC1
ABCC1_sg4	ABCC1
ABHD14B_sg1	ABHD14B
ABHD14B_sg2	ABHD14B
ABHD14B_sg3	ABHD14B
ABHD14B_sg4	ABHD14B
ABTB1_sg1	ABTB1
ABTB1_sg2	ABTB1
ABTB1_sg3	ABTB1
ABTB1_sg4	ABTB1
ACAD9_sg1	ACAD9
ACAD9_sg2	ACAD9
ACAD9_sg3	ACAD9
ACAD9_sg4	ACAD9
ACAT2_sg1	ACAT2
ACAT2_sg2	ACAT2
ACAT2_sg3	ACAT2
ACAT2_sg4	ACAT2
ACD_sg1	ACD
ACD_sg2	ACD
ACD_sg3	ACD
ACD_sg4	ACD
ACHE_sg1	ACHE
ACHE_sg2	ACHE
ACHE_sg3	ACHE
ACHE_sg4	ACHE
ACLY_sg1	ACLY
ACLY_sg2	ACLY
ACLY_sg3	ACLY
ACLY_sg4	ACLY
ACO2_sg1	ACO2
ACO2_sg2	ACO2
ACO2_sg3	ACO2
ACO2_sg4	ACO2
ACP1_sg1	ACP1
ACP1_sg2	ACP1
ACP1_sg3	ACP1
ACP1_sg4	ACP1
ACTL6B_sg1	ACTL6B
ACTL6B_sg2	ACTL6B
ACTL6B_sg3	ACTL6B
ACTL6B_sg4	ACTL6B
ACTN1_sg1	ACTN1
ACTN1_sg2	ACTN1
ACTN1_sg3	ACTN1
ACTN1_sg4	ACTN1
ACTR1A_sg1	ACTR1A
ACTR1A_sg2	ACTR1A
ACTR1A_sg3	ACTR1A
ACTR1A_sg4	ACTR1A
ACTR3_sg1	ACTR3
ACTR3_sg2	ACTR3
ACTR3_sg3	ACTR3
ACTR3_sg4	ACTR3
ACTR8_sg1	ACTR8
ACTR8_sg2	ACTR8
ACTR8_sg3	ACTR8
ACTR8_sg4	ACTR8
ACTRT3_sg1	ACTRT3
ACTRT3_sg2	ACTRT3
ACTRT3_sg3	ACTRT3
ACTRT3_sg4	ACTRT3
ADAD1_sg1	ADAD1
ADAD1_sg2	ADAD1
