sgRNA	Gene
ADAD1_sg3	ADAD1
ADAD1_sg4	ADAD1
ADAM10_sg1	ADAM10
ADAM10_sg2	ADAM10
ADAM10_sg3	ADAM10
ADAM10_sg4	ADAM10
ADAM12_sg1	ADAM12
ADAM12_sg2	ADAM12
ADAM12_sg3	ADAM12
ADAM12_sg4	ADAM12
ADAMTS5_sg1	ADAMTS5
ADAMTS5_sg2	ADAMTS5
ADAMTS5_sg3	ADAMTS5
ADAMTS5_sg4	ADAMTS5
ADAP1_sg1	ADAP1
ADAP1_sg2	ADAP1
ADAP1_sg3	ADAP1
ADAP1_sg4	ADAP1
ADCK3_sg1	ADCK3
ADCK3_sg2	ADCK3
ADCK3_sg3	ADCK3
ADCK3_sg4	ADCK3
ADCK4_sg1	ADCK4
ADCK4_sg2	ADCK4
ADCK4_sg3	ADCK4
ADCK4_sg4	ADCK4
ADCY1_sg1	ADCY1
ADCY1_sg2	ADCY1
ADCY1_sg3	ADCY1
ADCY1_sg4	ADCY1
ADH5_sg1	ADH5
ADH5_sg2	ADH5
ADH5_sg3	ADH5
ADH5_sg4	ADH5
ADNP_sg1	ADNP
ADNP_sg2	ADNP
ADNP_sg3	ADNP
ADNP_sg4	ADNP
ADNP2_sg1	ADNP2
ADNP2_sg2	ADNP2
ADNP2_sg3	ADNP2
ADNP2_sg4	ADNP2
ADPRHL2_sg1	ADPRHL2
ADPRHL2_sg2	ADPRHL2
ADPRHL2_sg3	ADPRHL2
ADPRHL2_sg4	ADPRHL2
ADRA1A_sg1	ADRA1A
ADRA1A_sg2	ADRA1A
ADRA1A_sg3	ADRA1A
ADRA1A_sg4	ADRA1A
ADRB1_sg1	ADRB1
ADRB1_sg2	ADRB1
ADRB1_sg3	ADRB1
ADRB1_sg4	ADRB1
ADRB3_sg1	ADRB3
ADRB3_sg2	ADRB3
ADRB3_sg3	ADRB3
ADRB3_sg4	ADRB3
ADRBK1_sg1	ADRBK1
ADRBK1_sg2	ADRBK1
ADRBK1_sg3	ADRBK1
ADRBK1_sg4	ADRBK1
ADRBK2_sg1	ADRBK2
ADRBK2_sg2	ADRBK2
ADRBK2_sg3	ADRBK2
ADRBK2_sg4	ADRBK2
AEBP2_sg1	AEBP2
AEBP2_sg2	AEBP2
AEBP2_sg3	AEBP2
AEBP2_sg4	AEBP2
AEN_sg1	AEN
AEN_sg2	AEN
AEN_sg3	AEN
AEN_sg4	AEN
AFF1_sg1	AFF1
AFF1_sg2	AFF1
AFF1_sg3	AFF1
AFF1_sg4	AFF1
AFF2_sg1	AFF2
AFF2_sg2	AFF2
AFF2_sg3	AFF2
AFF2_sg4	AFF2
AFF3_sg1	AFF3
AFF3_sg2	AFF3
AFF3_sg3	AFF3
AFF3_sg4	AFF3
AFF4_sg1	AFF4
AFF4_sg2	AFF4
AFF4_sg3	AFF4
AFF4_sg4	AFF4
AGAP3_sg1	AGAP3
AGAP3_sg2	AGAP3
AGAP3_sg3	AGAP3
AGAP3_sg4	AGAP3
AGBL5_sg1	AGBL5
AGBL5_sg2	AGBL5
AGBL5_sg3	AGBL5
AGBL5_sg4	AGBL5
AGPAT3_sg1	AGPAT3
AGPAT3_sg2	AGPAT3
AGPAT3_sg3	AGPAT3
AGPAT3_sg4	AGPAT3
AGTPBP1_sg1	AGTPBP1
AGTPBP1_sg2	AGTPBP1
AGTPBP1_sg3	AGTPBP1
AGTPBP1_sg4	AGTPBP1
AIFM3_sg1	AIFM3
AIFM3_sg2	AIFM3
AIFM3_sg3	AIFM3
AIFM3_sg4	AIFM3
AIP_sg1	AIP
AIP_sg2	AIP
AIP_sg3	AIP
AIP_sg4	AIP
AIRE_sg1	AIRE
AIRE_sg2	AIRE
AIRE_sg3	AIRE
AIRE_sg4	AIRE
AJUBA_sg1	AJUBA
AJUBA_sg2	AJUBA
AJUBA_sg3	AJUBA
AJUBA_sg4	AJUBA
AK1_sg1	AK1
AK1_sg2	AK1
AK1_sg3	AK1
AK1_sg4	AK1
AKAP11_sg1	AKAP11
AKAP11_sg2	AKAP11
AKAP11_sg3	AKAP11
AKAP11_sg4	AKAP11
AKAP6_sg1	AKAP6
AKAP6_sg2	AKAP6
AKAP6_sg3	AKAP6
AKAP6_sg4	AKAP6
AKAP8_sg1	AKAP8
AKAP8_sg2	AKAP8
AKAP8_sg3	AKAP8
AKAP8_sg4	AKAP8
AKIRIN2_sg1	AKIRIN2
AKIRIN2_sg2	AKIRIN2
AKIRIN2_sg3	AKIRIN2
AKIRIN2_sg4	AKIRIN2
AKR1C3_sg1	AKR1C3
AKR1C3_sg2	AKR1C3
AKR1C3_sg3	AKR1C3
AKR1C3_sg4	AKR1C3
AKT2_sg1	AKT2
AKT2_sg2	AKT2
AKT2_sg3	AKT2
AKT2_sg4	AKT2
ALDH1A2_sg1	ALDH1A2
ALDH1A2_sg2	ALDH1A2
ALDH1A2_sg3	ALDH1A2
ALDH1A2_sg4	ALDH1A2
ALDH1B1_sg1	ALDH1B1
ALDH1B1_sg2	ALDH1B1
ALDH1B1_sg3	ALDH1B1
ALDH1B1_sg4	ALDH1B1
ALDH6A1_sg1	ALDH6A1
ALDH6A1_sg2	ALDH6A1
ALDH6A1_sg3	ALDH6A1
ALDH6A1_sg4	ALDH6A1
ALDH7A1_sg1	ALDH7A1
ALDH7A1_sg2	ALDH7A1
ALDH7A1_sg3	ALDH7A1
ALDH7A1_sg4	ALDH7A1
ALG2_sg1	ALG2
ALG2_sg2	ALG2
ALG2_sg3	ALG2
ALG2_sg4	ALG2
ALKBH2_sg1	ALKBH2
ALKBH2_sg2	ALKBH2
ALKBH2_sg3	ALKBH2
ALKBH2_sg4	ALKBH2
ALKBH5_sg1	ALKBH5
ALKBH5_sg2	ALKBH5
ALKBH5_sg3	ALKBH5
ALKBH5_sg4	ALKBH5
ALMS1_sg1	ALMS1
ALMS1_sg2	ALMS1
ALMS1_sg3	ALMS1
ALMS1_sg4	ALMS1
ALOX5AP_sg1	ALOX5AP
ALOX5AP_sg2	ALOX5AP
ALOX5AP_sg3	ALOX5AP
ALOX5AP_sg4	ALOX5AP
ALPK1_sg1	ALPK1
ALPK1_sg2	ALPK1
ALPK1_sg3	ALPK1
ALPK1_sg4	ALPK1
ALX4_sg1	ALX4
ALX4_sg2	ALX4
ALX4_sg3	ALX4
ALX4_sg4	ALX4
ALYREF_sg1	ALYREF
ALYREF_sg2	ALYREF
ALYREF_sg3	ALYREF
ALYREF_sg4	ALYREF
AMER1_sg1	AMER1
AMER1_sg2	AMER1
AMER1_sg3	AMER1
AMER1_sg4	AMER1
AMHR2_sg1	AMHR2
AMHR2_sg2	AMHR2
AMHR2_sg3	AMHR2
AMHR2_sg4	AMHR2
AMOT_sg1	AMOT
AMOT_sg2	AMOT
AMOT_sg3	AMOT
AMOT_sg4	AMOT
ANAPC2_sg1	ANAPC2
ANAPC2_sg2	ANAPC2
ANAPC2_sg3	ANAPC2
ANAPC2_sg4	ANAPC2
ANAPC5_sg1	ANAPC5
ANAPC5_sg2	ANAPC5
ANAPC5_sg3	ANAPC5
ANAPC5_sg4	ANAPC5
ANAPC7_sg1	ANAPC7
ANAPC7_sg2	ANAPC7
ANAPC7_sg3	ANAPC7
ANAPC7_sg4	ANAPC7
ANKHD1_sg1	ANKHD1
ANKHD1_sg2	ANKHD1
ANKHD1_sg3	ANKHD1
ANKHD1_sg4	ANKHD1
ANKK1_sg1	ANKK1
ANKK1_sg2	ANKK1
ANKK1_sg3	ANKK1
ANKK1_sg4	ANKK1
ANKLE2_sg1	ANKLE2
ANKLE2_sg2	ANKLE2
ANKLE2_sg3	ANKLE2
ANKLE2_sg4	ANKLE2
ANKRD30A_sg1	ANKRD30A
ANKRD30A_sg2	ANKRD30A
ANKRD30A_sg3	ANKRD30A
ANKRD30A_sg4	ANKRD30A
ANKRD32_sg1	ANKRD32
ANKRD32_sg2	ANKRD32
ANKRD32_sg3	ANKRD32
ANKRD32_sg4	ANKRD32
ANKRD42_sg1	ANKRD42
ANKRD42_sg2	ANKRD42
ANKRD42_sg3	ANKRD42
ANKRD42_sg4	ANKRD42
ANKS1A_sg1	ANKS1A
ANKS1A_sg2	ANKS1A
ANKS1A_sg3	ANKS1A
ANKS1A_sg4	ANKS1A
ANLN_sg1	ANLN
ANLN_sg2	ANLN
ANLN_sg3	ANLN
ANLN_sg4	ANLN
ANO2_sg1	ANO2
ANO2_sg2	ANO2
ANO2_sg3	ANO2
ANO2_sg4	ANO2
ANP32A_sg1	ANP32A
ANP32A_sg2	ANP32A
ANP32A_sg3	ANP32A
ANP32A_sg4	ANP32A
ANP32E_sg1	ANP32E
ANP32E_sg2	ANP32E
ANP32E_sg3	ANP32E
ANP32E_sg4	ANP32E
ANXA1_sg1	ANXA1
ANXA1_sg2	ANXA1
ANXA1_sg3	ANXA1
ANXA1_sg4	ANXA1
ANXA11_sg1	ANXA11
ANXA11_sg2	ANXA11
ANXA11_sg3	ANXA11
ANXA11_sg4	ANXA11
AP1AR_sg1	AP1AR
AP1AR_sg2	AP1AR
AP1AR_sg3	AP1AR
AP1AR_sg4	AP1AR
AP5Z1_sg1	AP5Z1
AP5Z1_sg2	AP5Z1
AP5Z1_sg3	AP5Z1
AP5Z1_sg4	AP5Z1
APC_sg1	APC
APC_sg2	APC
APC_sg3	APC
APC_sg4	APC
APEX1_sg1	APEX1
APEX1_sg2	APEX1
APEX1_sg3	APEX1
APEX1_sg4	APEX1
APEX2_sg1	APEX2
APEX2_sg2	APEX2
APEX2_sg3	APEX2
APEX2_sg4	APEX2
APOA1_sg1	APOA1
APOA1_sg2	APOA1
APOA1_sg3	APOA1
APOA1_sg4	APOA1
APOBEC3A_sg1	APOBEC3A
APOBEC3A_sg2	APOBEC3A
APOBEC3A_sg3	APOBEC3A
APOBEC3A_sg4	APOBEC3A
APOBEC3B_sg1	APOBEC3B
APOBEC3B_sg2	APOBEC3B
APOBEC3B_sg3	APOBEC3B
APOBEC3B_sg4	APOBEC3B
APOBEC3C_sg1	APOBEC3C
APOBEC3C_sg2	APOBEC3C
APOBEC3C_sg3	APOBEC3C
APOBEC3C_sg4	APOBEC3C
APOBEC3H_sg1	APOBEC3H
APOBEC3H_sg2	APOBEC3H
APOBEC3H_sg3	APOBEC3H
APOBEC3H_sg4	APOBEC3H
APPBP2_sg1	APPBP2
APPBP2_sg2	APPBP2
APPBP2_sg3	APPBP2
APPBP2_sg4	APPBP2
APPL1_sg1	APPL1
APPL1_sg2	APPL1
APPL1_sg3	APPL1
APPL1_sg4	APPL1
AR_sg1	AR
AR_sg2	AR
AR_sg3	AR
AR_sg4	AR
ARGFX_sg1	ARGFX
ARGFX_sg2	ARGFX
ARGFX_sg3	ARGFX
ARGFX_sg4	ARGFX
ARHGAP22_sg1	ARHGAP22
ARHGAP22_sg2	ARHGAP22
ARHGAP22_sg3	ARHGAP22
ARHGAP22_sg4	ARHGAP22
ARHGEF10_sg1	ARHGEF10
ARHGEF10_sg2	ARHGEF10
ARHGEF10_sg3	ARHGEF10
ARHGEF10_sg4	ARHGEF10
ARID2_sg1	ARID2
ARID2_sg2	ARID2
ARID2_sg3	ARID2
ARID2_sg4	ARID2
ARID3A_sg1	ARID3A
ARID3A_sg2	ARID3A
ARID3A_sg3	ARID3A
ARID3A_sg4	ARID3A
ARID3B_sg1	ARID3B
ARID3B_sg2	ARID3B
ARID3B_sg3	ARID3B
ARID3B_sg4	ARID3B
ARID4A_sg1	ARID4A
ARID4A_sg2	ARID4A
ARID4A_sg3	ARID4A
ARID4A_sg4	ARID4A
ARID4B_sg1	ARID4B
ARID4B_sg2	ARID4B
ARID4B_sg3	ARID4B
ARID4B_sg4	ARID4B
ARID5A_sg1	ARID5A
ARID5A_sg2	ARID5A
ARID5A_sg3	ARID5A
ARID5A_sg4	ARID5A
ARID5B_sg1	ARID5B
ARID5B_sg2	ARID5B
ARID5B_sg3	ARID5B
ARID5B_sg4	ARID5B
ARL2_sg1	ARL2
ARL2_sg2	ARL2
ARL2_sg3	ARL2
ARL2_sg4	ARL2
ARL4D_sg1	ARL4D
ARL4D_sg2	ARL4D
ARL4D_sg3	ARL4D
ARL4D_sg4	ARL4D
ARNTL2_sg1	ARNTL2
ARNTL2_sg2	ARNTL2
ARNTL2_sg3	ARNTL2
ARNTL2_sg4	ARNTL2
ARRB2_sg1	ARRB2
ARRB2_sg2	ARRB2
ARRB2_sg3	ARRB2
ARRB2_sg4	ARRB2
ARX_sg1	ARX
ARX_sg2	ARX
ARX_sg3	ARX
ARX_sg4	ARX
ASCC1_sg1	ASCC1
ASCC1_sg2	ASCC1
ASCC1_sg3	ASCC1
ASCC1_sg4	ASCC1
ASCL1_sg1	ASCL1
ASCL1_sg2	ASCL1
ASCL1_sg3	ASCL1
ASCL1_sg4	ASCL1
ASCL2_sg1	ASCL2
ASCL2_sg2	ASCL2
ASCL2_sg3	ASCL2
ASCL2_sg4	ASCL2
ASH2L_sg1	ASH2L
ASH2L_sg2	ASH2L
ASH2L_sg3	ASH2L
ASH2L_sg4	ASH2L
ASNA1_sg1	ASNA1
ASNA1_sg2	ASNA1
ASNA1_sg3	ASNA1
ASNA1_sg4	ASNA1
ASPA_sg1	ASPA
ASPA_sg2	ASPA
ASPA_sg3	ASPA
ASPA_sg4	ASPA
ASPM_sg1	ASPM
ASPM_sg2	ASPM
ASPM_sg3	ASPM
ASPM_sg4	ASPM
ASRGL1_sg1	ASRGL1
ASRGL1_sg2	ASRGL1
ASRGL1_sg3	ASRGL1
ASRGL1_sg4	ASRGL1
ASUN_sg1	ASUN
ASUN_sg2	ASUN
ASUN_sg3	ASUN
ASUN_sg4	ASUN
ASZ1_sg1	ASZ1
ASZ1_sg2	ASZ1
ASZ1_sg3	ASZ1
ASZ1_sg4	ASZ1
ATF5_sg1	ATF5
ATF5_sg2	ATF5
ATF5_sg3	ATF5
ATF5_sg4	ATF5
ATF7_sg1	ATF7
ATF7_sg2	ATF7
ATF7_sg3	ATF7
ATF7_sg4	ATF7
ATF7IP_sg1	ATF7IP
ATF7IP_sg2	ATF7IP
ATF7IP_sg3	ATF7IP
ATF7IP_sg4	ATF7IP
ATF7IP2_sg1	ATF7IP2
ATF7IP2_sg2	ATF7IP2
ATF7IP2_sg3	ATF7IP2
ATF7IP2_sg4	ATF7IP2
ATM_sg1	ATM
ATM_sg2	ATM
ATM_sg3	ATM
ATM_sg4	ATM
ATP1A3_sg1	ATP1A3
ATP1A3_sg2	ATP1A3
ATP1A3_sg3	ATP1A3
ATP1A3_sg4	ATP1A3
ATP1B4_sg1	ATP1B4
ATP1B4_sg2	ATP1B4
ATP1B4_sg3	ATP1B4
ATP1B4_sg4	ATP1B4
ATP2A3_sg1	ATP2A3
ATP2A3_sg2	ATP2A3
ATP2A3_sg3	ATP2A3
ATP2A3_sg4	ATP2A3
ATP6V0A1_sg1	ATP6V0A1
ATP6V0A1_sg2	ATP6V0A1
ATP6V0A1_sg3	ATP6V0A1
ATP6V0A1_sg4	ATP6V0A1
ATR_sg1	ATR
ATR_sg2	ATR
ATR_sg3	ATR
ATR_sg4	ATR
ATRAID_sg1	ATRAID
ATRAID_sg2	ATRAID
ATRAID_sg3	ATRAID
ATRAID_sg4	ATRAID
ATRIP_sg1	ATRIP
ATRIP_sg2	ATRIP
ATRIP_sg3	ATRIP
ATRIP_sg4	ATRIP
ATRX_sg1	ATRX
ATRX_sg2	ATRX
ATRX_sg3	ATRX
ATRX_sg4	ATRX
ATXN1L_sg1	ATXN1L
ATXN1L_sg2	ATXN1L
ATXN1L_sg3	ATXN1L
ATXN1L_sg4	ATXN1L
ATXN2_sg1	ATXN2
ATXN2_sg2	ATXN2
ATXN2_sg3	ATXN2
ATXN2_sg4	ATXN2
ATXN7_sg1	ATXN7
ATXN7_sg2	ATXN7
ATXN7_sg3	ATXN7
ATXN7_sg4	ATXN7
AUNIP_sg1	AUNIP
AUNIP_sg2	AUNIP
AUNIP_sg3	AUNIP
AUNIP_sg4	AUNIP
AURKA_sg1	AURKA
AURKA_sg2	AURKA
AURKA_sg3	AURKA
AURKA_sg4	AURKA
AURKC_sg1	AURKC
AURKC_sg2	AURKC
AURKC_sg3	AURKC
AURKC_sg4	AURKC
AVPI1_sg1	AVPI1
AVPI1_sg2	AVPI1
AVPI1_sg3	AVPI1
AVPI1_sg4	AVPI1
AXIN2_sg1	AXIN2
AXIN2_sg2	AXIN2
AXIN2_sg3	AXIN2
AXIN2_sg4	AXIN2
AXL_sg1	AXL
AXL_sg2	AXL
AXL_sg3	AXL
AXL_sg4	AXL
AZI1_sg1	AZI1
AZI1_sg2	AZI1
AZI1_sg3	AZI1
AZI1_sg4	AZI1
B9D2_sg1	B9D2
B9D2_sg2	B9D2
B9D2_sg3	B9D2
B9D2_sg4	B9D2
BABAM1_sg1	BABAM1
BABAM1_sg2	BABAM1
BABAM1_sg3	BABAM1
BABAM1_sg4	BABAM1
BACH1_sg1	BACH1
BACH1_sg2	BACH1
BACH1_sg3	BACH1
BACH1_sg4	BACH1
BACH2_sg1	BACH2
BACH2_sg2	BACH2
BACH2_sg3	BACH2
BACH2_sg4	BACH2
BAIAP2_sg1	BAIAP2
BAIAP2_sg2	BAIAP2
BAIAP2_sg3	BAIAP2
BAIAP2_sg4	BAIAP2
BAIAP2L1_sg1	BAIAP2L1
BAIAP2L1_sg2	BAIAP2L1
BAIAP2L1_sg3	BAIAP2L1
BAIAP2L1_sg4	BAIAP2L1
BARD1_sg1	BARD1
BARD1_sg2	BARD1
BARD1_sg3	BARD1
BARD1_sg4	BARD1
BARHL1_sg1	BARHL1
BARHL1_sg2	BARHL1
BARHL1_sg3	BARHL1
BARHL1_sg4	BARHL1
BARHL2_sg1	BARHL2
BARHL2_sg2	BARHL2
BARHL2_sg3	BARHL2
BARHL2_sg4	BARHL2
BARX2_sg1	BARX2
BARX2_sg2	BARX2
BARX2_sg3	BARX2
BARX2_sg4	BARX2
BASP1_sg1	BASP1
BASP1_sg2	BASP1
BASP1_sg3	BASP1
BASP1_sg4	BASP1
BATF_sg1	BATF
BATF_sg2	BATF
BATF_sg3	BATF
BATF_sg4	BATF
BATF2_sg1	BATF2
BATF2_sg2	BATF2
BATF2_sg3	BATF2
BATF2_sg4	BATF2
BATF3_sg1	BATF3
BATF3_sg2	BATF3
BATF3_sg3	BATF3
BATF3_sg4	BATF3
BAX_sg1	BAX
BAX_sg2	BAX
BAX_sg3	BAX
BAX_sg4	BAX
BAZ1A_sg1	BAZ1A
BAZ1A_sg2	BAZ1A
BAZ1A_sg3	BAZ1A
BAZ1A_sg4	BAZ1A
BBX_sg1	BBX
BBX_sg2	BBX
BBX_sg3	BBX
BBX_sg4	BBX
BCAS2_sg1	BCAS2
BCAS2_sg2	BCAS2
BCAS2_sg3	BCAS2
BCAS2_sg4	BCAS2
BCAS3_sg1	BCAS3
BCAS3_sg2	BCAS3
BCAS3_sg3	BCAS3
BCAS3_sg4	BCAS3
BCCIP_sg1	BCCIP
BCCIP_sg2	BCCIP
BCCIP_sg3	BCCIP
BCCIP_sg4	BCCIP
BCHE_sg1	BCHE
BCHE_sg2	BCHE
BCHE_sg3	BCHE
BCHE_sg4	BCHE
BCKDK_sg1	BCKDK
BCKDK_sg2	BCKDK
BCKDK_sg3	BCKDK
BCKDK_sg4	BCKDK
BCL10_sg1	BCL10
BCL10_sg2	BCL10
BCL10_sg3	BCL10
BCL10_sg4	BCL10
BCL11A_sg1	BCL11A
BCL11A_sg2	BCL11A
BCL11A_sg3	BCL11A
BCL11A_sg4	BCL11A
BCL2_sg1	BCL2
BCL2_sg2	BCL2
BCL2_sg3	BCL2
BCL2_sg4	BCL2
BCL2L10_sg1	BCL2L10
BCL2L10_sg2	BCL2L10
BCL2L10_sg3	BCL2L10
BCL2L10_sg4	BCL2L10
BCL6_sg1	BCL6
BCL6_sg2	BCL6
BCL6_sg3	BCL6
BCL6_sg4	BCL6
BCL9L_sg1	BCL9L
BCL9L_sg2	BCL9L
BCL9L_sg3	BCL9L
BCL9L_sg4	BCL9L
BCLAF1_sg1	BCLAF1
BCLAF1_sg2	BCLAF1
BCLAF1_sg3	BCLAF1
BCLAF1_sg4	BCLAF1
BCORL1_sg1	BCORL1
BCORL1_sg2	BCORL1
BCORL1_sg3	BCORL1
BCORL1_sg4	BCORL1
BDH1_sg1	BDH1
BDH1_sg2	BDH1
BDH1_sg3	BDH1
BDH1_sg4	BDH1
BDP1_sg1	BDP1
BDP1_sg2	BDP1
BDP1_sg3	BDP1
BDP1_sg4	BDP1
BEX1_sg1	BEX1
BEX1_sg2	BEX1
BEX1_sg3	BEX1
BEX1_sg4	BEX1
BEX2_sg1	BEX2
BEX2_sg2	BEX2
BEX2_sg3	BEX2
BEX2_sg4	BEX2
BHLHE40_sg1	BHLHE40
BHLHE40_sg2	BHLHE40
BHLHE40_sg3	BHLHE40
BHLHE40_sg4	BHLHE40
BHLHE41_sg1	BHLHE41
BHLHE41_sg2	BHLHE41
BHLHE41_sg3	BHLHE41
BHLHE41_sg4	BHLHE41
BIN1_sg1	BIN1
BIN1_sg2	BIN1
BIN1_sg3	BIN1
BIN1_sg4	BIN1
BIN3_sg1	BIN3
BIN3_sg2	BIN3
BIN3_sg3	BIN3
BIN3_sg4	BIN3
BIRC2_sg1	BIRC2
BIRC2_sg2	BIRC2
BIRC2_sg3	BIRC2
BIRC2_sg4	BIRC2
BIRC3_sg1	BIRC3
BIRC3_sg2	BIRC3
BIRC3_sg3	BIRC3
BIRC3_sg4	BIRC3
BIVM_sg1	BIVM
BIVM_sg2	BIVM
BIVM_sg3	BIVM
BIVM_sg4	BIVM
BLK_sg1	BLK
BLK_sg2	BLK
BLK_sg3	BLK
BLK_sg4	BLK
BLM_sg1	BLM
BLM_sg2	BLM
BLM_sg3	BLM
BLM_sg4	BLM
BLVRB_sg1	BLVRB
BLVRB_sg2	BLVRB
BLVRB_sg3	BLVRB
BLVRB_sg4	BLVRB
BLZF1_sg1	BLZF1
BLZF1_sg2	BLZF1
BLZF1_sg3	BLZF1
BLZF1_sg4	BLZF1
BMPR1A_sg1	BMPR1A
BMPR1A_sg2	BMPR1A
BMPR1A_sg3	BMPR1A
BMPR1A_sg4	BMPR1A
BNC1_sg1	BNC1
BNC1_sg2	BNC1
BNC1_sg3	BNC1
BNC1_sg4	BNC1
BNIP1_sg1	BNIP1
BNIP1_sg2	BNIP1
BNIP1_sg3	BNIP1
BNIP1_sg4	BNIP1
BNIP2_sg1	BNIP2
BNIP2_sg2	BNIP2
BNIP2_sg3	BNIP2
BNIP2_sg4	BNIP2
BOK_sg1	BOK
BOK_sg2	BOK
BOK_sg3	BOK
BOK_sg4	BOK
BOP1_sg1	BOP1
BOP1_sg2	BOP1
BOP1_sg3	BOP1
BOP1_sg4	BOP1
BORA_sg1	BORA
BORA_sg2	BORA
BORA_sg3	BORA
BORA_sg4	BORA
BRAP_sg1	BRAP
BRAP_sg2	BRAP
BRAP_sg3	BRAP
BRAP_sg4	BRAP
BRCA1_sg1	BRCA1
BRCA1_sg2	BRCA1
BRCA1_sg3	BRCA1
BRCA1_sg4	BRCA1
BRCA2_sg1	BRCA2
BRCA2_sg2	BRCA2
BRCA2_sg3	BRCA2
BRCA2_sg4	BRCA2
BRCC3_sg1	BRCC3
BRCC3_sg2	BRCC3
BRCC3_sg3	BRCC3
BRCC3_sg4	BRCC3
BRD1_sg1	BRD1
BRD1_sg2	BRD1
BRD1_sg3	BRD1
BRD1_sg4	BRD1
BRD4_sg1	BRD4
BRD4_sg2	BRD4
BRD4_sg3	BRD4
BRD4_sg4	BRD4
BRD7_sg1	BRD7
BRD7_sg2	BRD7
BRD7_sg3	BRD7
BRD7_sg4	BRD7
BRD8_sg1	BRD8
BRD8_sg2	BRD8
BRD8_sg3	BRD8
BRD8_sg4	BRD8
BRDT_sg1	BRDT
BRDT_sg2	BRDT
BRDT_sg3	BRDT
BRDT_sg4	BRDT
BRF1_sg1	BRF1
BRF1_sg2	BRF1
BRF1_sg3	BRF1
BRF1_sg4	BRF1
BRF2_sg1	BRF2
BRF2_sg2	BRF2
BRF2_sg3	BRF2
BRF2_sg4	BRF2
BRIP1_sg1	BRIP1
BRIP1_sg2	BRIP1
BRIP1_sg3	BRIP1
BRIP1_sg4	BRIP1
BRIX1_sg1	BRIX1
BRIX1_sg2	BRIX1
BRIX1_sg3	BRIX1
BRIX1_sg4	BRIX1
BRMS1L_sg1	BRMS1L
BRMS1L_sg2	BRMS1L
BRMS1L_sg3	BRMS1L
BRMS1L_sg4	BRMS1L
BRPF3_sg1	BRPF3
BRPF3_sg2	BRPF3
BRPF3_sg3	BRPF3
BRPF3_sg4	BRPF3
BRSK1_sg1	BRSK1
BRSK1_sg2	BRSK1
BRSK1_sg3	BRSK1
BRSK1_sg4	BRSK1
BRWD1_sg1	BRWD1
BRWD1_sg2	BRWD1
BRWD1_sg3	BRWD1
BRWD1_sg4	BRWD1
BSPRY_sg1	BSPRY
BSPRY_sg2	BSPRY
BSPRY_sg3	BSPRY
BSPRY_sg4	BSPRY
BTBD8_sg1	BTBD8
BTBD8_sg2	BTBD8
BTBD8_sg3	BTBD8
BTBD8_sg4	BTBD8
BTD_sg1	BTD
BTD_sg2	BTD
BTD_sg3	BTD
BTD_sg4	BTD
BTK_sg1	BTK
