Gene	Source
RPS19	depmap_demo
RPL11	depmap_demo
PCNA	depmap_demo
POLR2A	depmap_demo
EIF3A	depmap_demo
EEF2	depmap_demo
RPA1	depmap_demo
PSMD1	depmap_demo
UBA1	depmap_demo
SEC61A1	depmap_demo
CDK1	depmap_demo
RPL5	depmap_demo
C1orf109	depmap_demo
C3orf17	depmap_demo
C7orf26	depmap_demo
ANAPC4	depmap_demo
C14orf80	depmap_demo
C16orf80	depmap_demo
C9orf41	depmap_demo
ANAPC2	depmap_demo
C9orf78	depmap_demo
BUB3	depmap_demo
BYSL	depmap_demo
ARL2	depmap_demo
ANAPC11	depmap_demo
BCL2	depmap_demo
C12orf44	depmap_demo
ACTR8	depmap_demo
C9orf114	depmap_demo
BRD8	depmap_demo
C21orf59	depmap_demo
CCDC115	depmap_demo
ANAPC7	depmap_demo
C19orf70	depmap_demo
ALG2	depmap_demo
CASC3	depmap_demo
C12orf45	depmap_demo
BCAS2	depmap_demo
CAD	depmap_demo
BAP1	depmap_demo
BUD31	depmap_demo
ASH2L	depmap_demo
ACIN1	depmap_demo
BRF1	depmap_demo
BPTF	depmap_demo
C16orf72	depmap_demo
ANAPC15	depmap_demo
C11orf83	depmap_demo
C17orf70	depmap_demo
CARM1	depmap_demo
C8orf33	depmap_demo
C10orf32	depmap_demo
ASNA1	depmap_demo
AHCY	depmap_demo
ATPAF2	depmap_demo
BDP1	depmap_demo
C19orf52	depmap_demo
C1orf127	depmap_demo
C6orf57	depmap_demo
C17orf96	depmap_demo
BANP	depmap_demo
AQR	depmap_demo
BCR	depmap_demo
C21orf2	depmap_demo
BCL2L1	depmap_demo
BRPF1	depmap_demo
C6orf48	depmap_demo
CACTIN	depmap_demo
AATF	depmap_demo
ATMIN	depmap_demo
AHCTF1	depmap_demo
CBFB	depmap_demo
C19orf25	depmap_demo
ACLY	depmap_demo
BRIP1	depmap_demo
C15orf43	depmap_demo
ANLN	depmap_demo
ATP5A1	depmap_demo
BAG6	depmap_demo
C19orf71	depmap_demo
C10orf88	depmap_demo
CCAR1	depmap_demo
ATRIP	depmap_demo
BRF2	depmap_demo
ABT1	depmap_demo
ANAPC10	depmap_demo
BCLAF1	depmap_demo
BRIX1	depmap_demo
C20orf112	depmap_demo
AURKB	depmap_demo
ARGLU1	depmap_demo
BOP1	depmap_demo
BRCA1	depmap_demo
BRCA2	depmap_demo
PALB2	depmap_demo
RAD51	depmap_demo
RAD51B	depmap_demo
RAD51C	depmap_demo
RAD51D	depmap_demo
XRCC2	depmap_demo
XRCC3	depmap_demo
NBN	depmap_demo
