id	Score	FDR	LogFDR	EntrezID	Symbol	HumanGene
AGPAT5	-0.11706	0.999965	1.52005728781941e-05	55326	AGPAT5	AGPAT5
BRD4	-0.073653	0.999965	1.52005728781941e-05	23476	BRD4	BRD4
C9orf135	-0.048107	0.999965	1.52005728781941e-05	138255	C9orf135	C9orf135
C9orf129	-0.016131	0.999965	1.52005728781941e-05	445577	C9orf129	C9orf129
APEH	0.0067502	0.826892	0.0825512097545329	327	APEH	APEH
C17orf47	0.036522	0.999995	2.1714778382296e-06	5414	C17orf47	C17orf47
C19orf66	-0.22353	0.999965	1.52005728781941e-05	55337	C19orf66	C19orf66
C8orf31	-0.13371	0.999965	1.52005728781941e-05	286122	C8orf31	C8orf31
CBFA2T3	-0.14728	0.999965	1.52005728781941e-05	863	CBFA2T3	CBFA2T3
AFMID	-0.20053	0.999965	1.52005728781941e-05	125061	AFMID	AFMID
CAPS	0.27036	0.686974	0.163059699432742	828	CAPS	CAPS
C4orf29	-0.065396	0.999965	1.52005728781941e-05	80167	C4orf29	C4orf29
CCDC117	0.022661	0.57808	0.238012055776053	150275	CCDC117	CCDC117
C20orf196	0.22324	0.913341	0.0393670463769532	149840	C20orf196	C20orf196
C11orf24	-0.201	0.999965	1.52005728781941e-05	53838	C11orf24	C11orf24
BNIP1	-0.11939	0.999965	1.52005728781941e-05	662	BNIP1	BNIP1
AVPI1	-0.11729	0.999965	1.52005728781941e-05	60370	AVPI1	AVPI1
C14orf119	-0.20124	0.999965	1.52005728781941e-05	55017	C14orf119	C14orf119
C14orf2	-0.068599	0.999965	1.52005728781941e-05	9556	C14orf2	C14orf2
C11orf49	-0.0048108	0.999965	1.52005728781941e-05	79096	C11orf49	C11orf49
CCDC106	0.17766	0.913341	0.0393670463769532	29903	CCDC106	CCDC106
C16orf13	0.021254	0.999995	2.1714778382296e-06	84326	C16orf13	C16orf13
BNC1	0.12112	0.999995	2.1714778382296e-06	646	BNC1	BNC1
C8orf46	-0.10349	0.999965	1.52005728781941e-05	254778	C8orf46	C8orf46
ANKS1A	-0.16698	0.999965	1.52005728781941e-05	23294	ANKS1A	ANKS1A
