cohort	selected	sample_label	condition	replicate	library	cell_line	run_accessions	fastq_urls	note
article1_basic_full_raw	yes	BrunelloMod_pDNA	pDNA	0	Brunello_mod_tracr	A375	SRR8297997	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/007/SRR8297997/SRR8297997.fastq.gz	Recommended full-raw baseline for article 1
article1_basic_full_raw	yes	BrunelloMod_A375_repA	dropout	A	Brunello_mod_tracr	A375	SRR8297836;SRR8297837	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/006/SRR8297836/SRR8297836.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/007/SRR8297837/SRR8297837.fastq.gz	Replicate A is split across two runs and should be concatenated
article1_basic_full_raw	yes	BrunelloMod_A375_repB	dropout	B	Brunello_mod_tracr	A375	SRR8297838;SRR8297839	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/008/SRR8297838/SRR8297838.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/009/SRR8297839/SRR8297839.fastq.gz	Replicate B is split across two runs and should be concatenated
article1_basic_full_raw	yes	BrunelloMod_A375_repC	dropout	C	Brunello_mod_tracr	A375	SRR8297840;SRR8297841	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/000/SRR8297840/SRR8297840.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/001/SRR8297841/SRR8297841.fastq.gz	Replicate C is split across two runs and should be concatenated
article1_basic_minimal	no	Brunello_pDNA	pDNA	0	Brunello	A375	SRR8297998	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/008/SRR8297998/SRR8297998.fastq.gz	Non-modified Brunello baseline; only two dropout replicates are visible in current metadata slice
article1_basic_minimal	no	Brunello_A375_repA	dropout	A	Brunello	A375	SRR8279891	ftp.sra.ebi.ac.uk/vol1/fastq/SRR827/001/SRR8279891/SRR8279891.fastq.gz	Non-modified Brunello replicate A
article1_basic_minimal	no	Brunello_A375_repB	dropout	B	Brunello	A375	SRR8281054	ftp.sra.ebi.ac.uk/vol1/fastq/SRR828/004/SRR8281054/SRR8281054.fastq.gz	Non-modified Brunello replicate B
